dataset,scenario,baseline_selected_by,baseline_model,baseline_strategy,baseline_locked_macro_f1,baseline_locked_recall_low,baseline_locked_f1_low,deep_variant,deep_config_id,deep_prediction_mode,deep_cv_selected,deep_locked_macro_f1,deep_locked_recall_low,deep_locked_f1_low,macro_f1_gap_deep_minus_baseline,recall_low_gap_deep_minus_baseline,f1_low_gap_deep_minus_baseline
student-mat,early,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.4791400595998297,0.4615384615384615,0.5,context_mlp_only,default,argmax,False,0.37703703703703706,0.3076923076923077,0.4,-0.10210302256279263,-0.1538461538461538,-0.09999999999999998
student-mat,early,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.4791400595998297,0.4615384615384615,0.5,context_mlp_only,default,low_threshold_tuned,False,0.16507936507936508,1.0,0.49523809523809526,-0.3140606945204646,0.5384615384615385,-0.004761904761904745
student-mat,early,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.4791400595998297,0.4615384615384615,0.5,context_mlp_only,default,low_f1_tuned,False,0.37500495147553975,0.5,0.4727272727272727,-0.10413510812428994,0.03846153846153849,-0.027272727272727282
student-mat,early,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.4791400595998297,0.4615384615384615,0.5,context_mlp_only,default,low_recall_priority,False,0.16507936507936508,1.0,0.49523809523809526,-0.3140606945204646,0.5384615384615385,-0.004761904761904745
student-mat,early,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.4791400595998297,0.4615384615384615,0.5,context_mlp_v2,dropout0.1_wd0.0001_fs1,argmax,False,0.4835081319349445,0.3076923076923077,0.37209302325581395,0.004368072335114825,-0.1538461538461538,-0.12790697674418605
student-mat,early,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.4791400595998297,0.4615384615384615,0.5,context_mlp_v2,dropout0.1_wd0.0001_fs1,low_threshold_tuned,False,0.23036567222613735,0.9615384615384616,0.5050505050505051,-0.24877438737369234,0.5,0.005050505050505083
student-mat,early,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.4791400595998297,0.4615384615384615,0.5,context_mlp_v2,dropout0.1_wd0.0001_fs1,low_f1_tuned,False,0.4144091710758377,0.6923076923076923,0.48,-0.064730888523992,0.23076923076923078,-0.020000000000000018
student-mat,early,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.4791400595998297,0.4615384615384615,0.5,context_mlp_v2,dropout0.1_wd0.0001_fs1,low_recall_priority,False,0.23036567222613735,0.9615384615384616,0.5050505050505051,-0.24877438737369234,0.5,0.005050505050505083
student-mat,early,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.4791400595998297,0.4615384615384615,0.5,context_mlp_v2,dropout0.25_wd0.0001_fs1,argmax,True,0.49943833943833943,0.3076923076923077,0.38095238095238093,0.020298279838509736,-0.1538461538461538,-0.11904761904761907
student-mat,early,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.4791400595998297,0.4615384615384615,0.5,context_mlp_v2,dropout0.25_wd0.0001_fs1,low_threshold_tuned,False,0.27129921736136314,0.9615384615384616,0.5102040816326531,-0.20784084223846655,0.5,0.010204081632653073
student-mat,early,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.4791400595998297,0.4615384615384615,0.5,context_mlp_v2,dropout0.25_wd0.0001_fs1,low_f1_tuned,False,0.4637527727364388,0.5,0.4482758620689655,-0.015387286863390914,0.03846153846153849,-0.051724137931034475
student-mat,early,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.4791400595998297,0.4615384615384615,0.5,context_mlp_v2,dropout0.25_wd0.0001_fs1,low_recall_priority,False,0.18376068376068377,1.0,0.5,-0.2953793758391459,0.5384615384615385,0.0
student-mat,early,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.4791400595998297,0.4615384615384615,0.5,context_mlp_v2,dropout0.25_wd0.001_fs0,argmax,False,0.37855124200505724,0.3076923076923077,0.3333333333333333,-0.10058881759477245,-0.1538461538461538,-0.16666666666666669
student-mat,early,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.4791400595998297,0.4615384615384615,0.5,context_mlp_v2,dropout0.25_wd0.001_fs0,low_threshold_tuned,False,0.2242077128675067,0.9230769230769231,0.4948453608247423,-0.254932346732323,0.4615384615384616,-0.005154639175257714
student-mat,early,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.4791400595998297,0.4615384615384615,0.5,context_mlp_v2,dropout0.25_wd0.001_fs0,low_f1_tuned,False,0.37122576105626953,0.6923076923076923,0.46153846153846156,-0.10791429854356016,0.23076923076923078,-0.038461538461538436
student-mat,early,cv_macro_f1_recall_low_f1_low,random_forest,random_oversampling,0.4791400595998297,0.4615384615384615,0.5,context_mlp_v2,dropout0.25_wd0.001_fs0,low_recall_priority,False,0.2242077128675067,0.9230769230769231,0.4948453608247423,-0.254932346732323,0.4615384615384616,-0.005154639175257714
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,sequence_cnn_bilstm_only,default,argmax,False,0.9033962264150944,0.8461538461538461,0.8301886792452831,-0.03311171009284197,-0.11538461538461542,-0.06266846361185985
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,sequence_cnn_bilstm_only,default,low_threshold_tuned,False,0.875,1.0,0.8125,-0.0615079365079364,0.038461538461538436,-0.0803571428571429
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,sequence_cnn_bilstm_only,default,low_f1_tuned,False,0.9365079365079364,0.9615384615384616,0.8928571428571429,0.0,0.0,0.0
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,sequence_cnn_bilstm_only,default,low_recall_priority,False,0.8540241120886282,1.0,0.7878787878787878,-0.08248382441930824,0.038461538461538436,-0.10497835497835506
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,context_mlp_only,default,argmax,False,0.6331723027375201,0.5769230769230769,0.6666666666666666,-0.3033356337704163,-0.3846153846153847,-0.22619047619047628
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,context_mlp_only,default,low_threshold_tuned,False,0.6304858134313126,0.9230769230769231,0.75,-0.3060221230766238,-0.038461538461538436,-0.1428571428571429
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,context_mlp_only,default,low_f1_tuned,False,0.5895509035605654,0.6538461538461539,0.6296296296296297,-0.346957032947371,-0.3076923076923077,-0.26322751322751325
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,context_mlp_only,default,low_recall_priority,False,0.4367019027484143,1.0,0.6046511627906976,-0.4998060337595221,0.038461538461538436,-0.28820598006644527
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,context_mlp_v2,dropout0.1_wd0.0001_fs1,argmax,False,0.7764102564102565,0.7307692307692307,0.76,-0.16009768009767988,-0.23076923076923084,-0.1328571428571429
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,context_mlp_v2,dropout0.1_wd0.0001_fs1,low_threshold_tuned,False,0.7230731587961831,0.9615384615384616,0.746268656716418,-0.21343477771175334,0.0,-0.14658848614072495
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,context_mlp_v2,dropout0.1_wd0.0001_fs1,low_f1_tuned,False,0.7576354679802956,0.8461538461538461,0.7586206896551724,-0.17887246852764083,-0.11538461538461542,-0.13423645320197053
student-mat,late,cv_macro_f1_recall_low_f1_low,xgboost,smotenc,0.9365079365079364,0.9615384615384616,0.8928571428571429,context_mlp_v2,dropout0.1_wd0.0001_fs1,low_recall_priority,False,0.6886699507389163,0.9615384615384616,0.7142857142857143,-0.24783798576902005,0.0,-0.1785714285714286
