dataset,scenario,variant,config_id,dropout,weight_decay,use_feature_selection,fold,status,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,regression_head_rmse,regression_head_r2
student-mat,early,context_mlp_only,default,0.15,0.0001,True,1,evaluated,0.5189873417721519,0.48756366513375854,0.4252643907816322,0.4221643377639288,0.38461538461538464,0.425531914893617,5.5713155503907075,-0.29053192056333144,0.5167703032493591,11.35305178500703,-4.358934820781665
student-mat,early,context_mlp_only,default,0.15,0.0001,True,2,evaluated,0.5379746835443038,0.3628581058308056,0.4179154179154179,0.38022660818713455,0.46153846153846156,0.5052631578947369,4.5489600981634855,-0.17132970992311036,0.5510550141334534,11.090210298247301,-5.9620071877829535
student-mat,early,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,1,evaluated,0.4936708860759494,0.46927803379416283,0.45394260911502293,0.4543816825385911,0.34615384615384615,0.41379310344827586,5.61474099631463,-0.31072834711239317,0.6107586622238159,11.55236529778389,-4.5487487961137605
student-mat,early,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,2,evaluated,0.4810126582278481,0.44436392914653783,0.424948614603787,0.42994042172471986,0.4230769230769231,0.4536082474226804,5.128877045400429,-0.48901639604463276,0.6362883448600769,11.356200047144595,-6.2999682774896995
student-mat,early,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,1,evaluated,0.5126582278481012,0.49083343632843074,0.47109212626454006,0.4740303644968959,0.38461538461538464,0.45454545454545453,5.510777702473214,-0.26263848454768923,0.5691944360733032,11.541639895309768,-4.538450482942373
student-mat,early,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,2,evaluated,0.5189873417721519,0.4851010101010102,0.4580878891223719,0.4643808097084859,0.4230769230769231,0.4782608695652174,4.96570517128245,-0.395779339305838,0.6020534634590149,11.353617873042587,-6.296648919620036
student-mat,early,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,1,evaluated,0.5,0.4395711500974659,0.43817389507044685,0.43507543792353914,0.5576923076923077,0.5272727272727272,5.838951483817942,-0.4174996835590612,0.6054203510284424,11.345154569084745,-4.351482032402786
student-mat,early,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,2,evaluated,0.43037974683544306,0.38348351569763284,0.3801485870451387,0.37883802169516456,0.46153846153846156,0.43243243243243246,5.622907487020833,-0.7896857519256453,0.5981360077857971,11.502870557797728,-6.489750827325105
student-mat,midterm,sequence_cnn_bilstm_only,default,0.15,0.0001,True,1,evaluated,0.7658227848101266,0.7927971576227391,0.7512860702515876,0.7684863217193348,0.7115384615384616,0.74,3.381352437087484,0.5246274324315322,0.6734895706176758,11.404054598855163,-4.407192275735254
student-mat,midterm,sequence_cnn_bilstm_only,default,0.15,0.0001,True,2,evaluated,0.7531645569620253,0.7517394054395953,0.7592780782435954,0.7524500907441016,0.8653846153846154,0.7894736842105263,3.2574160762283477,0.3993778074059965,0.682699978351593,11.309056663024316,-6.23948486292829
student-mat,midterm,context_mlp_only,default,0.15,0.0001,True,1,evaluated,0.5189873417721519,0.48756366513375854,0.4252643907816322,0.4221643377639288,0.38461538461538464,0.425531914893617,5.5713155503907075,-0.29053192056333144,0.5167703032493591,11.35305178500703,-4.358934820781665
student-mat,midterm,context_mlp_only,default,0.15,0.0001,True,2,evaluated,0.5379746835443038,0.3628581058308056,0.4179154179154179,0.38022660818713455,0.46153846153846156,0.5052631578947369,4.5489600981634855,-0.17132970992311036,0.5510550141334534,11.090210298247301,-5.9620071877829535
student-mat,midterm,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,1,evaluated,0.4936708860759494,0.46927803379416283,0.45394260911502293,0.4543816825385911,0.34615384615384615,0.41379310344827586,5.61474099631463,-0.31072834711239317,0.6107586622238159,11.55236529778389,-4.5487487961137605
student-mat,midterm,context_mlp_v2,dropout0.1_wd0.0001_fs1,0.1,0.0001,True,2,evaluated,0.4810126582278481,0.44436392914653783,0.424948614603787,0.42994042172471986,0.4230769230769231,0.4536082474226804,5.128877045400429,-0.48901639604463276,0.6362883448600769,11.356200047144595,-6.2999682774896995
student-mat,midterm,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,1,evaluated,0.5126582278481012,0.49083343632843074,0.47109212626454006,0.4740303644968959,0.38461538461538464,0.45454545454545453,5.510777702473214,-0.26263848454768923,0.5691944360733032,11.541639895309768,-4.538450482942373
student-mat,midterm,context_mlp_v2,dropout0.25_wd0.0001_fs1,0.25,0.0001,True,2,evaluated,0.5189873417721519,0.4851010101010102,0.4580878891223719,0.4643808097084859,0.4230769230769231,0.4782608695652174,4.96570517128245,-0.395779339305838,0.6020534634590149,11.353617873042587,-6.296648919620036
student-mat,midterm,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,1,evaluated,0.5,0.4395711500974659,0.43817389507044685,0.43507543792353914,0.5576923076923077,0.5272727272727272,5.838951483817942,-0.4174996835590612,0.6054203510284424,11.345154569084745,-4.351482032402786
student-mat,midterm,context_mlp_v2,dropout0.25_wd0.001_fs0,0.25,0.001,False,2,evaluated,0.43037974683544306,0.38348351569763284,0.3801485870451387,0.37883802169516456,0.46153846153846156,0.43243243243243246,5.622907487020833,-0.7896857519256453,0.5981360077857971,11.502870557797728,-6.489750827325105
