dataset,scenario,strategy,model,fold,best_val_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,regression_head_rmse,regression_head_r2
student-por,late,none,cnn_bilstm_v27,1,0.2607338017174083,0.6423076923076924,0.21410256410256412,0.3333333333333333,0.2607338017174083,0.0,0.0,3.334551059622685,-0.01267630491572258,0.3822411000728607,11.975320219981278,-12.060811907947377
student-por,late,none,cnn_bilstm_v27,2,0.3777577603340054,0.6563706563706564,0.4164641063036785,0.4026946107784431,0.3777577603340054,0.25,0.3508771929824561,3.1035849242834295,-0.051996160884657305,0.362224280834198,11.84280006245109,-14.317774871809185
student-por,late,class_weight,cnn_bilstm_v27,1,0.2607338017174083,0.6423076923076924,0.21410256410256412,0.3333333333333333,0.2607338017174083,0.0,0.0,3.334551059622685,-0.01267630491572258,0.3525697588920593,11.975766418073043,-12.061785212679583
student-por,late,class_weight,cnn_bilstm_v27,2,0.08918617614269787,0.15444015444015444,0.05148005148005148,0.3333333333333333,0.08918617614269787,1.0,0.26755852842809363,8.044458991338104,-6.0677401156618975,0.3669451177120209,11.835555889853644,-14.299041013905597
student-por,late,smotenc,cnn_bilstm_v27,1,0.2809394760614273,0.38846153846153847,0.3025153274121733,0.4248484163747976,0.2809394760614273,0.0,0.0,4.608833491659919,-0.9345410110596011,0.3527902066707611,11.40860693681505,-10.85389673754448
student-por,late,smotenc,cnn_bilstm_v27,2,0.08918617614269787,0.15444015444015444,0.05148005148005148,0.3333333333333333,0.08918617614269787,1.0,0.26755852842809363,8.044458991338104,-6.0677401156618975,0.372562438249588,11.133760465567049,-12.538502665889943
student-por,late,random_oversampling,cnn_bilstm_v27,1,0.18153686249498027,0.2653846153846154,0.22373051784816492,0.3609761608857756,0.18153686249498027,0.0,0.0,5.252380412727167,-1.512512613657644,0.3533999025821686,11.408232182533395,-10.853117987672537
student-por,late,random_oversampling,cnn_bilstm_v27,2,0.08918617614269787,0.15444015444015444,0.05148005148005148,0.3333333333333333,0.08918617614269787,1.0,0.26755852842809363,8.044458991338104,-6.0677401156618975,0.3621208071708679,11.125399120063953,-12.518175734544654
student-por,late,focal_loss,cnn_bilstm_v27,1,0.2607338017174083,0.6423076923076924,0.21410256410256412,0.3333333333333333,0.2607338017174083,0.0,0.0,3.334551059622685,-0.01267630491572258,0.34497547149658203,11.967088336762675,-12.042861970368477
student-por,late,focal_loss,cnn_bilstm_v27,2,0.08918617614269787,0.15444015444015444,0.05148005148005148,0.3333333333333333,0.08918617614269787,1.0,0.26755852842809363,8.044458991338104,-6.0677401156618975,0.37239962816238403,11.827476530468036,-14.27816083510547
student-por,late,smotenc_focal_loss,cnn_bilstm_v27,1,0.34309381622038143,0.35,0.23458106293927186,0.6520440251572327,0.34309381622038143,0.975,0.4482758620689655,5.076908508137604,-1.3474404210974456,0.36198049783706665,11.435634754661438,-10.910128751002814
student-por,late,smotenc_focal_loss,cnn_bilstm_v27,2,0.08918617614269787,0.15444015444015444,0.05148005148005148,0.3333333333333333,0.08918617614269787,1.0,0.26755852842809363,8.044458991338104,-6.0677401156618975,0.4586756229400635,11.167463328236117,-12.620591176180206
