dataset,scenario,strategy,model,fold,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence
student-mat,midterm,none,logistic_regression,1,0.6835443037974683,0.6925951345992526,0.6284405249922491,0.647931126028748,0.6923076923076923,0.7272727272727273,3.574478805948808,0.36126924114770775,0.6104585287759051
student-mat,midterm,none,random_forest,1,0.6835443037974683,0.7388468013468014,0.6446140066829722,0.6742046898700447,0.5769230769230769,0.625,3.811001728839176,0.27394307919440364,0.640506329113924
student-mat,midterm,none,xgboost,1,0.7025316455696202,0.7465277777777778,0.6566795273691826,0.6847071905874635,0.6346153846153846,0.6875,3.5438036491596807,0.37218501139187077,0.6108722837665413
student-mat,midterm,none,mlp,1,0.4810126582278481,0.30400504572690007,0.33524808524808525,0.24734859748240656,0.057692307692307696,0.1016949152542373,4.689234911009781,-0.09924970350096651,0.47868141806322967
student-mat,midterm,none,logistic_regression,2,0.6962025316455697,0.7394465290806754,0.6165242803173837,0.6420664624193407,0.6346153846153846,0.7096774193548387,3.615630624127219,0.3464775814690232,0.6130602380151272
student-mat,midterm,none,random_forest,2,0.7151898734177216,0.7213153175185457,0.6859117893600652,0.700163159436054,0.6923076923076923,0.7272727272727273,3.5353101308822947,0.3751908031982346,0.6725738396624472
student-mat,midterm,none,xgboost,2,0.759493670886076,0.77941270552108,0.7296238244514107,0.7488174211969261,0.75,0.7722772277227723,3.163028111706097,0.4998520633779513,0.6176876478557345
student-mat,midterm,none,mlp,2,0.4936708860759494,0.33091787439613524,0.3584748584748585,0.3034453057708872,0.19230769230769232,0.2777777777777778,4.708092951557598,-0.10810887935130165,0.48535487783079084
student-mat,midterm,class_weight,logistic_regression,1,0.6265822784810127,0.6245762672885246,0.690952725435484,0.6306517556517557,0.7692307692307693,0.7272727272727273,3.9414223481609123,0.22339831697686618,0.5939544598740504
student-mat,midterm,class_weight,random_forest,1,0.6962025316455697,0.7384701820001148,0.6595157715847371,0.6859277044150994,0.6346153846153846,0.673469387755102,3.6037954675802424,0.3507489698254347,0.6622362869198313
student-mat,midterm,class_weight,xgboost,1,0.7341772151898734,0.7406207827260459,0.7308008083870153,0.7344168385935648,0.7884615384615384,0.7522935779816514,3.353394275142272,0.4378378324256048,0.5635870451791377
student-mat,midterm,class_weight,mlp,1,0.44936708860759494,0.4405555555555556,0.48051660982695465,0.4438101265822785,0.6730769230769231,0.625,5.070858664460754,-0.2854505959267617,0.41170248948832877
student-mat,midterm,class_weight,logistic_regression,2,0.6329113924050633,0.6191919191919192,0.6552929828791898,0.6299968395864374,0.7307692307692307,0.7102803738317757,4.0175642850874365,0.19310309956009508,0.5855832175798813
student-mat,midterm,class_weight,random_forest,2,0.7215189873417721,0.7325241808000428,0.70064705409533,0.7115672857608342,0.7884615384615384,0.7454545454545455,3.5250011221831414,0.3788293932796223,0.6717299578059072
student-mat,midterm,class_weight,xgboost,2,0.7151898734177216,0.7039402933711877,0.7568810499844982,0.7140676117775354,0.8846153846153846,0.8,3.368224563306425,0.43285454600979134,0.6025526815954643
student-mat,midterm,class_weight,mlp,2,0.47468354430379744,0.46463380673906984,0.4987541194437746,0.4740644603071598,0.6153846153846154,0.5565217391304348,5.033589704818589,-0.2666248472447992,0.3859244532630412
student-mat,midterm,smotenc,logistic_regression,1,0.5949367088607594,0.5826599326599328,0.6170697118972982,0.5897152423122468,0.75,0.7358490566037735,4.0317176036328535,0.18740791508487953,0.6403674118640612
student-mat,midterm,smotenc,random_forest,1,0.6582278481012658,0.6642303848075962,0.6284577491474043,0.6425515947467167,0.6538461538461539,0.68,3.7597973282302184,0.29332252636701195,0.6360759493670886
student-mat,midterm,smotenc,xgboost,1,0.6708860759493671,0.6678571428571428,0.6872724976173252,0.6751315789473685,0.6538461538461539,0.68,3.708525927772654,0.31246467418648616,0.5674139278221734
