dataset,scenario,strategy,model,fold,best_val_score,accuracy,macro_precision,macro_recall,macro_f1,recall_low,f1_low,rmse,r2,mean_confidence,regression_head_rmse,regression_head_r2
student-por,midterm,none,cnn_bilstm_v27,1,0.2607338017174083,0.6423076923076924,0.21410256410256412,0.3333333333333333,0.2607338017174083,0.0,0.0,3.334551059622685,-0.01267630491572258,0.38389772176742554,11.926480654005482,-11.954495982395189
student-por,midterm,none,cnn_bilstm_v27,2,0.10939825780815181,0.16216216216216217,0.2244170096021948,0.29930139720558885,0.10939825780815181,0.85,0.24028268551236748,7.984420157466993,-5.9626353784736015,0.3434765934944153,12.060194017176313,-14.8853020375933
student-por,midterm,class_weight,cnn_bilstm_v27,1,0.26117554459800446,0.36153846153846153,0.3064808604714708,0.3851165593341619,0.26117554459800446,0.0,0.0,5.252380412727167,-1.512512613657644,0.3449338376522064,11.921710719611559,-11.944135886903538
student-por,midterm,class_weight,cnn_bilstm_v27,2,0.08918617614269787,0.15444015444015444,0.05148005148005148,0.3333333333333333,0.08918617614269787,1.0,0.26755852842809363,8.044458991338104,-6.0677401156618975,0.3655112385749817,12.047395890378684,-14.851605359317565
student-por,midterm,smotenc,cnn_bilstm_v27,1,0.344469540121714,0.3,0.3044479457035511,0.5416666666666666,0.344469540121714,0.625,0.6493506493506493,5.214716601194089,-1.476608317132614,0.3506905734539032,11.35546665751434,-10.743725121920464
student-por,midterm,smotenc,cnn_bilstm_v27,2,0.08918617614269787,0.15444015444015444,0.05148005148005148,0.3333333333333333,0.08918617614269787,1.0,0.26755852842809363,8.044458991338104,-6.0677401156618975,0.3969682455062866,11.570850299723466,-13.622358836536817
student-por,midterm,random_oversampling,cnn_bilstm_v27,1,0.3251328617182276,0.28076923076923077,0.3319088319088319,0.5,0.3251328617182276,0.5,0.6060606060606061,5.362440603938587,-1.6189119314086473,0.3500453233718872,11.3576325498701,-10.748205443333765
student-por,midterm,random_oversampling,cnn_bilstm_v27,2,0.08918617614269787,0.15444015444015444,0.05148005148005148,0.3333333333333333,0.08918617614269787,1.0,0.26755852842809363,8.044458991338104,-6.0677401156618975,0.38657569885253906,11.579818753078241,-13.64503491693026
student-por,midterm,focal_loss,cnn_bilstm_v27,1,0.11721611721611723,0.2076923076923077,0.4015444015444016,0.33532934131736525,0.11721611721611723,0.0,0.0,6.093265513284696,-2.381396589563369,0.34563079476356506,11.91279592636212,-11.924784444266068
student-por,midterm,focal_loss,cnn_bilstm_v27,2,0.08918617614269787,0.15444015444015444,0.05148005148005148,0.3333333333333333,0.08918617614269787,1.0,0.26755852842809363,8.044458991338104,-6.0677401156618975,0.3714551627635956,12.03611143519488,-14.82192376546824
student-por,midterm,smotenc_focal_loss,cnn_bilstm_v27,1,0.2783610056337329,0.26153846153846155,0.22692614088995108,0.5094339622641509,0.2783610056337329,1.0,0.3305785123966942,6.629334576190654,-3.0025409194463863,0.37721389532089233,11.37451934000491,-10.783166420269495
student-por,midterm,smotenc_focal_loss,cnn_bilstm_v27,2,0.08918617614269787,0.15444015444015444,0.05148005148005148,0.3333333333333333,0.08918617614269787,1.0,0.26755852842809363,8.044458991338104,-6.0677401156618975,0.4521428942680359,11.5330096275922,-13.526874909469303
