variant,f1_macro,recall_low,accuracy
Full V27 Model (Base),0.8772965236052203,0.9514285714285714,0.8763888888888889
Context-only,0.8433442010953938,0.9619047619047618,0.8384920634920636
Sequence-only,0.870994959893783,0.8828571428571429,0.8669146825396824
Concatenation fusion,0.8728382377963868,0.9138095238095237,0.8700892857142858
No Attention Pooling,0.8930424404456089,0.9228571428571429,0.8890873015873015
No Ordinal Auxiliary Head,0.8875455391306566,0.8923809523809524,0.8826884920634921
No Regression Auxiliary Head,0.8679984901470876,0.9323809523809524,0.8669146825396824
No oversampling,0.8919541863674298,0.9228571428571429,0.8859623015873016
Standard SMOTE,0.8950393272657278,0.9038095238095238,0.8891865079365079
No Class-Balanced Focal Loss,0.8986528902223132,0.8923809523809523,0.8921626984126985
