result_family,model,scenario,feature_policy,imbalance_policy,oof_macro_f1,outer_fold_macro_f1_mean,outer_fold_macro_f1_std,locked_accuracy,locked_macro_f1,locked_weighted_f1,locked_balanced_accuracy,locked_qwk,locked_ordinal_mae,locked_two_step_errors,locked_pr_auc_macro,locked_brier,locked_ece,ablation_axis,architecture_variant,oversample_method,class_weight_mode,seed_count,parameter_count_per_model,temperature_oof,locked_brier_calibrated,locked_ece_calibrated
classical,majority_class,late_stage,none,none,0.2184397163120567,0.2184344182350178,0.0021391008242261,0.4810126582278481,0.2165242165242165,0.3124526668830466,0.3333333333333333,0.0,0.5189873417721519,0,0.3333333333333333,0.6243390482294502,0.0063291139240507,feature_information_and_class_weight,,,,,,,,
classical,g2_threshold_rule,late_stage,G2,none,0.8988360425446519,0.8980506040341325,0.028170578064146,0.9240506329113924,0.9365079365079364,0.9246534056660638,0.9433198380566802,0.926670792079208,0.0759493670886076,0,0.9067035584455344,0.1518987341772152,0.0759493670886075,feature_information_and_class_weight,,,,,,,,
classical,logistic_regression_g2,late_stage,G2,none,0.8988360425446519,0.8980506040341325,0.028170578064146,0.9240506329113924,0.9365079365079364,0.9246534056660638,0.9433198380566802,0.926670792079208,0.0759493670886076,0,0.9662614404175376,0.1493352104008049,0.1123446055993538,feature_information_and_class_weight,,,,,,,,
classical,logistic_regression_g1_g2,late_stage,G1_G2,none,0.8664254781472401,0.8652989688551047,0.0386824653742474,0.8734177215189873,0.8875984931980062,0.8729860703481049,0.8960863697705803,0.876446668751955,0.1265822784810126,0,0.9709119204819908,0.1555502008025995,0.0816354402662509,feature_information_and_class_weight,,,,,,,,
classical,logistic_regression_all,late_stage,all_valid,none,0.8196905456298148,0.8204230976615083,0.0446686533873516,0.8481012658227848,0.852997227997228,0.8476308587068081,0.8650922177237966,0.8527493010251631,0.1518987341772152,0,0.9520152454804548,0.2066818929273117,0.0726533008618404,feature_information_and_class_weight,,,,,,,,
classical,logistic_regression_all_balanced,late_stage,all_valid,class_weight,0.8397244445136881,0.8400722620159078,0.0494820467119862,0.810126582278481,0.8173968194554916,0.8067981192407078,0.8468735942420155,0.8277866589158552,0.189873417721519,0,0.948488877465816,0.2335403413014705,0.0464404009753547,feature_information_and_class_weight,,,,,,,,
classical,hist_gradient_boosting_all,late_stage,all_valid,none,0.8969254372428547,0.8967129976073979,0.0349146568628375,0.9367088607594936,0.9463312368972746,0.9368840060504736,0.94804318488529,0.9372318449070396,0.0632911392405063,0,0.977954806094559,0.1163564833647625,0.045844088714696,feature_information_and_class_weight,,,,,,,,
classical,logistic_regression_without_g2,early_warning,without_G2,none,0.6918783032726061,0.690541401120487,0.0326504420274332,0.6708860759493671,0.6828042328042327,0.667771750050231,0.7085919928025192,0.6926989826451226,0.3291139240506329,0,0.8613930636790621,0.3423134870583173,0.1400291268245875,feature_information_and_class_weight,,,,,,,,
classical,hist_gradient_boosting_without_g2,early_warning,without_G2,none,0.697356962587015,0.6973111148136463,0.0364853848308592,0.7468354430379747,0.7684957684957685,0.743030717714262,0.7881241565452092,0.7562480715828448,0.2531645569620253,0,0.8703952668476171,0.3723557465178737,0.1434911108807847,feature_information_and_class_weight,,,,,,,,
classical,logistic_regression_without_g1_g2,pre_assessment,without_G1_G2,none,0.4344025246102398,0.4331213560248915,0.0682481542642886,0.4430379746835443,0.3849010135455148,0.4312905349261333,0.3838056680161943,0.1663387587193704,0.620253164556962,5,0.4666315296936517,0.6608160399010992,0.1955960258296489,feature_information_and_class_weight,,,,,,,,
classical,hist_gradient_boosting_without_g1_g2,pre_assessment,without_G1_G2,none,0.4246181919299684,0.4231978110843936,0.0543897471575495,0.5063291139240507,0.4601010101010101,0.4873993095512083,0.4505173189383715,0.2671047545419405,0.5316455696202531,3,0.4442597244209591,0.7563226975032489,0.308209854458755,feature_information_and_class_weight,,,,,,,,
deep,cnn_only_none,,,,0.800442301795954,0.7967179220562739,0.07598865318357292,0.8481012658227848,0.8582434514637906,0.845078114333639,0.8906882591093117,0.8633611991928509,0.1518987341772152,0,0.9506941835840109,0.3411063908159451,0.23198059597793133,,cnn_only,none,none,1.0,115.0,0.2225625307176253,0.24946258977848082,0.08279199280423419
deep,bilstm_only_none,,,,0.21843971631205672,0.21843441823501789,0.002139100824226131,0.4810126582278481,0.21652421652421652,0.3124526668830466,0.3333333333333333,0.0,0.5189873417721519,0,0.7949372522088738,0.6363051930327949,0.09101992444194695,,bilstm_only,none,none,1.0,2531.0,0.42318166140865204,0.6181903415314246,0.01384152733574645
deep,cnn_bilstm_none,,,,0.842199912701877,0.8410737133217436,0.03811047770878072,0.8987341772151899,0.9097860323666774,0.8985419734296828,0.921727395411606,0.9028887523048555,0.10126582278481013,0,0.9631304478358146,0.21531161209793054,0.16356188278301376,,cnn_bilstm,none,none,1.0,4515.0,0.5176186895558073,0.1754881871218196,0.06333902798248688
deep,cnn_bilstm_class_weight,,,,0.8006933788756866,0.7996858322760059,0.06331753152287808,0.8860759493670886,0.8905044231131187,0.8847357925508723,0.9170040485829959,0.8949312841731935,0.11392405063291139,0,0.9670065395712446,0.20128880280696254,0.10481600788610934,,cnn_bilstm,none,balanced,1.0,4515.0,0.6877428990882952,0.1975425849973315,0.08421787067734979
deep,cnn_bilstm_smote,,,,0.8373453746745759,0.8365731874337333,0.0404431822079745,0.8734177215189873,0.8797416893392125,0.8715841251405778,0.9082321187584346,0.884232121922626,0.12658227848101267,0,0.9656353739173102,0.2054026695735228,0.0658373949050247,,cnn_bilstm,smote,none,1.0,4515.0,0.7627654654029056,0.20143391458442997,0.07415683505298556
deep,cnn_bilstm_smote_class_weight,,,,0.7634475569776016,0.7636841572478735,0.04487843189724839,0.8607594936708861,0.8688422688422689,0.8574547815054144,0.9035087719298245,0.8757684060042887,0.13924050632911392,0,0.9706133734831491,0.21509553563750042,0.060676075259157074,,cnn_bilstm,smote,balanced,1.0,4515.0,1.0179418004607022,0.21541446279618248,0.061593360833151006
deep,cnn_bilstm_none_ensemble_11seed,,,,0.8504746715273032,0.8503002201208357,0.04674584466725001,0.8734177215189873,0.8875984931980062,0.8729860703481049,0.8960863697705803,0.876446668751955,0.12658227848101267,0,0.9655489946878367,0.18218306292269007,0.11287461937591338,,cnn_bilstm,none,none,11.0,4515.0,0.5208462829044975,0.1623963014356649,0.04619707900845836
