model,slice_column,slice_value,support,accuracy,macro_f1,ordinal_mae,interpretation
majority_class,sex,F,42,0.40476190476190477,0.192090395480226,0.5952380952380952,descriptive_only
majority_class,sex,M,37,0.5675675675675675,0.2413793103448276,0.43243243243243246,descriptive_only
majority_class,school,GP,69,0.4927536231884058,0.22006472491909387,0.5072463768115942,descriptive_only
majority_class,school,MS,10,0.4,0.19047619047619047,0.6,insufficient_support
majority_class,address,R,15,0.5333333333333333,0.2318840579710145,0.4666666666666667,insufficient_support
majority_class,address,U,64,0.46875,0.2127659574468085,0.53125,descriptive_only
g2_threshold_rule,sex,F,42,0.9285714285714286,0.9411255411255411,0.07142857142857142,descriptive_only
g2_threshold_rule,sex,M,37,0.918918918918919,0.9267399267399267,0.08108108108108109,descriptive_only
g2_threshold_rule,school,GP,69,0.9130434782608695,0.9270833333333334,0.08695652173913043,descriptive_only
g2_threshold_rule,school,MS,10,1.0,1.0,0.0,insufficient_support
g2_threshold_rule,address,R,15,0.9333333333333333,0.9474747474747475,0.06666666666666667,insufficient_support
g2_threshold_rule,address,U,64,0.921875,0.9337231968810915,0.078125,descriptive_only
logistic_regression_g2,sex,F,42,0.9285714285714286,0.9411255411255411,0.07142857142857142,descriptive_only
logistic_regression_g2,sex,M,37,0.918918918918919,0.9267399267399267,0.08108108108108109,descriptive_only
logistic_regression_g2,school,GP,69,0.9130434782608695,0.9270833333333334,0.08695652173913043,descriptive_only
logistic_regression_g2,school,MS,10,1.0,1.0,0.0,insufficient_support
logistic_regression_g2,address,R,15,0.9333333333333333,0.9474747474747475,0.06666666666666667,insufficient_support
logistic_regression_g2,address,U,64,0.921875,0.9337231968810915,0.078125,descriptive_only
logistic_regression_g1_g2,sex,F,42,0.8571428571428571,0.8819444444444445,0.14285714285714285,descriptive_only
logistic_regression_g1_g2,sex,M,37,0.8918918918918919,0.8950710108604846,0.10810810810810811,descriptive_only
logistic_regression_g1_g2,school,GP,69,0.8840579710144928,0.901624945103206,0.11594202898550725,descriptive_only
logistic_regression_g1_g2,school,MS,10,0.8,0.8023809523809525,0.2,insufficient_support
logistic_regression_g1_g2,address,R,15,0.9333333333333333,0.9474747474747475,0.06666666666666667,insufficient_support
logistic_regression_g1_g2,address,U,64,0.859375,0.8733147998684722,0.140625,descriptive_only
logistic_regression_all,sex,F,42,0.7857142857142857,0.801911976911977,0.21428571428571427,descriptive_only
logistic_regression_all,sex,M,37,0.918918918918919,0.915148448043185,0.08108108108108109,descriptive_only
logistic_regression_all,school,GP,69,0.855072463768116,0.8606060606060607,0.14492753623188406,descriptive_only
logistic_regression_all,school,MS,10,0.8,0.8023809523809525,0.2,insufficient_support
logistic_regression_all,address,R,15,0.8666666666666667,0.8968253968253969,0.13333333333333333,insufficient_support
logistic_regression_all,address,U,64,0.84375,0.8468253968253968,0.15625,descriptive_only
logistic_regression_all_balanced,sex,F,42,0.7619047619047619,0.767002296414061,0.23809523809523808,descriptive_only
logistic_regression_all_balanced,sex,M,37,0.8648648648648649,0.8656692406692407,0.13513513513513514,descriptive_only
logistic_regression_all_balanced,school,GP,69,0.8115942028985508,0.8201110952855718,0.18840579710144928,descriptive_only
logistic_regression_all_balanced,school,MS,10,0.8,0.8023809523809525,0.2,insufficient_support
logistic_regression_all_balanced,address,R,15,0.8666666666666667,0.8968253968253969,0.13333333333333333,insufficient_support
logistic_regression_all_balanced,address,U,64,0.796875,0.802796714850122,0.203125,descriptive_only
hist_gradient_boosting_all,sex,F,42,0.9285714285714286,0.9411255411255411,0.07142857142857142,descriptive_only
hist_gradient_boosting_all,sex,M,37,0.9459459459459459,0.9500000000000001,0.05405405405405406,descriptive_only
hist_gradient_boosting_all,school,GP,69,0.927536231884058,0.9380873410724156,0.07246376811594203,descriptive_only
hist_gradient_boosting_all,school,MS,10,1.0,1.0,0.0,insufficient_support
hist_gradient_boosting_all,address,R,15,0.9333333333333333,0.9474747474747475,0.06666666666666667,insufficient_support
hist_gradient_boosting_all,address,U,64,0.9375,0.9460317460317461,0.0625,descriptive_only
logistic_regression_without_g2,sex,F,42,0.5952380952380952,0.6234487734487734,0.40476190476190477,descriptive_only
logistic_regression_without_g2,sex,M,37,0.7567567567567568,0.7571255465992309,0.24324324324324326,descriptive_only
logistic_regression_without_g2,school,GP,69,0.6666666666666666,0.6803793907242183,0.3333333333333333,descriptive_only
logistic_regression_without_g2,school,MS,10,0.7,0.6984126984126983,0.3,insufficient_support
logistic_regression_without_g2,address,R,15,0.6,0.6126984126984126,0.4,insufficient_support
logistic_regression_without_g2,address,U,64,0.6875,0.6989066442388561,0.3125,descriptive_only
hist_gradient_boosting_without_g2,sex,F,42,0.6904761904761905,0.7205387205387206,0.30952380952380953,descriptive_only
hist_gradient_boosting_without_g2,sex,M,37,0.8108108108108109,0.8097560975609756,0.1891891891891892,descriptive_only
hist_gradient_boosting_without_g2,school,GP,69,0.7391304347826086,0.764069264069264,0.2608695652173913,descriptive_only
hist_gradient_boosting_without_g2,school,MS,10,0.8,0.8023809523809525,0.2,insufficient_support
hist_gradient_boosting_without_g2,address,R,15,0.7333333333333333,0.7833333333333333,0.26666666666666666,insufficient_support
hist_gradient_boosting_without_g2,address,U,64,0.75,0.7678721614802355,0.25,descriptive_only
logistic_regression_without_g1_g2,sex,F,42,0.3333333333333333,0.3174603174603175,0.7619047619047619,descriptive_only
logistic_regression_without_g1_g2,sex,M,37,0.5675675675675675,0.48183760683760674,0.4594594594594595,descriptive_only
logistic_regression_without_g1_g2,school,GP,69,0.463768115942029,0.40695652173913044,0.5942028985507246,descriptive_only
logistic_regression_without_g1_g2,school,MS,10,0.3,0.24444444444444446,0.8,insufficient_support
logistic_regression_without_g1_g2,address,R,15,0.5333333333333333,0.4083333333333334,0.5333333333333333,insufficient_support
logistic_regression_without_g1_g2,address,U,64,0.421875,0.37198067632850246,0.640625,descriptive_only
hist_gradient_boosting_without_g1_g2,sex,F,42,0.42857142857142855,0.396596275505658,0.6428571428571429,descriptive_only
hist_gradient_boosting_without_g1_g2,sex,M,37,0.5945945945945946,0.5269503546099291,0.40540540540540543,descriptive_only
hist_gradient_boosting_without_g1_g2,school,GP,69,0.5072463768115942,0.47090336564020774,0.5217391304347826,descriptive_only
hist_gradient_boosting_without_g1_g2,school,MS,10,0.5,0.3333333333333333,0.6,insufficient_support
hist_gradient_boosting_without_g1_g2,address,R,15,0.4666666666666667,0.29523809523809524,0.5333333333333333,insufficient_support
hist_gradient_boosting_without_g1_g2,address,U,64,0.515625,0.4848562848562848,0.53125,descriptive_only
