candidate_id,outer_fold,seed,parameter_count,guardrail
R0,0,42,0,not_applicable
M1,0,42,3274,not_applicable
M2,0,42,443,not_applicable
N0,0,42,1747,5000
N0,0,123,1747,5000
N0,0,155,1747,5000
N1,0,42,747,5000
N1,0,123,747,5000
N1,0,155,747,5000
N2,0,42,259,5000
N2,0,123,259,5000
N2,0,155,259,5000
N3,0,42,107,5000
N3,0,123,107,5000
N3,0,155,107,5000
A1,0,42,83,5000
A1,0,123,83,5000
A1,0,155,83,5000
A2,0,42,755,5000
A2,0,123,755,5000
A2,0,155,755,5000
R0,1,42,0,not_applicable
M1,1,42,3970,not_applicable
M2,1,42,359,not_applicable
N0,1,42,4531,5000
N0,1,123,4531,5000
N0,1,155,4531,5000
N1,1,42,1731,5000
N1,1,123,1731,5000
N1,1,155,1731,5000
N2,1,42,1379,5000
N2,1,123,1379,5000
N2,1,155,1379,5000
N3,1,42,51,5000
N3,1,123,51,5000
N3,1,155,51,5000
A1,1,42,131,5000
A1,1,123,131,5000
A1,1,155,131,5000
A2,1,42,2531,5000
A2,1,123,2531,5000
A2,1,155,2531,5000
R0,2,42,0,not_applicable
M1,2,42,1124,not_applicable
M2,2,42,467,not_applicable
N0,2,42,4515,5000
N0,2,123,4515,5000
N0,2,155,4515,5000
N1,2,42,2863,5000
N1,2,123,2863,5000
N1,2,155,2863,5000
N2,2,42,259,5000
N2,2,123,259,5000
N2,2,155,259,5000
N3,2,42,19,5000
N3,2,123,19,5000
N3,2,155,19,5000
A1,2,42,115,5000
A1,2,123,115,5000
A1,2,155,115,5000
A2,2,42,2531,5000
A2,2,123,2531,5000
A2,2,155,2531,5000
R0,3,42,0,not_applicable
M1,3,42,6350,not_applicable
M2,3,42,351,not_applicable
N0,3,42,811,5000
N0,3,123,811,5000
N0,3,155,811,5000
N1,3,42,2863,5000
N1,3,123,2863,5000
N1,3,155,2863,5000
N2,3,42,131,5000
N2,3,123,131,5000
N2,3,155,131,5000
N3,3,42,51,5000
N3,3,123,51,5000
N3,3,155,51,5000
A1,3,42,131,5000
A1,3,123,131,5000
A1,3,155,131,5000
A2,3,42,251,5000
A2,3,123,251,5000
A2,3,155,251,5000
R0,4,42,0,not_applicable
M1,4,42,6604,not_applicable
M2,4,42,339,not_applicable
N0,4,42,4531,5000
N0,4,123,4531,5000
N0,4,155,4531,5000
N1,4,42,927,5000
N1,4,123,927,5000
N1,4,155,927,5000
N2,4,42,1379,5000
N2,4,123,1379,5000
N2,4,155,1379,5000
N3,4,42,1187,5000
N3,4,123,1187,5000
N3,4,155,1187,5000
A1,4,42,131,5000
A1,4,123,131,5000
A1,4,155,131,5000
A2,4,42,2531,5000
A2,4,123,2531,5000
A2,4,155,2531,5000
