diagnostic_status,policy,metric,mode,inner_fold,selected_epoch,outer_labels_used
DIAGNOSTIC_ONLY,fixed_macro_f1_at_0_5,macro_f1_at_0_5,max,0,3,False
DIAGNOSTIC_ONLY,fixed_macro_f1_at_0_5,macro_f1_at_0_5,max,1,3,False
DIAGNOSTIC_ONLY,fixed_macro_f1_at_0_5,macro_f1_at_0_5,max,AGGREGATED_MEDIAN,3,False
DIAGNOSTIC_ONLY,validation_nll,validation_nll,min,0,3,False
DIAGNOSTIC_ONLY,validation_nll,validation_nll,min,1,9,False
DIAGNOSTIC_ONLY,validation_nll,validation_nll,min,AGGREGATED_MEDIAN,6,False
DIAGNOSTIC_ONLY,validation_pr_auc,pr_auc,max,0,8,False
DIAGNOSTIC_ONLY,validation_pr_auc,pr_auc,max,1,7,False
DIAGNOSTIC_ONLY,validation_pr_auc,pr_auc,max,AGGREGATED_MEDIAN,8,False
DIAGNOSTIC_ONLY,threshold_optimized_macro_f1,threshold_optimized_macro_f1,max,0,8,False
DIAGNOSTIC_ONLY,threshold_optimized_macro_f1,threshold_optimized_macro_f1,max,1,7,False
DIAGNOSTIC_ONLY,threshold_optimized_macro_f1,threshold_optimized_macro_f1,max,AGGREGATED_MEDIAN,8,False
