epoch,train_loss,gradient_norm,learning_rate,epoch_runtime_seconds,validation_bce,validation_nll,macro_f1_at_0_5,research_threshold,threshold_optimized_macro_f1,pr_auc,roc_auc,brier,ece,risk_precision_at_0_5,risk_recall_at_0_5,risk_precision_at_research_threshold,risk_recall_at_research_threshold,probability_mean,probability_std,positive_rate,eligible_count,diagnostic_status,outer_fold,seed,inner_fold_count,outer_labels_used,mean_stage_macro_f1,worst_stage_macro_f1,mean_stage_pr_auc,mean_stage_nll,mean_stage_brier,mean_stage_ece
1,0.8219945590670515,0.6064875211294104,0.0005,26.626249062500392,0.5130088855220578,0.5130088855220578,0.7363452873622695,0.5897253453731537,0.759773364325077,0.8071185590759069,0.82674737267626,0.1716212416067719,0.1174901423080798,0.6838716201052779,0.7652673845489227,0.7553000548065468,0.6723885084425387,0.5208325609564781,0.2551452051848173,0.4085931032896042,5216.25,DIAGNOSTIC_ONLY,0,42,2,False,0.7363452873622693,0.638537857357798,0.8071185590759069,0.5130088855220578,0.1716212416067719,0.11749014230807976
2,0.7020419974152635,0.6423204570281796,0.0005,26.43386506249999,0.4897044231707051,0.4897044231707051,0.7467682141753933,0.5690828388929368,0.7696069118258935,0.8196939283520084,0.8356800789896575,0.1632504509761929,0.095674098760701,0.7133028084198283,0.7552883299931678,0.770629905267272,0.6808492314330981,0.5018653720617294,0.2713485285639763,0.4085931032896042,5216.25,DIAGNOSTIC_ONLY,0,42,2,False,0.7467682141753933,0.6397960858799696,0.8196939283520084,0.4897044231707051,0.16325045097619292,0.09567409876070097
3,0.6843877892668654,0.7181953506135359,0.0005,26.35211192499969,0.4689165770376416,0.4689165770376416,0.7650463080645474,0.5078297592699528,0.772366331813905,0.8239283768369267,0.8402035369984967,0.1545401755720377,0.0606565060020196,0.7601938202816867,0.7019899753494117,0.7764656664226551,0.6785161924752596,0.4612138979136944,0.2928694058209657,0.4085931032896042,5216.25,DIAGNOSTIC_ONLY,0,42,2,False,0.7650463080645474,0.6883431695371933,0.8239283768369267,0.4689165770376416,0.15454017557203764,0.06065650600201962
4,0.6685788518771894,0.6949335970893138,0.0005,26.375243125000225,0.4731564295514101,0.4731564295514101,0.7595294813300127,0.5764837101101875,0.7724737355277991,0.8266971467724339,0.8415779080257508,0.1569421617314219,0.076163857085636,0.7216306379470514,0.742082557628596,0.7733769581921268,0.6807821525914926,0.484639398753643,0.2986972313374281,0.4085931032896042,5216.25,DIAGNOSTIC_ONLY,0,42,2,False,0.7595294813300127,0.6759256724742781,0.8266971467724339,0.47315642955141013,0.1569421617314219,0.07616385708563603
5,0.6597074248441835,0.7080764768690597,0.0005,26.280959362500425,0.4831984998050141,0.4831984998050141,0.7503818649645465,0.5680515579879284,0.773215573944384,0.8277751720430535,0.8424882157172827,0.1609454471617937,0.0865383399607284,0.7255604868681581,0.7414571934786497,0.7737822989967881,0.6833790700991663,0.4906975403428077,0.2931447010487318,0.4085931032896042,5216.25,DIAGNOSTIC_ONLY,0,42,2,False,0.7503818649645465,0.6564382055003372,0.8277751720430534,0.48319849980501417,0.16094544716179365,0.08653833996072836
6,0.6516524168049417,0.7480203442093802,0.0005,26.389880825000773,0.490326162287009,0.490326162287009,0.7493921192529419,0.6696265187859535,0.7737925863876507,0.8292058751711082,0.8429337096067209,0.1635410813614726,0.1001964321550003,0.687902669737677,0.7768817337076793,0.7907962722523469,0.6648700544579064,0.5078575611114502,0.3132628798484802,0.4085931032896042,5216.25,DIAGNOSTIC_ONLY,0,42,2,False,0.7493921192529418,0.6604852140114359,0.8292058751711082,0.49032616228700904,0.16354108136147255,0.1001964321550003
7,0.6461975076576558,0.8156765434073239,0.0005,26.37949798749969,0.4949006705683729,0.4949006705683729,0.741430969690556,0.6385075998306274,0.7750109704500965,0.8303042836456286,0.843988893455512,0.1658795895054936,0.1155925241636951,0.6880251119815113,0.7845956417454448,0.7925559689273196,0.6660314021915851,0.524156954139471,0.2857575323432684,0.4085931032896042,5216.25,DIAGNOSTIC_ONLY,0,42,2,False,0.741430969690556,0.6358126970813509,0.8303042836456285,0.4949006705683729,0.16587958950549359,0.11559252416369514
8,0.638759558520666,0.9479656464806416,0.0005,27.063134250000985,0.4892023569781396,0.4892023569781396,0.7446621900256409,0.6382335820794105,0.773182887461518,0.8290617424330236,0.8421093731246961,0.1639782264828682,0.1048789276332692,0.6896101978517698,0.7782404798124963,0.7873894161003175,0.6694145327713256,0.5131952613592148,0.2960678227245807,0.4085931032896042,5216.25,DIAGNOSTIC_ONLY,0,42,2,False,0.7446621900256409,0.6457659227864315,0.8290617424330236,0.48920235697813963,0.16397822648286817,0.10487892763326918
9,0.6302327015777913,1.0307202110203302,0.0005,26.398061162499744,0.4735927298302121,0.4735927298302121,0.7601990660671358,0.5950421132147312,0.7739393468588548,0.828560553834787,0.8416060418850679,0.156707284040749,0.0692017189781246,0.7277221099429589,0.7328975094454455,0.7887244759986537,0.6640001524829392,0.4715751260519027,0.3217874430119991,0.4085931032896042,5216.25,DIAGNOSTIC_ONLY,0,42,2,False,0.7601990660671358,0.6798297326776668,0.828560553834787,0.47359272983021217,0.15670728404074905,0.06920171897812463
10,0.6189761557957021,1.103866210797938,0.0005,26.51114427499988,0.4827069242684211,0.4827069242684211,0.7506581651152091,0.6258396282792091,0.7704338139500895,0.8266608787614944,0.8389805094422011,0.1609193524345755,0.0803297010668998,0.6997324381166394,0.75253713995529,0.7833316208191379,0.6622268905208862,0.4862304478883743,0.3190673217177391,0.4085931032896042,5216.25,DIAGNOSTIC_ONLY,0,42,2,False,0.7506581651152091,0.667851438778802,0.8266608787614944,0.48270692426842116,0.1609193524345755,0.08032970106689985
