aggregated_epoch,architecture_hash,config_hash,configuration,inner_selected_epochs,mean_stage_brier,mean_stage_ece,mean_stage_macro_f1,mean_stage_nll,mean_stage_pr_auc,outer_fold,outer_labels_used,parameter_count,research_thresholds,runtime_seconds,seed,worst_stage_macro_f1
7,305cbeb49ae04c65a4de81e40b12fbf72cee2b7a6171136cee3a19047a407eff,fe24bbec7630bc12965b87bc23a6b05f747b908a03fa3afb01f8e28acd646d7d,CONTROL_CURRENT,"[4, 9]",0.15242643715027324,0.03813873892452218,0.770258057175359,0.46461867374589605,0.8224736758558355,0,False,150202,"{""E1_EARLY_20PCT"":0.5545272827148438,""E2_EARLY_35PCT"":0.4948869049549103,""L1_LATE_75PCT"":0.47149208188056946,""M1_MIDDLE_FROZEN"":0.47108420729637146}",145.96296189999703,1201,0.702870009792573
7,305cbeb49ae04c65a4de81e40b12fbf72cee2b7a6171136cee3a19047a407eff,fe24bbec7630bc12965b87bc23a6b05f747b908a03fa3afb01f8e28acd646d7d,CONTROL_CURRENT,"[7, 6]",0.1507164005979217,0.046134692477479,0.77216374633461,0.4575538388812799,0.8274238753760959,0,False,150202,"{""E1_EARLY_20PCT"":0.5691573619842529,""E2_EARLY_35PCT"":0.5193697810173035,""L1_LATE_75PCT"":0.5054157972335815,""M1_MIDDLE_FROZEN"":0.4769177734851837}",146.19163000000117,2026,0.7044008140912981
6,305cbeb49ae04c65a4de81e40b12fbf72cee2b7a6171136cee3a19047a407eff,a6c77dcd632281985f6d1acc66c28e40277fc515d450ba8f79c922d100b16d22,OPTUNA_SELECTED,"[5, 6]",0.14839734630828416,0.028170108528697328,0.7726004607015298,0.4515428864003173,0.8300864211154945,0,False,150202,"{""E1_EARLY_20PCT"":0.49793392419815063,""E2_EARLY_35PCT"":0.4967002272605896,""L1_LATE_75PCT"":0.48630890250205994,""M1_MIDDLE_FROZEN"":0.4417814612388611}",140.14081199999782,1201,0.7065278884824493
6,305cbeb49ae04c65a4de81e40b12fbf72cee2b7a6171136cee3a19047a407eff,a6c77dcd632281985f6d1acc66c28e40277fc515d450ba8f79c922d100b16d22,OPTUNA_SELECTED,"[6, 6]",0.14673973412102279,0.017494672841142263,0.7746194097249093,0.44744991966154446,0.8316140299369505,0,False,150202,"{""E1_EARLY_20PCT"":0.4829566776752472,""E2_EARLY_35PCT"":0.4678763747215271,""L1_LATE_75PCT"":0.43320292234420776,""M1_MIDDLE_FROZEN"":0.41268157958984375}",143.14605740000115,2026,0.7077211214483211
8,305cbeb49ae04c65a4de81e40b12fbf72cee2b7a6171136cee3a19047a407eff,fe24bbec7630bc12965b87bc23a6b05f747b908a03fa3afb01f8e28acd646d7d,CONTROL_CURRENT,"[8, 7]",0.14870767617309155,0.05019220892182609,0.774275413042958,0.4527801688260678,0.8309165285720053,1,False,150202,"{""E1_EARLY_20PCT"":0.5423295497894287,""E2_EARLY_35PCT"":0.5244600772857666,""L1_LATE_75PCT"":0.5047391057014465,""M1_MIDDLE_FROZEN"":0.5033866763114929}",151.95248320000246,1201,0.7065473914591216
7,305cbeb49ae04c65a4de81e40b12fbf72cee2b7a6171136cee3a19047a407eff,fe24bbec7630bc12965b87bc23a6b05f747b908a03fa3afb01f8e28acd646d7d,CONTROL_CURRENT,"[6, 8]",0.14774955435496678,0.028212382144102353,0.7753476500307437,0.4507816489045092,0.8275037790095685,1,False,150202,"{""E1_EARLY_20PCT"":0.5421279668807983,""E2_EARLY_35PCT"":0.46398183703422546,""L1_LATE_75PCT"":0.390275776386261,""M1_MIDDLE_FROZEN"":0.4335760474205017}",149.21256749999884,2026,0.7074144670173238
7,305cbeb49ae04c65a4de81e40b12fbf72cee2b7a6171136cee3a19047a407eff,215c846aba5d356cff789659736a6f993280c5915f454a8ce4511765aa5d72b1,OPTUNA_SELECTED,"[8, 5]",0.14558570278515545,0.021170108046120125,0.7757509067796038,0.44406902070202964,0.8329088992908817,1,False,150202,"{""E1_EARLY_20PCT"":0.4595789313316345,""E2_EARLY_35PCT"":0.5113633275032043,""L1_LATE_75PCT"":0.48001420497894287,""M1_MIDDLE_FROZEN"":0.45490238070487976}",146.48720930000127,1201,0.707000337507123
5,305cbeb49ae04c65a4de81e40b12fbf72cee2b7a6171136cee3a19047a407eff,215c846aba5d356cff789659736a6f993280c5915f454a8ce4511765aa5d72b1,OPTUNA_SELECTED,"[8, 2]",0.14689720246514515,0.020163753166991136,0.7750826495896229,0.4485706029099247,0.8289439707820785,1,False,150202,"{""E1_EARLY_20PCT"":0.47205445170402527,""E2_EARLY_35PCT"":0.4891761541366577,""L1_LATE_75PCT"":0.4917265474796295,""M1_MIDDLE_FROZEN"":0.43600600957870483}",138.1030277999962,2026,0.7029632547895137
5,305cbeb49ae04c65a4de81e40b12fbf72cee2b7a6171136cee3a19047a407eff,fe24bbec7630bc12965b87bc23a6b05f747b908a03fa3afb01f8e28acd646d7d,CONTROL_CURRENT,"[5, 4]",0.1513351018091904,0.03653538351655219,0.7679795209080965,0.46058979007431977,0.8194352441887979,2,False,150202,"{""E1_EARLY_20PCT"":0.5275851488113403,""E2_EARLY_35PCT"":0.4957093596458435,""L1_LATE_75PCT"":0.5243334174156189,""M1_MIDDLE_FROZEN"":0.4842352569103241}",137.2739053999976,1201,0.6982658827689807
8,305cbeb49ae04c65a4de81e40b12fbf72cee2b7a6171136cee3a19047a407eff,fe24bbec7630bc12965b87bc23a6b05f747b908a03fa3afb01f8e28acd646d7d,CONTROL_CURRENT,"[7, 9]",0.15079767613055964,0.037975095811074194,0.7709648401021193,0.4582506535928269,0.8234028565888077,2,False,150202,"{""E1_EARLY_20PCT"":0.5376957058906555,""E2_EARLY_35PCT"":0.5575686693191528,""L1_LATE_75PCT"":0.4568212032318115,""M1_MIDDLE_FROZEN"":0.4907441735267639}",158.12487050000345,2026,0.6992965207815509
