brier,configuration,ece,macro_f1,nll,outer_fold,pr_auc,prediction_stage,roc_auc
0.19797709191856383,CONTROL_CURRENT,0.06853929390537786,0.6998922229156869,0.5800347583621653,0,0.7482898943156748,E1_EARLY_20PCT,0.7661808115449564
0.1703714884006712,CONTROL_CURRENT,0.0433676901064457,0.7402211269667542,0.5113437135743939,0,0.7996877775286996,E2_EARLY_35PCT,0.8119404172844713
0.13778615103572167,CONTROL_CURRENT,0.022540703613792613,0.7893959385824671,0.4271753478712841,0,0.8508113929856569,M1_MIDDLE_FROZEN,0.863962959148916
0.10246743971035747,CONTROL_CURRENT,0.01463063349669042,0.8462042338429416,0.3327175980617882,0,0.8965531974794052,L1_LATE_75PCT,0.9078767515380357
0.19077137046395928,OPTUNA_SELECTED,0.0519136524190733,0.7074416758234812,0.5610771792902144,0,0.7610199232744022,E1_EARLY_20PCT,0.7754565185013926
0.16438208120769818,OPTUNA_SELECTED,0.0355284238855044,0.7457821744431505,0.4938693530938268,0,0.809867329796065,E2_EARLY_35PCT,0.8233311316035165
0.1340860988244861,OPTUNA_SELECTED,0.011339980681465134,0.7966551135942899,0.4156057370999605,0,0.8571403252584376,M1_MIDDLE_FROZEN,0.8707601652421201
0.1001877735277073,OPTUNA_SELECTED,0.009839176600993375,0.8465751218364992,0.32352389031907597,0,0.8999565918052831,L1_LATE_75PCT,0.9135372742104115
0.19292857459149193,CONTROL_CURRENT,0.047878919962767975,0.702466303760749,0.5685772223056319,1,0.7516432021965146,E1_EARLY_20PCT,0.7684833129811168
0.16706527774778593,CONTROL_CURRENT,0.03147721945559092,0.7390311355442893,0.5037578591643569,1,0.8015109838413914,E2_EARLY_35PCT,0.8154583210602976
0.13670579147424203,CONTROL_CURRENT,0.02322596936513959,0.7898101437207388,0.4242180502960538,1,0.8528372163588958,M1_MIDDLE_FROZEN,0.8648078072128706
0.09728374571154522,CONTROL_CURRENT,0.011747642488936422,0.8546326750099968,0.3191125350803613,1,0.9031022952448411,L1_LATE_75PCT,0.9131332837944116
0.1881896763478612,OPTUNA_SELECTED,0.028571321345512476,0.7100222894430788,0.5568792862958987,1,0.7579282242857719,E1_EARLY_20PCT,0.775198730885035
0.16295123162735028,OPTUNA_SELECTED,0.017190441178428818,0.7489171144531482,0.4928399339983408,1,0.8068704536867446,E2_EARLY_35PCT,0.8225858986877322
0.1339214109447507,OPTUNA_SELECTED,0.016842882649635484,0.795449950152027,0.4159952886832779,1,0.8571512471383991,M1_MIDDLE_FROZEN,0.8698120464105912
0.09669521255067373,OPTUNA_SELECTED,0.009614086987023231,0.8535931539333952,0.3155652063948126,1,0.9047629634128915,L1_LATE_75PCT,0.9168750641524218
0.19240727196266996,CONTROL_CURRENT,0.04076146057048388,0.7033706845637799,0.5670857139657184,2,0.7479310863388832,E1_EARLY_20PCT,0.7674918427245918
0.16647929941118925,CONTROL_CURRENT,0.01978438974667997,0.7389866074477903,0.5016520635282753,2,0.7963590271744163,E2_EARLY_35PCT,0.8148790720595644
0.1363249597273616,CONTROL_CURRENT,0.02212059951831384,0.7927434269878944,0.42337569789283813,2,0.8494925732898051,M1_MIDDLE_FROZEN,0.8637944113390172
0.10037690746888807,CONTROL_CURRENT,0.017552103069154692,0.849891738681554,0.32724348791314684,2,0.8970205249265089,L1_LATE_75PCT,0.9094456969093244
0.18890471725603727,OPTUNA_SELECTED,0.0386927167472764,0.7099289991088344,0.5570840364311722,2,0.7592668294944598,E1_EARLY_20PCT,0.7752289429112583
0.16455091315096076,OPTUNA_SELECTED,0.029713639873354507,0.748244999576086,0.4952223040140383,2,0.804175186320192,E2_EARLY_35PCT,0.8214612769908497
0.13508434271106642,OPTUNA_SELECTED,0.012048189240486023,0.7938648232011238,0.4183117692157178,2,0.8520451965003395,M1_MIDDLE_FROZEN,0.867393052170576
0.09983223543252165,OPTUNA_SELECTED,0.01371657893958339,0.8489331996145754,0.32418209847623236,2,0.8975554513675859,L1_LATE_75PCT,0.9109862469161694
