configuration,outer_fold,prediction_stage,research_threshold
CONTROL_CURRENT,0,E1_EARLY_20PCT,0.5836368799209595
CONTROL_CURRENT,0,E2_EARLY_35PCT,0.5058707594871521
CONTROL_CURRENT,0,M1_MIDDLE_FROZEN,0.467374324798584
CONTROL_CURRENT,0,L1_LATE_75PCT,0.42369410395622253
OPTUNA_SELECTED,0,E1_EARLY_20PCT,0.5399999999999999
OPTUNA_SELECTED,0,E2_EARLY_35PCT,0.5454830527305603
OPTUNA_SELECTED,0,M1_MIDDLE_FROZEN,0.48151442408561707
OPTUNA_SELECTED,0,L1_LATE_75PCT,0.47693395614624023
CONTROL_CURRENT,1,E1_EARLY_20PCT,0.5256106853485107
CONTROL_CURRENT,1,E2_EARLY_35PCT,0.4639457166194916
CONTROL_CURRENT,1,M1_MIDDLE_FROZEN,0.40030571818351746
CONTROL_CURRENT,1,L1_LATE_75PCT,0.4970247149467468
OPTUNA_SELECTED,1,E1_EARLY_20PCT,0.49808990955352783
OPTUNA_SELECTED,1,E2_EARLY_35PCT,0.46345454454421997
OPTUNA_SELECTED,1,M1_MIDDLE_FROZEN,0.41167259216308594
OPTUNA_SELECTED,1,L1_LATE_75PCT,0.44693294167518616
CONTROL_CURRENT,2,E1_EARLY_20PCT,0.48243340849876404
CONTROL_CURRENT,2,E2_EARLY_35PCT,0.4928247034549713
CONTROL_CURRENT,2,M1_MIDDLE_FROZEN,0.40702539682388306
CONTROL_CURRENT,2,L1_LATE_75PCT,0.41981327533721924
OPTUNA_SELECTED,2,E1_EARLY_20PCT,0.47656112909317017
OPTUNA_SELECTED,2,E2_EARLY_35PCT,0.5144006013870239
OPTUNA_SELECTED,2,M1_MIDDLE_FROZEN,0.46549028158187866
OPTUNA_SELECTED,2,L1_LATE_75PCT,0.5424606800079346
