outer_fold,stage,feature_group,level,count,mlp_accuracy,hybrid_accuracy
0,E1_EARLY_20PCT,total_clicks,LOW,5538,0.7146984470928133,0.7136150234741784
0,E1_EARLY_20PCT,total_clicks,HIGH,5515,0.7086128739800543,0.7211242067089755
0,E1_EARLY_20PCT,assessment_count,LOW,5658,0.724107458465889,0.7264050901378579
0,E1_EARLY_20PCT,assessment_count,HIGH,5395,0.6986098239110288,0.7078776645041706
0,E1_EARLY_20PCT,observed_weeks,LOW,6486,0.6993524514338575,0.7084489670058588
0,E1_EARLY_20PCT,observed_weeks,HIGH,4567,0.7291438581125466,0.7300197065907598
0,E2_EARLY_35PCT,total_clicks,LOW,5326,0.7521592189260233,0.7579797221179121
0,E2_EARLY_35PCT,total_clicks,HIGH,5321,0.758691975192633,0.7630144709641045
0,E2_EARLY_35PCT,assessment_count,LOW,8849,0.751949372810487,0.756017629110634
0,E2_EARLY_35PCT,assessment_count,HIGH,1798,0.7725250278086763,0.7825361512791991
0,E2_EARLY_35PCT,observed_weeks,LOW,6220,0.7491961414790996,0.75
0,E2_EARLY_35PCT,observed_weeks,HIGH,4427,0.7641743844590015,0.7752428281002937
0,M1_MIDDLE_FROZEN,total_clicks,LOW,5132,0.8045596258768511,0.8076773187840998
0,M1_MIDDLE_FROZEN,total_clicks,HIGH,5126,0.8033554428404214,0.8138899726882559
0,M1_MIDDLE_FROZEN,assessment_count,LOW,6566,0.8102345415778252,0.8131282363691745
0,M1_MIDDLE_FROZEN,assessment_count,HIGH,3692,0.792795232936078,0.8066088840736728
0,M1_MIDDLE_FROZEN,observed_weeks,LOW,6001,0.7873687718713548,0.7955340776537244
0,M1_MIDDLE_FROZEN,observed_weeks,HIGH,4257,0.8273431994362227,0.8322762508809021
0,L1_LATE_75PCT,total_clicks,LOW,4887,0.8626969510947412,0.8569674647022714
0,L1_LATE_75PCT,total_clicks,HIGH,4885,0.8655066530194473,0.867553735926305
0,L1_LATE_75PCT,assessment_count,LOW,4928,0.872362012987013,0.867288961038961
0,L1_LATE_75PCT,assessment_count,HIGH,4844,0.8556977704376548,0.8571428571428571
0,L1_LATE_75PCT,observed_weeks,LOW,5670,0.8580246913580247,0.8560846560846561
0,L1_LATE_75PCT,observed_weeks,HIGH,4102,0.8725012189176011,0.870794734275963
1,E1_EARLY_20PCT,total_clicks,LOW,5527,0.7144924914058259,0.7163017912068029
1,E1_EARLY_20PCT,total_clicks,HIGH,5525,0.7134841628959276,0.7201809954751132
1,E1_EARLY_20PCT,assessment_count,LOW,5672,0.728490832157969,0.7320169252468265
1,E1_EARLY_20PCT,assessment_count,HIGH,5380,0.6986988847583643,0.7037174721189591
1,E1_EARLY_20PCT,observed_weeks,LOW,6475,0.7013127413127414,0.7076447876447877
1,E1_EARLY_20PCT,observed_weeks,HIGH,4577,0.7319204719248416,0.7332313742626174
1,E2_EARLY_35PCT,total_clicks,LOW,5327,0.7525811901633189,0.7538952506100995
1,E2_EARLY_35PCT,total_clicks,HIGH,5317,0.76415271769795,0.765657325559526
1,E2_EARLY_35PCT,assessment_count,LOW,8827,0.7530304746799592,0.7563158490993542
1,E2_EARLY_35PCT,assessment_count,HIGH,1817,0.7842597688497523,0.7765547605943863
1,E2_EARLY_35PCT,observed_weeks,LOW,6188,0.7474143503555268,0.7457983193277311
1,E2_EARLY_35PCT,observed_weeks,HIGH,4456,0.7735637342908438,0.7791741472172352
1,M1_MIDDLE_FROZEN,total_clicks,LOW,5140,0.7970817120622569,0.7998054474708172
1,M1_MIDDLE_FROZEN,total_clicks,HIGH,5129,0.8138038604016378,0.8153636186391109
1,M1_MIDDLE_FROZEN,assessment_count,LOW,6579,0.8087855297157622,0.8100015199878401
1,M1_MIDDLE_FROZEN,assessment_count,HIGH,3690,0.7994579945799458,0.8032520325203252
1,M1_MIDDLE_FROZEN,observed_weeks,LOW,5986,0.7900100233879052,0.7913464751085867
1,M1_MIDDLE_FROZEN,observed_weeks,HIGH,4283,0.8269904272706047,0.830259164137287
1,L1_LATE_75PCT,total_clicks,LOW,4880,0.8592213114754098,0.8602459016393442
1,L1_LATE_75PCT,total_clicks,HIGH,4880,0.878483606557377,0.8817622950819672
1,L1_LATE_75PCT,assessment_count,LOW,4953,0.8742176458711892,0.8762366242681203
1,L1_LATE_75PCT,assessment_count,HIGH,4807,0.8633243187018931,0.8656126482213439
1,L1_LATE_75PCT,observed_weeks,LOW,5654,0.8622214361513972,0.8620445702157764
1,L1_LATE_75PCT,observed_weeks,HIGH,4106,0.8779834388699465,0.88334145153434
2,E1_EARLY_20PCT,total_clicks,LOW,5525,0.7040723981900453,0.7067873303167421
2,E1_EARLY_20PCT,total_clicks,HIGH,5502,0.7121046892039259,0.7231915667030171
2,E1_EARLY_20PCT,assessment_count,LOW,5664,0.7206920903954802,0.7229872881355932
2,E1_EARLY_20PCT,assessment_count,HIGH,5363,0.6947603953011374,0.7065075517434272
2,E1_EARLY_20PCT,observed_weeks,LOW,6469,0.6940794558664399,0.7011902921626217
2,E1_EARLY_20PCT,observed_weeks,HIGH,4558,0.7279508556384379,0.7345326897762177
2,E2_EARLY_35PCT,total_clicks,LOW,5305,0.7400565504241282,0.7455230914231856
2,E2_EARLY_35PCT,total_clicks,HIGH,5296,0.7647280966767371,0.7713368580060423
2,E2_EARLY_35PCT,assessment_count,LOW,8812,0.7473899228325012,0.7534044484793464
2,E2_EARLY_35PCT,assessment_count,HIGH,1789,0.7769703745108999,0.7831190609278926
2,E2_EARLY_35PCT,observed_weeks,LOW,6174,0.7402008422416586,0.749271137026239
2,E2_EARLY_35PCT,observed_weeks,HIGH,4427,0.7693697763722611,0.7711768692116557
2,M1_MIDDLE_FROZEN,total_clicks,LOW,5117,0.7991010357631425,0.8030095759233926
2,M1_MIDDLE_FROZEN,total_clicks,HIGH,5112,0.8067292644757433,0.8131846635367762
2,M1_MIDDLE_FROZEN,assessment_count,LOW,6495,0.8073903002309469,0.8113933795227097
2,M1_MIDDLE_FROZEN,assessment_count,HIGH,3734,0.7951258703802893,0.802356722013926
2,M1_MIDDLE_FROZEN,observed_weeks,LOW,5971,0.7839557863004522,0.7919946407636912
2,M1_MIDDLE_FROZEN,observed_weeks,HIGH,4258,0.8294974166275246,0.8306716768435886
2,L1_LATE_75PCT,total_clicks,LOW,4869,0.8584925035941672,0.8595194085027726
2,L1_LATE_75PCT,total_clicks,HIGH,4869,0.8728691723146437,0.8790306017662765
2,L1_LATE_75PCT,assessment_count,LOW,4875,0.8750769230769231,0.8763076923076923
