outer_fold,seed,ablation,mean_stage_macro_f1
0,1201,H1_FULL,0.7736890286238157
0,1201,H1_WITH_TEMPORAL_BRANCH_DISABLED,0.7540970991735518
0,1201,H1_WITH_RESIDUAL_TABULAR_LOGIT_DISABLED,0.762180605154652
0,2026,H1_FULL,0.7750166452156064
0,2026,H1_WITH_TEMPORAL_BRANCH_DISABLED,0.7540981949762433
0,2026,H1_WITH_RESIDUAL_TABULAR_LOGIT_DISABLED,0.7650615747939177
1,1201,H1_FULL,0.7785734005105124
1,1201,H1_WITH_TEMPORAL_BRANCH_DISABLED,0.766764257959268
1,1201,H1_WITH_RESIDUAL_TABULAR_LOGIT_DISABLED,0.7638516585903875
1,2026,H1_FULL,0.7778510429116031
1,2026,H1_WITH_TEMPORAL_BRANCH_DISABLED,0.7586502169282785
1,2026,H1_WITH_RESIDUAL_TABULAR_LOGIT_DISABLED,0.7661639313548497
2,1201,H1_FULL,0.7752028431427089
2,1201,H1_WITH_TEMPORAL_BRANCH_DISABLED,0.7629162841085741
2,1201,H1_WITH_RESIDUAL_TABULAR_LOGIT_DISABLED,0.754955004392237
2,2026,H1_FULL,0.7737297042455662
2,2026,H1_WITH_TEMPORAL_BRANCH_DISABLED,0.7499003384420391
2,2026,H1_WITH_RESIDUAL_TABULAR_LOGIT_DISABLED,0.7615204358274369
