configuration,outer_fold,seed,macro_f1,pr_auc,roc_auc,nll,brier,ece,inner_selected_epochs,aggregated_epoch,research_threshold,operational_threshold,architecture_hash,parameter_count,config_hash,prediction_path,runtime_seconds,outer_labels_used
CONTROL,0,1201,0.795567578340039,0.8562278965743564,0.8694527642012373,0.41578477382520684,0.13435578077501784,0.017738464988766637,"[10, 6]",8,"{""macro_f1"": 0.795567578340039, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_RESEARCH_MACRO_F1"", ""source"": ""pooled_inner_oof"", ""threshold"": 0.43960073590278625}","{""eligible_for_checkpoint_selection"": false, ""minimum_precision"": 0.75, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_OPERATIONAL_RECALL_AT_PRECISION"", ""precision"": 0.75, ""recall"": 0.7390243902439024, ""source"": ""pooled_inner_oof"", ""status"": ""PRECISION_CONSTRAINT_MET"", ""threshold"": 0.35814163088798523}",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,a6c77dcd632281985f6d1acc66c28e40277fc515d450ba8f79c922d100b16d22,artifacts/audit/phase7/runtime/predictions/stability_CONTROL_outer0_seed1201.parquet,58.198193300006096,False
CONTROL,0,2026,0.7975542512747908,0.85859794022444,0.8704626145644372,0.4154136240385599,0.13367885736117008,0.018726277095932987,"[9, 12]",11,"{""macro_f1"": 0.7975542512747908, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_RESEARCH_MACRO_F1"", ""source"": ""pooled_inner_oof"", ""threshold"": 0.456545352935791}","{""eligible_for_checkpoint_selection"": false, ""minimum_precision"": 0.75, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_OPERATIONAL_RECALL_AT_PRECISION"", ""precision"": 0.7500616218880947, ""recall"": 0.7421951219512195, ""source"": ""pooled_inner_oof"", ""status"": ""PRECISION_CONSTRAINT_MET"", ""threshold"": 0.3680749833583832}",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,a6c77dcd632281985f6d1acc66c28e40277fc515d450ba8f79c922d100b16d22,artifacts/audit/phase7/runtime/predictions/stability_CONTROL_outer0_seed2026.parquet,60.47800830000779,False
CONTROL,1,1201,0.7983666664244214,0.8594874110084554,0.8735220762669489,0.4117545224116982,0.13254601127087115,0.013375194753070453,"[12, 12]",12,"{""macro_f1"": 0.7983666664244214, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_RESEARCH_MACRO_F1"", ""source"": ""pooled_inner_oof"", ""threshold"": 0.4701418876647949}","{""eligible_for_checkpoint_selection"": false, ""minimum_precision"": 0.75, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_OPERATIONAL_RECALL_AT_PRECISION"", ""precision"": 0.7501226091221187, ""recall"": 0.7473735646225262, ""source"": ""pooled_inner_oof"", ""status"": ""PRECISION_CONSTRAINT_MET"", ""threshold"": 0.3703199326992035}",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,215c846aba5d356cff789659736a6f993280c5915f454a8ce4511765aa5d72b1,artifacts/audit/phase7/runtime/predictions/stability_CONTROL_outer1_seed1201.parquet,61.975717199995415,False
CONTROL,1,2026,0.7927221065431498,0.8597788359287194,0.8727126687925422,0.4123389532991033,0.1328948188691396,0.016787103656887986,"[5, 13]",9,"{""macro_f1"": 0.7927221065431498, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_RESEARCH_MACRO_F1"", ""source"": ""pooled_inner_oof"", ""threshold"": 0.45813143253326416}","{""eligible_for_checkpoint_selection"": false, ""minimum_precision"": 0.75, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_OPERATIONAL_RECALL_AT_PRECISION"", ""precision"": 0.75, ""recall"": 0.7380894209626191, ""source"": ""pooled_inner_oof"", ""status"": ""PRECISION_CONSTRAINT_MET"", ""threshold"": 0.36971190571784973}",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,215c846aba5d356cff789659736a6f993280c5915f454a8ce4511765aa5d72b1,artifacts/audit/phase7/runtime/predictions/stability_CONTROL_outer1_seed2026.parquet,58.328651699994225,False
CONTROL,2,1201,0.79567379465506,0.8548222949038871,0.8691336160842557,0.41644895950338306,0.13390955235679697,0.015225470249075598,"[7, 5]",6,"{""macro_f1"": 0.79567379465506, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_RESEARCH_MACRO_F1"", ""source"": ""pooled_inner_oof"", ""threshold"": 0.4596829414367676}","{""eligible_for_checkpoint_selection"": false, ""minimum_precision"": 0.75, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_OPERATIONAL_RECALL_AT_PRECISION"", ""precision"": 0.7509520182787509, ""recall"": 0.7316349245609696, ""source"": ""pooled_inner_oof"", ""status"": ""PRECISION_CONSTRAINT_MET"", ""threshold"": 0.3949984908103943}",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,fd7e93437d2c2c073aa84ec3eeb76924df15dd2a5bd219ebee3a5c1575befb8b,artifacts/audit/phase7/runtime/predictions/stability_CONTROL_outer2_seed1201.parquet,64.8559865999996,False
CONTROL,2,2026,0.795592635166134,0.8564243493788676,0.8709606254266794,0.4135745177763986,0.13302670982241635,0.009477672294133328,"[4, 4]",4,"{""macro_f1"": 0.795592635166134, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_RESEARCH_MACRO_F1"", ""source"": ""pooled_inner_oof"", ""threshold"": 0.4663397967815399}","{""eligible_for_checkpoint_selection"": false, ""minimum_precision"": 0.75, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_OPERATIONAL_RECALL_AT_PRECISION"", ""precision"": 0.7501883002761738, ""recall"": 0.739055157061588, ""source"": ""pooled_inner_oof"", ""status"": ""PRECISION_CONSTRAINT_MET"", ""threshold"": 0.38147851824760437}",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,fd7e93437d2c2c073aa84ec3eeb76924df15dd2a5bd219ebee3a5c1575befb8b,artifacts/audit/phase7/runtime/predictions/stability_CONTROL_outer2_seed2026.parquet,60.33417480000935,False
TUNED,0,1201,0.7956764652361443,0.8579925798403784,0.871257970991532,0.41380537426216923,0.13363300168698786,0.01768924223996667,"[10, 12]",11,"{""macro_f1"": 0.7956764652361443, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_RESEARCH_MACRO_F1"", ""source"": ""pooled_inner_oof"", ""threshold"": 0.4678865969181061}","{""eligible_for_checkpoint_selection"": false, ""minimum_precision"": 0.75, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_OPERATIONAL_RECALL_AT_PRECISION"", ""precision"": 0.7503062974761088, ""recall"": 0.7468292682926829, ""source"": ""pooled_inner_oof"", ""status"": ""PRECISION_CONSTRAINT_MET"", ""threshold"": 0.36764833331108093}",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,b9825e91d7752920c29c24ca5a7cbe1b6041f943c9028d0ca5f8afc125e9e901,artifacts/audit/phase7/runtime/predictions/stability_TUNED_outer0_seed1201.parquet,61.494924400001764,False
TUNED,0,2026,0.7951087786948552,0.8581117389854285,0.8713043908776211,0.41568402827134904,0.1342171466518834,0.015972434687065912,"[11, 5]",8,"{""macro_f1"": 0.7951087786948552, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_RESEARCH_MACRO_F1"", ""source"": ""pooled_inner_oof"", ""threshold"": 0.4675082862377167}","{""eligible_for_checkpoint_selection"": false, ""minimum_precision"": 0.75, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_OPERATIONAL_RECALL_AT_PRECISION"", ""precision"": 0.7503087182020252, ""recall"": 0.7409756097560976, ""source"": ""pooled_inner_oof"", ""status"": ""PRECISION_CONSTRAINT_MET"", ""threshold"": 0.37440815567970276}",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,b9825e91d7752920c29c24ca5a7cbe1b6041f943c9028d0ca5f8afc125e9e901,artifacts/audit/phase7/runtime/predictions/stability_TUNED_outer0_seed2026.parquet,57.91229000000749,False
TUNED,1,1201,0.7970180683738464,0.8597434755060266,0.8714234637299371,0.4126079727282386,0.13286191435299366,0.017706843467870232,"[5, 8]",7,"{""macro_f1"": 0.7970180683738464, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_RESEARCH_MACRO_F1"", ""source"": ""pooled_inner_oof"", ""threshold"": 0.4997026324272156}","{""eligible_for_checkpoint_selection"": false, ""minimum_precision"": 0.75, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_OPERATIONAL_RECALL_AT_PRECISION"", ""precision"": 0.7506808615994058, ""recall"": 0.7407769362325922, ""source"": ""pooled_inner_oof"", ""status"": ""PRECISION_CONSTRAINT_MET"", ""threshold"": 0.3806012272834778}",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,9fa9d402e90b46cb76feb097ff80a02fc5828a8676bf965d7f37175e10d4b1f2,artifacts/audit/phase7/runtime/predictions/stability_TUNED_outer1_seed1201.parquet,66.92214210001111,False
TUNED,1,2026,0.7942982891866915,0.8590615651820253,0.8730763592016699,0.4128939500863302,0.1328665086386595,0.017815570177687964,"[13, 7]",10,"{""macro_f1"": 0.7942982891866915, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_RESEARCH_MACRO_F1"", ""source"": ""pooled_inner_oof"", ""threshold"": 0.4506801664829254}","{""eligible_for_checkpoint_selection"": false, ""minimum_precision"": 0.75, ""outer_labels_used"": false, ""policy"": ""INNER_OOF_OPERATIONAL_RECALL_AT_PRECISION"", ""precision"": 0.7502467917077986, ""recall"": 0.7427314927925727, ""source"": ""pooled_inner_oof"", ""status"": ""PRECISION_CONSTRAINT_MET"", ""threshold"": 0.3852697014808655}",df5cd885b96e5cea4b840bfc5ca59c08c095f5887df8dd8dcef738edfe8bf70e,160492,9fa9d402e90b46cb76feb097ff80a02fc5828a8676bf965d7f37175e10d4b1f2,artifacts/audit/phase7/runtime/predictions/stability_TUNED_outer1_seed2026.parquet,71.39813329999743,False
