feature_group,H0_feature,H1_feature,classification,H0_semantics,H1_semantics,endpoint_legality,evidence_source
temporal,total_clicks,total_clicks,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,active_days,active_days,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,unique_sites,unique_sites,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,unique_activity_types,unique_activity_types,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,content_clicks,content_clicks,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,forum_clicks,forum_clicks,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,quiz_clicks,quiz_clicks,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,assessment_related_clicks,assessment_related_clicks,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,submitted_assessment_count,submitted_assessment_count,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,late_submission_count,late_submission_count,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,available_score_count,available_score_count,SHARED_NAME_DIFFERENT_AVAILABILITY,"populated from scores available by max(submission,due-date)",score values excluded; missing-mask fixed unavailable,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,cumulative_mean_score,cumulative_mean_score,SHARED_NAME_DIFFERENT_AVAILABILITY,"populated from scores available by max(submission,due-date)",score values excluded; missing-mask fixed unavailable,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,cumulative_weighted_score,cumulative_weighted_score,SHARED_NAME_DIFFERENT_AVAILABILITY,"populated from scores available by max(submission,due-date)",score values excluded; missing-mask fixed unavailable,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,days_since_last_vle_activity,days_since_last_vle_activity,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,weeks_without_activity,weeks_without_activity,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,score_missing_mask,score_missing_mask,SHARED_NAME_DIFFERENT_AVAILABILITY,"populated from scores available by max(submission,due-date)",score values excluded; missing-mask fixed unavailable,historical conservative proxy; exact release timestamp absent,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,log1p_total_clicks,log1p_total_clicks,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,log1p_active_days,log1p_active_days,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,log1p_unique_sites,log1p_unique_sites,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,log1p_assessment_related_clicks,log1p_assessment_related_clicks,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
temporal,log1p_submitted_assessment_count,log1p_submitted_assessment_count,SHARED_EQUIVALENT,events before cutoff,events before cutoff,legal,git:308370:src/studies/oulad/materialize.py;src/pipelines/oulad.py
