dataset,task,stage,model,fold,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,pr_auc,roc_auc,nll,brier,ece,threshold,risk_precision,risk_recall,risk_f1,not_risk_precision,not_risk_recall,not_risk_f1,specificity,tn,fp,fn,tp,rows
oulad,EARLY_WARNING,E1_EARLY_20PCT,logistic_regression,0.0,42,0.7153999637221113,0.6957078789648448,0.7220841778835067,0.6957078789648448,0.6973027252002681,0.7197894974862962,0.7153999637221113,0.7065527232281242,0.7530883674654587,0.7773903245248551,0.5644066748995018,0.1916577761990714,0.014103632563362972,,0.7404449515116942,0.5381426202321725,0.6232893157262905,0.7037234042553191,0.8532731376975169,0.7713161346742458,0.8532731376975169,2646,455,1114,1298,5513
oulad,EARLY_WARNING,E1_EARLY_20PCT,logistic_regression,0.0,1201,0.7153999637221113,0.6957078789648448,0.7220841778835067,0.6957078789648448,0.6973027252002681,0.7197894974862962,0.7153999637221113,0.7065527232281242,0.7530883674654587,0.7773903245248551,0.5644066748995018,0.1916577761990714,0.014103632563362972,,0.7404449515116942,0.5381426202321725,0.6232893157262905,0.7037234042553191,0.8532731376975169,0.7713161346742458,0.8532731376975169,2646,455,1114,1298,5513
oulad,EARLY_WARNING,E1_EARLY_20PCT,logistic_regression,0.0,2026,0.7153999637221113,0.6957078789648448,0.7220841778835067,0.6957078789648448,0.6973027252002681,0.7197894974862962,0.7153999637221113,0.7065527232281242,0.7530883674654587,0.7773903245248551,0.5644066748995018,0.1916577761990714,0.014103632563362972,,0.7404449515116942,0.5381426202321725,0.6232893157262905,0.7037234042553191,0.8532731376975169,0.7713161346742458,0.8532731376975169,2646,455,1114,1298,5513
oulad,EARLY_WARNING,E1_EARLY_20PCT,logistic_regression,0.0,3407,0.7153999637221113,0.6957078789648448,0.7220841778835067,0.6957078789648448,0.6973027252002681,0.7197894974862962,0.7153999637221113,0.7065527232281242,0.7530883674654587,0.7773903245248551,0.5644066748995018,0.1916577761990714,0.014103632563362972,,0.7404449515116942,0.5381426202321725,0.6232893157262905,0.7037234042553191,0.8532731376975169,0.7713161346742458,0.8532731376975169,2646,455,1114,1298,5513
oulad,EARLY_WARNING,E1_EARLY_20PCT,logistic_regression,0.0,7319,0.7153999637221113,0.6957078789648448,0.7220841778835067,0.6957078789648448,0.6973027252002681,0.7197894974862962,0.7153999637221113,0.7065527232281242,0.7530883674654587,0.7773903245248551,0.5644066748995018,0.1916577761990714,0.014103632563362972,,0.7404449515116942,0.5381426202321725,0.6232893157262905,0.7037234042553191,0.8532731376975169,0.7713161346742458,0.8532731376975169,2646,455,1114,1298,5513
oulad,EARLY_WARNING,E2_EARLY_35PCT,logistic_regression,0.0,42,0.7603321381392716,0.7434375079786133,0.7565975621638927,0.7434375079786133,0.7474450015972024,0.7588674018265642,0.7603321381392716,0.7571884089243308,0.7980091588171225,0.8248201712258115,0.5144658091403395,0.1708377661567956,0.02284159679258043,,0.7433070866141732,0.6445152480655439,0.6903949293027791,0.7698880377136122,0.8423597678916828,0.8044950738916257,0.8423597678916828,2613,489,781,1416,5299
oulad,EARLY_WARNING,E2_EARLY_35PCT,logistic_regression,0.0,1201,0.7603321381392716,0.7434375079786133,0.7565975621638927,0.7434375079786133,0.7474450015972024,0.7588674018265642,0.7603321381392716,0.7571884089243308,0.7980091588171225,0.8248201712258115,0.5144658091403395,0.1708377661567956,0.02284159679258043,,0.7433070866141732,0.6445152480655439,0.6903949293027791,0.7698880377136122,0.8423597678916828,0.8044950738916257,0.8423597678916828,2613,489,781,1416,5299
oulad,EARLY_WARNING,E2_EARLY_35PCT,logistic_regression,0.0,2026,0.7603321381392716,0.7434375079786133,0.7565975621638927,0.7434375079786133,0.7474450015972024,0.7588674018265642,0.7603321381392716,0.7571884089243308,0.7980091588171225,0.8248201712258115,0.5144658091403395,0.1708377661567956,0.02284159679258043,,0.7433070866141732,0.6445152480655439,0.6903949293027791,0.7698880377136122,0.8423597678916828,0.8044950738916257,0.8423597678916828,2613,489,781,1416,5299
oulad,EARLY_WARNING,E2_EARLY_35PCT,logistic_regression,0.0,3407,0.7603321381392716,0.7434375079786133,0.7565975621638927,0.7434375079786133,0.7474450015972024,0.7588674018265642,0.7603321381392716,0.7571884089243308,0.7980091588171225,0.8248201712258115,0.5144658091403395,0.1708377661567956,0.02284159679258043,,0.7433070866141732,0.6445152480655439,0.6903949293027791,0.7698880377136122,0.8423597678916828,0.8044950738916257,0.8423597678916828,2613,489,781,1416,5299
oulad,EARLY_WARNING,E2_EARLY_35PCT,logistic_regression,0.0,7319,0.7603321381392716,0.7434375079786133,0.7565975621638927,0.7434375079786133,0.7474450015972024,0.7588674018265642,0.7603321381392716,0.7571884089243308,0.7980091588171225,0.8248201712258115,0.5144658091403395,0.1708377661567956,0.02284159679258043,,0.7433070866141732,0.6445152480655439,0.6903949293027791,0.7698880377136122,0.8423597678916828,0.8044950738916257,0.8423597678916828,2613,489,781,1416,5299
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,logistic_regression,0.0,42,0.8,0.7901814041134624,0.7906894273804526,0.7901814041134624,0.7904320340701436,0.7998313302061677,0.8,0.7999125414448824,0.8512188160027587,0.8703756775736617,0.4290284222809726,0.13816089205418386,0.023232528979785262,,0.7475099601593626,0.7438057482656095,0.7456532538499752,0.8338688946015425,0.8365570599613152,0.8352108142903122,0.8365570599613152,2595,507,517,1501,5120
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,logistic_regression,0.0,1201,0.8,0.7901814041134624,0.7906894273804526,0.7901814041134624,0.7904320340701436,0.7998313302061677,0.8,0.7999125414448824,0.8512188160027587,0.8703756775736617,0.4290284222809726,0.13816089205418386,0.023232528979785262,,0.7475099601593626,0.7438057482656095,0.7456532538499752,0.8338688946015425,0.8365570599613152,0.8352108142903122,0.8365570599613152,2595,507,517,1501,5120
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,logistic_regression,0.0,2026,0.8,0.7901814041134624,0.7906894273804526,0.7901814041134624,0.7904320340701436,0.7998313302061677,0.8,0.7999125414448824,0.8512188160027587,0.8703756775736617,0.4290284222809726,0.13816089205418386,0.023232528979785262,,0.7475099601593626,0.7438057482656095,0.7456532538499752,0.8338688946015425,0.8365570599613152,0.8352108142903122,0.8365570599613152,2595,507,517,1501,5120
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,logistic_regression,0.0,3407,0.8,0.7901814041134624,0.7906894273804526,0.7901814041134624,0.7904320340701436,0.7998313302061677,0.8,0.7999125414448824,0.8512188160027587,0.8703756775736617,0.4290284222809726,0.13816089205418386,0.023232528979785262,,0.7475099601593626,0.7438057482656095,0.7456532538499752,0.8338688946015425,0.8365570599613152,0.8352108142903122,0.8365570599613152,2595,507,517,1501,5120
oulad,EARLY_WARNING,M1_MIDDLE_50PCT,logistic_regression,0.0,7319,0.8,0.7901814041134624,0.7906894273804526,0.7901814041134624,0.7904320340701436,0.7998313302061677,0.8,0.7999125414448824,0.8512188160027587,0.8703756775736617,0.4290284222809726,0.13816089205418386,0.023232528979785262,,0.7475099601593626,0.7438057482656095,0.7456532538499752,0.8338688946015425,0.8365570599613152,0.8352108142903122,0.8365570599613152,2595,507,517,1501,5120
oulad,EARLY_WARNING,L1_LATE_75PCT,logistic_regression,0.0,42,0.8398108163684969,0.8387175609075641,0.8252969854025762,0.8387175609075641,0.8304265262276023,0.8458493057038429,0.8398108163684969,0.8414268173805215,0.9023785793900023,0.9156957959016752,0.3247931352092824,0.10004346984470973,0.019374938585541138,,0.7507660878447395,0.8347529812606473,0.790535090077978,0.899827882960413,0.842682140554481,0.8703179623772266,0.842682140554481,2614,488,291,1470,4863
oulad,EARLY_WARNING,L1_LATE_75PCT,logistic_regression,0.0,1201,0.8398108163684969,0.8387175609075641,0.8252969854025762,0.8387175609075641,0.8304265262276023,0.8458493057038429,0.8398108163684969,0.8414268173805215,0.9023785793900023,0.9156957959016752,0.3247931352092824,0.10004346984470973,0.019374938585541138,,0.7507660878447395,0.8347529812606473,0.790535090077978,0.899827882960413,0.842682140554481,0.8703179623772266,0.842682140554481,2614,488,291,1470,4863
oulad,EARLY_WARNING,L1_LATE_75PCT,logistic_regression,0.0,2026,0.8398108163684969,0.8387175609075641,0.8252969854025762,0.8387175609075641,0.8304265262276023,0.8458493057038429,0.8398108163684969,0.8414268173805215,0.9023785793900023,0.9156957959016752,0.3247931352092824,0.10004346984470973,0.019374938585541138,,0.7507660878447395,0.8347529812606473,0.790535090077978,0.899827882960413,0.842682140554481,0.8703179623772266,0.842682140554481,2614,488,291,1470,4863
oulad,EARLY_WARNING,L1_LATE_75PCT,logistic_regression,0.0,3407,0.8398108163684969,0.8387175609075641,0.8252969854025762,0.8387175609075641,0.8304265262276023,0.8458493057038429,0.8398108163684969,0.8414268173805215,0.9023785793900023,0.9156957959016752,0.3247931352092824,0.10004346984470973,0.019374938585541138,,0.7507660878447395,0.8347529812606473,0.790535090077978,0.899827882960413,0.842682140554481,0.8703179623772266,0.842682140554481,2614,488,291,1470,4863
