dataset,task,stage,model,fold,seed,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,pr_auc,roc_auc,nll,brier,ece,rows
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,3,42,0.4810126582278481,0.48416554206027884,0.46655701754385964,0.48416554206027884,0.4719991700383857,0.4900483011325783,0.4810126582278481,0.4824695560361978,0.5038106400261982,0.6466036540987116,1.0047198993052817,0.6118060652502765,0.08667947501183952,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,4,42,0.379746835443038,0.42339181286549704,0.3885494987468672,0.42339181286549704,0.3787194530029967,0.4158001808318264,0.379746835443038,0.3700831362358267,0.5057206365657477,0.6409418758341392,1.0812659185283284,0.6566494116623505,0.20389997276862068,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,1,42,0.3924050632911392,0.40781440781440786,0.3831915211225556,0.40781440781440786,0.3867102396514161,0.41068098204719766,0.3924050632911392,0.394101100355754,0.4070121182358144,0.5872336259128712,1.084162653821919,0.6657209661328918,0.12213408386946396,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,2,42,0.43037974683544306,0.4477732793522267,0.4194805194805195,0.4477732793522267,0.4161226800571063,0.452145323031399,0.43037974683544306,0.4213924237580598,0.505625206918355,0.657765551370757,1.0287182772145378,0.623312347250452,0.0759932298709337,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,0,42,0.5316455696202531,0.5012210012210012,0.48510915607689803,0.5012210012210012,0.48759566947760985,0.5393196975883787,0.5316455696202531,0.5288513955545597,0.5321632630723454,0.7121031746031746,0.9637069765303738,0.5851734334774832,0.1695215660997763,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,3,1201,0.3924050632911392,0.38502024291497977,0.4036075036075036,0.38502024291497977,0.3798560755877829,0.42200668529782454,0.3924050632911392,0.3944456497250569,0.41012861538635215,0.5761638184961885,1.0763403085348788,0.6621336511430693,0.15654162009298028,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,4,1201,0.3670886075949367,0.43342330184435446,0.39735982112143103,0.43342330184435446,0.3694225271583762,0.42716946872019956,0.3670886075949367,0.3563914280131142,0.4419800375863427,0.6079211835941406,1.0991315392766423,0.6730807810069633,0.19352562154980646,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,1,1201,0.4050632911392405,0.40781440781440786,0.4158730158730158,0.40781440781440786,0.3919570426397991,0.47426160337552736,0.4050632911392405,0.42416300350705893,0.4339675238401905,0.6035771880111502,1.1454015054427102,0.6901479441402748,0.19279372384674492,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,2,1201,0.3670886075949367,0.3742690058479532,0.3708641975308642,0.3742690058479532,0.362120232708468,0.4022691045475856,0.3670886075949367,0.37579581004748536,0.45752822170629,0.6161112292387724,1.024782903337531,0.6381358057718107,0.16783367532224944,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,0,1201,0.4050632911392405,0.43833943833943834,0.414176245210728,0.43833943833943834,0.4042242444669138,0.44382365779135746,0.4050632911392405,0.4093637608631657,0.51410656619621,0.6786782661782662,0.9905332308103068,0.6090576271428192,0.15353274142371268,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,3,2026,0.4430379746835443,0.4282051282051282,0.46365028867679986,0.4282051282051282,0.428202336653613,0.49184978366019205,0.4430379746835443,0.45187658160999594,0.4908888856217766,0.6100350958834334,1.0388514176867842,0.6283228033335748,0.08063018953003198,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,4,2026,0.4810126582278481,0.5339181286549707,0.5077113849492366,0.5339181286549707,0.4832208839820081,0.548696358515388,0.4810126582278481,0.48431202736334206,0.5737617211826117,0.6866676314837207,0.9996692151299863,0.6040631207210281,0.09093929719578135,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,1,2026,0.5063291139240507,0.5067155067155067,0.5006238859180036,0.5067155067155067,0.4888409162768892,0.5295573004806066,0.5063291139240507,0.5067944869035184,0.46107584156577347,0.630398322851153,1.0621513197453656,0.6425026360275712,0.0921491388166549,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,2,2026,0.45569620253164556,0.4585245164192533,0.45075757575757575,0.4585245164192533,0.44594919947032624,0.4826908323743766,0.45569620253164556,0.4630607402937586,0.4849481243265929,0.6164557466868877,1.0568242153997014,0.6415736680987548,0.1240919782604543,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,0,2026,0.4936708860759494,0.46520146520146516,0.4794871794871795,0.46520146520146516,0.4659321922749033,0.5240506329113924,0.4936708860759494,0.5039658130726149,0.5154585650299626,0.6783511300020734,0.9615297866334208,0.5951754762808299,0.1484872804241134,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,3,3407,0.34177215189873417,0.3849302744039586,0.349910394265233,0.3849302744039586,0.3460495558672277,0.3665101401932762,0.34177215189873417,0.33733733378308806,0.4128193872331903,0.5912473066763839,1.0710851890331132,0.670774730988365,0.21933751026598255,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,4,3407,0.43037974683544306,0.5122807017543859,0.49240224545102595,0.5122807017543859,0.43157509157509155,0.543065172966377,0.43037974683544306,0.4190179440812352,0.5107294434914859,0.6722538223420008,1.034035411449395,0.6309471794086576,0.16225906524442274,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,1,3407,0.3924050632911392,0.4536019536019536,0.43293293293293295,0.4536019536019536,0.3946061231510148,0.4819249629376212,0.3924050632911392,0.39373907591017754,0.4308987697447126,0.5960628470062432,1.133095343601934,0.687735998681854,0.2350763135602642,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,2,3407,0.3924050632911392,0.41871345029239765,0.39990421455938696,0.41871345029239765,0.3910068426197459,0.4308526116688491,0.3924050632911392,0.3956531422844204,0.49467395561349625,0.6409916460066174,1.0317493211321567,0.6417465499631905,0.1622806201463246,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,0,3407,0.45569620253164556,0.5354090354090354,0.48253968253968255,0.5354090354090354,0.46062031592297936,0.519198312236287,0.45569620253164556,0.44795047046924324,0.5427205682500057,0.6949786324786323,0.9573089011537731,0.5956205114538187,0.11840788668836692,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,3,7319,0.4050632911392405,0.4490328385065227,0.40372549019607845,0.4490328385065227,0.40344827586206894,0.42241250930752045,0.4050632911392405,0.3897861195984287,0.5355109719262477,0.6507316821518704,1.0544144484782048,0.6426395467130531,0.14329355761746168,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,4,7319,0.3291139240506329,0.4071075123706702,0.34256938642903556,0.4071075123706702,0.3282535074987905,0.355840374494605,0.3291139240506329,0.300766107549007,0.5326266362194078,0.6518196893426232,1.0816796375780668,0.6607172621028197,0.2180178743141589,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,1,7319,0.379746835443038,0.4102564102564103,0.39584852734922865,0.4102564102564103,0.37652681144142247,0.4423938786017363,0.379746835443038,0.38820273447612336,0.458155184519945,0.607946874928007,1.1407708839496957,0.6947463319932752,0.1734477312894119,79
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,2,7319,0.4050632911392405,0.4409356725146199,0.41935483870967744,0.4409356725146199,0.4048309178743961,0.45406288280930995,0.4050632911392405,0.4069711979453311,0.5253653370794741,0.6726082027382224,0.9994243324648345,0.6126856471989907,0.15763735010023064,79
