dataset,fold,information_level,model,seed,epochs_run,pr_auc,roc_auc,f1,precision,recall,specificity,accuracy,balanced_accuracy,brier,ece,h2_mean,h2_p50,threshold,tp,fp,tn,fn,n,prevalence
uci,0,S0,Hybrid,42,15,0.3500554705967084,0.6560721062618596,0.3783783783783784,0.35,0.4117647058823529,0.7903225806451613,0.7088607594936709,0.6010436432637571,0.223113817240137,0.2131162111800682,0.8329400827461626,0.8784880734051006,0.59,14,26,98,20,158,0.2151898734177215
uci,0,S0,LR,42,15,0.3766763467740745,0.6634250474383302,0.4341085271317829,0.2947368421052631,0.8235294117647058,0.4596774193548387,0.5379746835443038,0.6416034155597723,0.2220380280208439,0.1927786882778134,0.7049081181600222,0.7890194330235272,0.24,28,67,57,6,158,0.2151898734177215
uci,0,S0,RF,42,15,0.3737437436549632,0.7208254269449715,0.4594594594594595,0.425,0.5,0.8145161290322581,0.7468354430379747,0.657258064516129,0.1609332377700524,0.1009274562702903,0.7472610073650142,0.8081860465829993,0.41,17,23,101,17,158,0.2151898734177215
uci,0,S1,Hybrid,42,15,0.7897843577786644,0.9321631878557876,0.7323943661971831,0.7027027027027027,0.7647058823529411,0.9112903225806452,0.879746835443038,0.8379981024667931,0.0904031799885532,0.075391771908425,0.3883339350713944,0.2641921545152146,0.35,26,11,113,8,158,0.2151898734177215
uci,0,S1,LR,42,15,0.6705430387433768,0.8875711574952563,0.5769230769230769,0.4285714285714285,0.8823529411764706,0.6774193548387096,0.7215189873417721,0.77988614800759,0.1283099666328946,0.1394791764065718,0.5994228914397446,0.6549204117262578,0.34,30,40,84,4,158,0.2151898734177215
uci,0,S1,RF,42,15,0.7239105740682386,0.9345351043643264,0.7407407407407407,0.6382978723404256,0.8823529411764706,0.8629032258064516,0.8670886075949367,0.872628083491461,0.0977571791886496,0.1106084276040827,0.6202809985977551,0.733300111385506,0.42,30,17,107,4,158,0.2151898734177215
uci,0,S2,Hybrid,42,15,0.885447818440025,0.9644212523719166,0.8,0.7317073170731707,0.8823529411764706,0.9112903225806452,0.9050632911392406,0.8968216318785578,0.067011076546914,0.063941451980249,0.3640423464197905,0.2032389014267195,0.31,30,11,113,4,158,0.2151898734177215
uci,0,S2,LR,42,15,0.7901138721996435,0.9153225806451613,0.725,0.6304347826086957,0.8529411764705882,0.8629032258064516,0.8607594936708861,0.8579222011385199,0.1089841447435126,0.1289082922832009,0.5499457906356197,0.5474502659271636,0.48,29,17,107,5,158,0.2151898734177215
uci,0,S2,RF,42,15,0.8772571063092472,0.9663187855787476,0.8055555555555556,0.7631578947368421,0.8529411764705882,0.9274193548387096,0.9113924050632912,0.8901802656546489,0.0708730480027552,0.0892075891429676,0.5413127693657559,0.4786833903849052,0.5,29,9,115,5,158,0.2151898734177215
uci,1,S0,Hybrid,42,24,0.5422357843530567,0.7705215419501135,0.4776119402985074,0.5,0.4571428571428571,0.873015873015873,0.782608695652174,0.665079365079365,0.1973823827371227,0.1872101938062758,0.6728893283657214,0.7371576184171752,0.7,16,16,110,19,161,0.217391304347826
uci,1,S0,LR,42,24,0.5403305703974789,0.7698412698412698,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.8571428571428571,0.7763975155279503,0.6714285714285714,0.1876508059494053,0.2006079218356135,0.727552688903539,0.8076338198802788,0.64,17,18,108,18,161,0.217391304347826
uci,1,S0,RF,42,24,0.4605806069111475,0.7843537414965986,0.4722222222222222,0.4594594594594595,0.4857142857142857,0.8412698412698413,0.7639751552795031,0.6634920634920635,0.1490528250399634,0.0934664499917015,0.7929388127177083,0.8891427972545851,0.43,17,20,106,18,161,0.217391304347826
