dataset,information_level,error,record_id,target,score,threshold
oulad,100pct,TP,2bd4e1c980d1b659d763d589,1,0.9993539452552795,0.57
oulad,100pct,TP,300dab451c68297a6353eba8,1,0.9993532299995422,0.57
oulad,100pct,TP,fd68eb44eb5be3f217fe9128,1,0.9993508458137512,0.57
oulad,100pct,FP,59db6eb5a7ff1fd0d3fe37b1,0,0.9967621564865112,0.92
oulad,100pct,FP,2ce781a6abd6c435d05103ef,0,0.9951657056808472,0.92
oulad,100pct,FP,42f7dc1d23ec76bfc3d6304d,0,0.9948461055755615,0.92
oulad,100pct,FN,bf4e82735311adf46ca5edc0,1,0.003194571705535054,0.66
oulad,100pct,FN,40d92069a8d5be135929f451,1,0.0034982366487383842,0.66
oulad,100pct,FN,db6f15a87b1e0bd4e10cd90b,1,0.006203176453709602,0.41
oulad,100pct,TN,bb489698285585df0280f216,0,0.0017946851439774036,0.66
oulad,100pct,TN,fda6987f3fc843bc89913a41,0,0.0021358176600188017,0.92
oulad,100pct,TN,83d709f02836af86edb9735b,0,0.002142525278031826,0.92
oulad,20pct,TP,cb17b83ded2ed3ffb7095909,1,0.9987421631813049,0.18
oulad,20pct,TP,300dab451c68297a6353eba8,1,0.9985671043395996,0.13
oulad,20pct,TP,4737f21140ab3ba629616c10,1,0.9985584616661072,0.13
oulad,20pct,FP,bb11df8135eca6121de86500,0,0.9900444746017456,0.18
oulad,20pct,FP,143a2195ec63b3992568e446,0,0.9896489381790161,0.18
oulad,20pct,FP,8792c061811be071b6e3376d,0,0.9886456727981567,0.18
oulad,20pct,FN,4f199b2071be612d68499630,1,0.003463627304881811,0.18
oulad,20pct,FN,f2a3074f07aa7a95877e4dfd,1,0.004354202654212713,0.18
oulad,20pct,FN,6028e2ae1d7de14d8cc5766d,1,0.00565566448494792,0.18
oulad,20pct,TN,5c88453f129aad2bf003a503,0,0.0027325490955263376,0.18
oulad,20pct,TN,b45409802bd1980cd230f22e,0,0.0030992741230875254,0.18
oulad,20pct,TN,7e1b5ca183e2a321ab18653c,0,0.0032537514343857765,0.18
oulad,35pct,TP,300dab451c68297a6353eba8,1,0.9992407560348511,0.24
oulad,35pct,TP,418fc7dff163ee46803802c7,1,0.9992250204086304,0.24
oulad,35pct,TP,26862aa64a78c91a6cc9e0d0,1,0.9992111921310425,0.24
oulad,35pct,FP,4324c0256bfd2cc9b7226567,0,0.9976621866226196,0.25
oulad,35pct,FP,b14ebb86a8d843df40ab23e2,0,0.997593343257904,0.24
oulad,35pct,FP,21feefbd394abea4b751fa13,0,0.9974871873855591,0.24
oulad,35pct,FN,4f199b2071be612d68499630,1,0.0038018133491277695,0.25
oulad,35pct,FN,5095a81fca686285aa9715fa,1,0.004788531456142664,0.21
oulad,35pct,FN,275e4965c0b46ea2b46f26fb,1,0.006396479904651642,0.25
oulad,35pct,TN,c2f532532804f89615084696,0,0.0022810660302639008,0.24
oulad,35pct,TN,5c88453f129aad2bf003a503,0,0.0025758028496056795,0.25
oulad,35pct,TN,b45409802bd1980cd230f22e,0,0.0028576916083693504,0.25
oulad,50pct,TP,67da79db654e0cf7a3afa07e,1,0.9993244409561157,0.29
oulad,50pct,TP,300dab451c68297a6353eba8,1,0.9993197917938232,0.29
oulad,50pct,TP,2bd4e1c980d1b659d763d589,1,0.9993191957473755,0.29
oulad,50pct,FP,8c9aad718b6db4c68fc765f8,0,0.998809814453125,0.29
oulad,50pct,FP,97112c96d680cfa9bc19d130,0,0.9987804293632507,0.29
oulad,50pct,FP,939e1484259e8c3484b8556a,0,0.9985009431838989,0.26
oulad,50pct,FN,5095a81fca686285aa9715fa,1,0.003809498157352209,0.21
oulad,50pct,FN,4f199b2071be612d68499630,1,0.004192205145955086,0.28
oulad,50pct,FN,66c5711ab56e633affc9fffe,1,0.0042710136622190475,0.21
oulad,50pct,TN,c2f532532804f89615084696,0,0.0017302854685112834,0.26
oulad,50pct,TN,e78322799348ca3baab43021,0,0.0020698937587440014,0.28
oulad,50pct,TN,5c88453f129aad2bf003a503,0,0.0023308517411351204,0.28
oulad,75pct,TP,300dab451c68297a6353eba8,1,0.9993269443511963,0.36
oulad,75pct,TP,2bd4e1c980d1b659d763d589,1,0.9993219375610352,0.36
oulad,75pct,TP,67da79db654e0cf7a3afa07e,1,0.9993190765380859,0.36
oulad,75pct,FP,b535b72425e1445773608eb5,0,0.9985582232475281,0.36
oulad,75pct,FP,647a0c46bf8be8f049cc5e44,0,0.9981174468994141,0.36
oulad,75pct,FP,8792c061811be071b6e3376d,0,0.9980432987213135,0.51
oulad,75pct,FN,40d92069a8d5be135929f451,1,0.002860534004867077,0.47
oulad,75pct,FN,bf4e82735311adf46ca5edc0,1,0.0030278624035418034,0.47
oulad,75pct,FN,5095a81fca686285aa9715fa,1,0.003489801427349448,0.43
oulad,75pct,TN,c2f532532804f89615084696,0,0.001743107452057302,0.47
oulad,75pct,TN,c7e59d7726a75bb34a885ddd,0,0.0017565356101840734,0.51
oulad,75pct,TN,bb489698285585df0280f216,0,0.0018366683507338166,0.47
uci,S0,TP,ec3741b3e90d236fdcaf3476,1,0.9766470193862915,0.7
uci,S0,TP,61dbc089277fe8d1b99a00f8,1,0.9762815237045288,0.7
uci,S0,TP,00f342ad91070139ad8469b4,1,0.9759374856948853,0.39
uci,S0,FP,1005655e0552dc7606d564cb,0,0.956775426864624,0.36
uci,S0,FP,1005655e0552dc7606d564cb,0,0.9548764824867249,0.41
uci,S0,FP,c03aa83eda66943eae493319,0,0.9535064101219177,0.4
uci,S0,FN,4b89e6b9e0a458af776c72cb,1,0.04986632242798805,0.62
uci,S0,FN,2c3b414d062903797a3cb223,1,0.056921228766441345,0.36
uci,S0,FN,2c3b414d062903797a3cb223,1,0.05991242453455925,0.48
uci,S0,TN,1cea2ef6f4dfd5de175eb126,0,0.02000458724796772,0.4
uci,S0,TN,255ddc77d8d8ac5026fd826e,0,0.022369176149368286,0.7
uci,S0,TN,9e8d44fc8c0caf7d62573638,0,0.022392159327864647,0.7
uci,S1,TP,61dbc089277fe8d1b99a00f8,1,0.9954127669334412,0.95
uci,S1,TP,15ccc062d1f848ccfa4c669c,1,0.9951499104499817,0.95
uci,S1,TP,c7a58b16883c29e4715a9a51,1,0.9950932264328003,0.95
uci,S1,FP,d11f742bc26407e0691f7017,0,0.993162989616394,0.95
uci,S1,FP,f559ae32391afd3f50c5bf3e,0,0.9929786324501038,0.95
uci,S1,FP,add27b7896e8a9945ab41ad7,0,0.991068959236145,0.95
uci,S1,FN,1ea079efcb7c045a9d92aa12,1,0.008094752207398415,0.88
uci,S1,FN,4679e650837f1a9c76424883,1,0.011115224100649357,0.95
uci,S1,FN,80bcfc1581202a42e194b9f1,1,0.014031834900379181,0.88
uci,S1,TN,38919331a15ad280e1bb806b,0,0.002604949986562133,0.95
uci,S1,TN,4372bb7b81f9d4bd44704805,0,0.002620015060529113,0.95
uci,S1,TN,ceced0b3950463e55fa39f4c,0,0.002695223782211542,0.95
uci,S2,TP,61dbc089277fe8d1b99a00f8,1,0.995629072189331,0.79
uci,S2,TP,c7a58b16883c29e4715a9a51,1,0.9954385161399841,0.79
uci,S2,TP,e29fd0c9fd9cc427e717af29,1,0.9953860640525818,0.79
uci,S2,FP,add27b7896e8a9945ab41ad7,0,0.9930758476257324,0.79
uci,S2,FP,d11f742bc26407e0691f7017,0,0.9913104772567749,0.79
uci,S2,FP,16c9cc55a62ea3dac9d11e96,0,0.9868582487106323,0.77
uci,S2,FN,1ea079efcb7c045a9d92aa12,1,0.004765587393194437,0.81
uci,S2,FN,39672f7721df4f4645a78a27,1,0.01168846432119608,0.81
uci,S2,FN,80bcfc1581202a42e194b9f1,1,0.012952694669365883,0.81
uci,S2,TN,c98c209cdefa19e76759a14b,0,0.002516156295314431,0.79
uci,S2,TN,ceced0b3950463e55fa39f4c,0,0.002602941356599331,0.79
uci,S2,TN,776638f3d47353d11d1548cb,0,0.0026386831887066364,0.79
