dataset,information_level,sampler,pr_auc_mean,pr_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,minority_recall_mean,minority_recall_std
oulad,100pct,adasyn,0.9122404941270906,0.005433986120893033,0.8215909821221364,0.008561517078861713,0.909326625311922,0.03313803480211887,0.7508179887936094,0.024793197696863722,0.8962607940172921,0.003838738849659944,0.8742126672777943,0.005223631626402796,0.8576298243002406,0.006857492851440436,0.7508179887936094,0.024793197696863722
oulad,100pct,control,0.9216130011833784,0.007046260004708234,0.8369859664807775,0.00924842163514461,0.9195371686938549,0.026111484522193446,0.7694684098671504,0.02881006903485697,0.9047019700561183,0.003602942631353927,0.8847859996387256,0.005085925889734769,0.8685728801468996,0.009095355882275795,0.7694684098671504,0.02881006903485697
oulad,100pct,smote,0.9166135865769568,0.00576255119847206,0.8292742068588622,0.008258997671753972,0.9150924045021755,0.029283470818155986,0.7593481994488552,0.022305581890575694,0.9005269066557283,0.0034739624296207775,0.8795333178804042,0.005015121118594752,0.8630297834302909,0.006725791605868567,0.7593481994488552,0.022305581890575694
oulad,20pct,adasyn,0.7313700833691374,0.00749071264338841,0.6660896332239389,0.005874983999777669,0.5842082404606629,0.012827263928963358,0.7753634299681608,0.01610932426934581,0.669355827572567,0.007123102050469204,0.6692336881716905,0.007051235799743147,0.6832183854801351,0.005095688705268973,0.7753634299681608,0.01610932426934581
oulad,20pct,control,0.7563511024676475,0.004305715974711195,0.6769275720891419,0.007299184828709594,0.6189109487519387,0.017927593077650558,0.7484005245783212,0.02584103583949537,0.6962686245777779,0.007734911901488997,0.6949034227559476,0.006821860968546054,0.7030142145505298,0.0041357763105778775,0.7484005245783212,0.02584103583949537
oulad,20pct,smote,0.7413512303999934,0.004395464220746785,0.6689935903135855,0.00561626328399542,0.5984048360629481,0.024818814826775844,0.7613705643277404,0.03187973176833749,0.6795280665739698,0.013968522595041843,0.6789158254095617,0.01362086753526569,0.6906055977142183,0.007303106425440531,0.7613705643277404,0.03187973176833749
oulad,35pct,adasyn,0.7817129688763166,0.007190893259944334,0.6862332823070422,0.006273347847638366,0.6460200815724937,0.026679135195956973,0.734934421145592,0.0370158818556354,0.7305598117902391,0.013480677153705215,0.7246023434767456,0.010296244517581354,0.7311087865754615,0.006716216143796248,0.734934421145592,0.0370158818556354
oulad,35pct,control,0.8060835837250665,0.0059830345759859785,0.7028152194381705,0.005978699458113548,0.6723472329943332,0.022494159521640213,0.7384025690349205,0.032578555998210704,0.7497509027283175,0.008219628230186338,0.7430733569578071,0.0057152693814604165,0.7478107077990851,0.0023874031541648104,0.7384025690349205,0.032578555998210704
oulad,35pct,smote,0.7896956767677735,0.004356659098921992,0.6870311232056762,0.007260758866379551,0.6381757469444593,0.04167317742862424,0.7513633219809502,0.05241788966443436,0.7256340371597692,0.018919514623557055,0.7206603556357788,0.015750000052022782,0.7301601089959028,0.008939225070490761,0.7513633219809502,0.05241788966443436
oulad,50pct,adasyn,0.8305359084487398,0.006628641156519088,0.7193977889196765,0.0048663787255888965,0.7003334090583143,0.02129218677759741,0.7409887223309134,0.02461336109740305,0.7825166360005023,0.005599032102373483,0.7708101824825552,0.003543010364755693,0.7743223296891297,0.002162131137039889,0.7409887223309134,0.02461336109740305
oulad,50pct,control,0.84627772168865,0.007270995195633308,0.7302629869772183,0.00741956807182733,0.7317266479869207,0.03522713588330618,0.7315633843759113,0.029497367437803346,0.7966645868763066,0.008179226801859802,0.7835171024322192,0.007462237556956788,0.7842170117273282,0.005147661456190183,0.7315633843759113,0.029497367437803346
oulad,50pct,smote,0.8365856488106602,0.006148764466662966,0.721460235887356,0.007483420003274088,0.6989144226090434,0.03269514689764108,0.748781908229351,0.03598013682733211,0.7824880798508267,0.009828810525441304,0.7713253025136192,0.007878791231727739,0.7759959001290444,0.003973261969320474,0.748781908229351,0.03598013682733211
oulad,75pct,adasyn,0.8746532205784484,0.004332213071008298,0.7626148273775301,0.010183749311234667,0.8190403089358638,0.04784283016803686,0.7184571855435671,0.04673185285541077,0.849294544715153,0.003967954225022789,0.8260398816917234,0.005046768871930496,0.81757288578317,0.009933591151725601,0.7184571855435671,0.04673185285541077
oulad,75pct,control,0.8888480640080629,0.008491755086438756,0.7804270551793612,0.011900337459956906,0.8158791035644243,0.023474766297647054,0.7491208799277174,0.026306802459769487,0.8577438607601464,0.006167832900415495,0.8375891084353826,0.0077818047329690845,0.8312672793239325,0.009247732427074998,0.7491208799277174,0.026306802459769487
oulad,75pct,smote,0.880908630957161,0.005424370567517571,0.768837918807269,0.010049698123998155,0.8364022616480987,0.03639854128083828,0.7143536501900317,0.03813344380070791,0.8551638737863457,0.003786584168123017,0.831630905632986,0.00510977382430082,0.8208097253022242,0.009112179043515117,0.7143536501900317,0.03813344380070791
uci,S0,adasyn,0.44197217380469817,0.032310974726994235,0.44984217832694817,0.042530329232293114,0.3308261724017023,0.05582729334645122,0.7379957720549405,0.10186341642940595,0.6032680746470138,0.11525678077366734,0.5611635831458107,0.09711208715775729,0.652053231995516,0.04412802110417444,0.7379957720549405,0.10186341642940595
