dataset,information_level,sampler,fold,seed,pr_auc,f1,precision,recall,accuracy,macro_f1,balanced_accuracy,minority_recall,threshold,n_train,n_valid,epochs_run,n_train_sampled,n_train_original,pos_weight
uci,S0,control,0,42,0.4699229879178977,0.45871559633027525,0.3184713375796178,0.819672131147541,0.5845070422535211,0.560786369593709,0.6699257516724252,0.819672131147541,0.25,435,284,20,435,435,4.234210014343262
uci,S1,control,0,42,0.7641363246167935,0.6724137931034483,0.7090909090909091,0.639344262295082,0.8661971830985915,0.7941714983216357,0.7837976916856576,0.639344262295082,0.91,435,284,20,435,435,4.234210014343262
uci,S2,control,0,42,0.8671602332776441,0.7478260869565218,0.7962962962962963,0.7049180327868853,0.897887323943662,0.8419042134561858,0.8277953392633978,0.7049180327868853,0.93,435,284,20,435,435,4.234210014343262
uci,S0,smote,0,42,0.4632769885525631,0.4774774774774775,0.32919254658385094,0.8688524590163934,0.5915492957746479,0.5711086809352706,0.6922737631404837,0.8688524590163934,0.48,680,284,15,680,435,4.234210014343262
uci,S1,smote,0,42,0.7698410379534928,0.6610169491525424,0.6842105263157895,0.639344262295082,0.8591549295774648,0.7860640301318267,0.7793133867529222,0.639344262295082,0.84,680,284,15,680,435,4.234210014343262
uci,S2,smote,0,42,0.8595773934877888,0.6464646464646465,0.8421052631578947,0.5245901639344263,0.8767605633802817,0.7859188903965024,0.7488421671690069,0.5245901639344263,0.95,680,284,15,680,435,4.234210014343262
uci,S0,adasyn,0,42,0.43869302653329056,0.40404040404040403,0.291970802919708,0.6557377049180327,0.5845070422535211,0.5425607425607426,0.6103800632213482,0.6557377049180327,0.75,677,284,12,677,435,4.234210014343262
uci,S1,adasyn,0,42,0.7313386622157725,0.6821705426356589,0.6470588235294118,0.7213114754098361,0.8556338028169014,0.7943882325934559,0.8068440785120929,0.7213114754098361,0.93,672,284,12,672,435,4.234210014343262
uci,S2,adasyn,0,42,0.8625992166944986,0.7301587301587301,0.7076923076923077,0.7540983606557377,0.8802816901408451,0.8266178266178266,0.8344482834668823,0.7540983606557377,0.95,672,284,12,672,435,4.234210014343262
uci,S0,control,0,1201,0.4424624216098941,0.4205607476635514,0.29411764705882354,0.7377049180327869,0.5633802816901409,0.5351391308939226,0.6266999926486805,0.7377049180327869,0.39,435,284,13,435,435,4.234210014343262
uci,S1,control,0,1201,0.7703803106401027,0.6782608695652174,0.7222222222222222,0.639344262295082,0.8697183098591549,0.7982915826854784,0.7860398441520253,0.639344262295082,0.57,435,284,13,435,435,4.234210014343262
uci,S2,control,0,1201,0.8703709538073027,0.7350427350427351,0.7678571428571429,0.7049180327868853,0.8908450704225352,0.8331532965679307,0.8233110343306624,0.7049180327868853,0.5,435,284,13,435,435,4.234210014343262
uci,S0,smote,0,1201,0.4237274779202334,0.431924882629108,0.3026315789473684,0.7540983606557377,0.573943661971831,0.5455399061032864,0.6393810188928912,0.7540983606557377,0.72,680,284,11,680,435,4.234210014343262
uci,S1,smote,0,1201,0.7346338813352986,0.6917293233082706,0.6388888888888888,0.7540983606557377,0.8556338028169014,0.7987382248725261,0.8187532162023083,0.7540983606557377,0.91,680,284,11,680,435,4.234210014343262
uci,S2,smote,0,1201,0.8729214585477812,0.7244094488188977,0.696969696969697,0.7540983606557377,0.8767605633802817,0.8225221847269091,0.8322061310005145,0.7540983606557377,0.95,680,284,11,680,435,4.234210014343262
uci,S0,adasyn,0,1201,0.42437007900091306,0.4293193717277487,0.3153846153846154,0.6721311475409836,0.6161971830985915,0.5700973516463677,0.6365140042637654,0.6721311475409836,0.78,677,284,12,677,435,4.234210014343262
uci,S1,adasyn,0,1201,0.7551919261071143,0.6842105263157895,0.7358490566037735,0.639344262295082,0.8732394366197183,0.8024576860653838,0.788281996618393,0.639344262295082,0.93,672,284,12,672,435,4.234210014343262
uci,S2,adasyn,0,1201,0.8703813977248192,0.7230769230769231,0.6811594202898551,0.7704918032786885,0.8732394366197183,0.8204425711275026,0.8359185473792545,0.7704918032786885,0.78,672,284,12,672,435,4.234210014343262
uci,S0,control,0,2026,0.49338416884933095,0.46258503401360546,0.3953488372093023,0.5573770491803278,0.721830985915493,0.6374682889782992,0.6620965963390428,0.5573770491803278,0.49,435,284,21,435,435,4.234210014343262
uci,S1,control,0,2026,0.7801005397712167,0.6776859504132231,0.6833333333333333,0.6721311475409836,0.8626760563380281,0.7952188141327861,0.7934646769095053,0.6721311475409836,0.72,435,284,21,435,435,4.234210014343262
