dataset,model_id,model,result_scope,accuracy,balanced_accuracy,brier,ece,macro_f1,macro_precision,macro_recall,nll,pr_auc,risk_f1,risk_precision,risk_recall,roc_auc,weighted_f1
student_mat,cnn_bilstm,CNN-BiLSTM,FINAL_PROBABILITY_ENSEMBLE,0.8911392405063291,0.9020888215665611,0.20715563349429517,0.13053706881537025,0.9014601961315334,0.9031398900874038,0.9020888215665611,0.36351269622218274,0.9441838635944574,,,,0.9679387694457313,0.8916765397427795
student_mat,cnn_only,CNN-only,FINAL_PROBABILITY_ENSEMBLE,0.8658227848101265,0.8777576542559419,0.22783240018938983,0.12219791907053132,0.8707924528301887,0.8647852451131138,0.8777576542559419,0.38917112922124664,0.9300255199405209,,,,0.9630869856831389,0.8656364302205238
student_mat,bilstm_only,BiLSTM-only,FINAL_PROBABILITY_ENSEMBLE,0.8354430379746836,0.8517459899309214,0.30691976669147947,0.18077146148567083,0.8397186892906668,0.8329515949546925,0.8517459899309214,0.5100781377909076,0.8950111903355852,,,,0.9467738442000346,0.8346502630893999
student_mat,logistic_regression,Logistic Regression,FINAL_PROBABILITY_ENSEMBLE,0.8734177215189873,0.87765191429575,0.18129883276497027,0.02235048634030052,0.8793180019908625,0.8810370547963452,0.87765191429575,0.2952356596555404,0.9500305081048032,,,,0.9699409400030388,0.8734513354965088
student_mat,decision_tree,Decision Tree,FINAL_PROBABILITY_ENSEMBLE,0.8987341772151899,0.904120931389767,0.18162183833132015,0.012826272679725978,0.9066544140712939,0.912757827601418,0.904120931389767,0.4272461851790371,0.8609262750562457,,,,0.9300358309180652,0.8992945526637132
student_mat,random_forest,Random Forest,FINAL_PROBABILITY_ENSEMBLE,0.8936708860759494,0.9026508166491043,0.16689537331569998,0.0328202860088018,0.9013865704188285,0.9027640941434045,0.9026508166491043,0.2798604153383215,0.9550380404668742,,,,0.9720496714911677,0.893995379875331
student_mat,hist_gradient_boosting,HistGradientBoosting,FINAL_PROBABILITY_ENSEMBLE,0.8708860759493671,0.8775717860906217,0.1888750281546995,0.059363502925662254,0.8785461958764588,0.8798767916138809,0.8775717860906217,0.35927517381339075,0.9317584458084583,,,,0.9609155231348246,0.8710982374516296
student_mat,svm,SVM,FINAL_PROBABILITY_ENSEMBLE,0.810126582278481,0.8126467187682941,0.270199621254079,0.04907186905193117,0.8142714606002981,0.8161902510256588,0.8126467187682941,0.4448550585925768,0.8826668579020943,,,,0.9316462261056594,0.8100810256744004
student_mat,xgboost,XGBoost,FINAL_PROBABILITY_ENSEMBLE,0.8784810126582279,0.8827801194239551,0.17301771375819439,0.03810411128568142,0.8880001338150677,0.8942084241103849,0.8827801194239551,0.29613737794424366,0.9506283290165705,,,,0.968927204853611,0.8790084811651058
student_por,cnn_bilstm,CNN-BiLSTM,FINAL_PROBABILITY_ENSEMBLE,0.889060092449923,0.8675763663148155,0.17246400426273456,0.053694645765948824,0.8622587167738002,0.8572836548564705,0.8675763663148155,0.3078934731046347,0.914678708867879,,,,0.9627910173207844,0.8896472207203324
student_por,cnn_only,CNN-only,FINAL_PROBABILITY_ENSEMBLE,0.8767334360554699,0.8518420443892522,0.16864954726292922,0.04410482384570404,0.8468079089978452,0.8420282876721302,0.8518420443892522,0.29590530593351183,0.9214543817473171,,,,0.9635969229905171,0.8772553774833354
student_por,bilstm_only,BiLSTM-only,FINAL_PROBABILITY_ENSEMBLE,0.8258859784283513,0.7985897950984331,0.2383822082356904,0.08407702673280525,0.784278331756525,0.7724733800585194,0.7985897950984331,0.3952449079576304,0.8648504032238492,,,,0.9418131925847665,0.8261780035111856
student_por,logistic_regression,Logistic Regression,FINAL_PROBABILITY_ENSEMBLE,0.8520801232665639,0.8347999074716631,0.19454755952276864,0.03850104793794873,0.8205410888586723,0.8080854084753167,0.8347999074716631,0.3382728186583031,0.9124551432006694,,,,0.9554898348285826,0.8533718693715998
student_por,decision_tree,Decision Tree,FINAL_PROBABILITY_ENSEMBLE,0.8705701078582434,0.8800411507603151,0.17774423247386248,0.03193998946890651,0.8487179154783511,0.8283280742268526,0.8800411507603151,0.3588855241247473,0.896623975915532,,,,0.957624566296119,0.8743118369218834
student_por,random_forest,Random Forest,FINAL_PROBABILITY_ENSEMBLE,0.8921417565485362,0.8835977695800917,0.15686339492643872,0.03060735804952538,0.8692436817866236,0.8567631503320704,0.8835977695800917,0.27220344629968785,0.9308612141761735,,,,0.9689270793446904,0.8932575367484221
student_por,hist_gradient_boosting,HistGradientBoosting,FINAL_PROBABILITY_ENSEMBLE,0.8828967642526965,0.8439300193579021,0.17899923124853329,0.0552964345801132,0.850629682857171,0.8577885625154437,0.8439300193579021,0.3616832017478469,0.9022723883973837,,,,0.9566024584919406,0.8822211953387148
student_por,svm,SVM,FINAL_PROBABILITY_ENSEMBLE,0.8382126348228043,0.7611814407636023,0.25066692377770544,0.03635709961669652,0.7824770193282303,0.8127036374613522,0.7611814407636023,0.48717020053202137,0.8296901490827936,,,,0.9103016957371587,0.8331786684994441
student_por,xgboost,XGBoost,FINAL_PROBABILITY_ENSEMBLE,0.8952234206471494,0.8606226183084358,0.15116600914919606,0.028088559560893817,0.8663880491374553,0.8731131047471016,0.8606226183084358,0.2631498546441231,0.9361221610483481,,,,0.9689172930393107,0.8943243801375625
oulad,cnn_bilstm,CNN-BiLSTM,FINAL_PROBABILITY_ENSEMBLE,0.840096241383795,0.8203325597306252,0.11335526438611301,0.00868338922803935,0.8280835945631038,0.8430522307981456,0.8203325597306252,0.3587775601633183,0.893354764945997,0.7826394413506585,0.8521655437921078,0.7236024844720497,0.908155801278951,0.8373686465460342
oulad,cnn_only,CNN-only,FINAL_PROBABILITY_ENSEMBLE,0.8333333333333334,0.8124153879392819,0.11700473489091721,0.024651326424247093,0.820397911139563,0.8365655410873117,0.8124153879392819,0.37057202012016066,0.8884443736144516,0.7721980268420585,0.8462887200467563,0.7100359594638771,0.9030674453529824,0.8302460081913746
oulad,bilstm_only,BiLSTM-only,FINAL_PROBABILITY_ENSEMBLE,0.8373650669788009,0.8222797579920315,0.11583946384547014,0.02341351216796545,0.8272623138314418,0.8349674959005586,0.8222797579920315,0.3687947722649177,0.8904000240753295,0.7854876061411785,0.8263851290380798,0.7484472049689441,0.9052610132477403,0.8357976325700818
oulad,logistic_regression,Logistic Regression,FINAL_PROBABILITY_ENSEMBLE,0.8353492001560671,0.8192748339531334,0.1185381579078843,0.032927709494856246,0.8247373289996984,0.8335790638690135,0.8192748339531334,0.3758549544794035,0.8856338316578541,0.7816111781956184,0.8274287801314828,0.7406015037593985,0.9027574511920706,0.8335487716987763
oulad,decision_tree,Decision Tree,FINAL_PROBABILITY_ENSEMBLE,0.8181167902197946,0.8007232314517159,0.13008006284010928,0.020314697898253544,0.8061220282638637,0.8152611467702611,0.8007232314517159,0.4133558559029089,0.8586588749117846,0.7578983813728036,0.8055197792088317,0.7155933311539718,0.8818299151955388,0.8159749804378598
oulad,random_forest,Random Forest,FINAL_PROBABILITY_ENSEMBLE,0.8330732214852387,0.8161093879406941,0.11876275606887307,0.017930352199012047,0.8219663704534752,0.8318355951410379,0.8161093879406941,0.37547642038380935,0.8847264961563326,0.7774984831411978,0.8276434766562096,0.7330827067669173,0.8994142289473331,0.8310519538801351
oulad,hist_gradient_boosting,HistGradientBoosting,FINAL_PROBABILITY_ENSEMBLE,0.8336584731434517,0.8203389495430755,0.11734695057865135,0.031280448290270636,0.8241268727593536,0.8294577217895951,0.8203389495430755,0.3712884614078283,0.8888945723445539,0.7831835904390575,0.8133802816901409,0.7551487414187643,0.903019839485087,0.832492316448414
oulad,svm,SVM,FINAL_PROBABILITY_ENSEMBLE,0.8361945636623748,0.8186179894755199,0.11836950789405973,0.017092820351126126,0.8249656291577218,0.83601356447243,0.8186179894755199,0.3796922872867507,0.8797109823751686,0.7806322389619438,0.8354147250698974,0.7325923504413206,0.8993475154220419,0.834023732421809
oulad,xgboost,XGBoost,FINAL_PROBABILITY_ENSEMBLE,0.8352191442320198,0.8222171837237002,0.11592858059128912,0.016002413549804823,0.8258770525030403,0.8309568349341077,0.8222171837237002,0.3657695016647739,0.8900330155355083,0.7855450236966824,0.8144963144963145,0.7585812356979404,0.9047525818725609,0.8341176061842457
