model_id,model,class,precision,recall,f1,support
cnn_bilstm,CNN-BiLSTM,Not-at-risk,0.8339389178041834,0.9170626349892008,0.8735277477755491,9260
cnn_bilstm,CNN-BiLSTM,At-risk,0.8521655437921078,0.7236024844720497,0.7826394413506585,6118
cnn_only,CNN-only,Not-at-risk,0.8268423621278672,0.9147948164146869,0.8685977954370674,9260
cnn_only,CNN-only,At-risk,0.8462887200467563,0.7100359594638771,0.7721980268420585,6118
bilstm_only,BiLSTM-only,Not-at-risk,0.8435498627630376,0.8961123110151188,0.869037021521705,9260
bilstm_only,BiLSTM-only,At-risk,0.8263851290380798,0.7484472049689441,0.7854876061411785,6118
logistic_regression,Logistic Regression,Not-at-risk,0.8397293476065442,0.8979481641468683,0.8678634798037783,9260
logistic_regression,Logistic Regression,At-risk,0.8274287801314828,0.7406015037593985,0.7816111781956184,6118
decision_tree,Decision Tree,Not-at-risk,0.8250025143316906,0.88585313174946,0.8543456751549237,9260
decision_tree,Decision Tree,At-risk,0.8055197792088317,0.7155933311539718,0.7578983813728036,6118
random_forest,Random Forest,Not-at-risk,0.836027713625866,0.8991360691144709,0.8664342577657527,9260
random_forest,Random Forest,At-risk,0.8276434766562096,0.7330827067669173,0.7774984831411978,6118
hist_gradient_boosting,HistGradientBoosting,Not-at-risk,0.8455351618890493,0.8855291576673866,0.8650701550796498,9260
hist_gradient_boosting,HistGradientBoosting,At-risk,0.8133802816901409,0.7551487414187643,0.7831835904390575,6118
svm,SVM,Not-at-risk,0.8366124038749625,0.9046436285097192,0.8692990193534997,9260
svm,SVM,At-risk,0.8354147250698974,0.7325923504413206,0.7806322389619438,6118
xgboost,XGBoost,Not-at-risk,0.8474173553719008,0.88585313174946,0.8662090813093981,9260
xgboost,XGBoost,At-risk,0.8144963144963145,0.7585812356979404,0.7855450236966824,6118
