model_id,model,budget,k,precision_at_k,recall_at_k,f1_at_k,ndcg_at_k
cnn_bilstm,CNN-BiLSTM,0.05,769,0.9947984395318595,0.12504086302713305,0.22215768839843184,0.9952825634941952
cnn_bilstm,CNN-BiLSTM,0.1,1538,0.9960988296488946,0.2504086302713305,0.400208986415883,0.996171547473743
cnn_bilstm,CNN-BiLSTM,0.2,3076,0.9762678803641093,0.49084668192219677,0.6532521209484446,0.9790539149801333
cnn_only,CNN-only,0.05,769,0.9947984395318595,0.12504086302713305,0.22215768839843184,0.9955025119239219
cnn_only,CNN-only,0.1,1538,0.9954486345903771,0.2502451781627983,0.3999477533960293,0.9957347531137776
cnn_only,CNN-only,0.2,3076,0.9743172951885566,0.4898659692710036,0.6519469219055906,0.9774076674282145
bilstm_only,BiLSTM-only,0.05,769,0.9947984395318595,0.12504086302713305,0.22215768839843184,0.9954172050239972
bilstm_only,BiLSTM-only,0.1,1538,0.9947984395318595,0.2500817260542661,0.3996865203761755,0.9951431194919418
bilstm_only,BiLSTM-only,0.2,3076,0.9733420026007802,0.489375612945407,0.6512943223841635,0.9765217952095542
logistic_regression,Logistic Regression,0.05,769,0.9947984395318595,0.12504086302713305,0.22215768839843184,0.9949990160471859
logistic_regression,Logistic Regression,0.1,1538,0.9908972691807543,0.2491010134030729,0.3981191222570533,0.9915977205124433
logistic_regression,Logistic Regression,0.2,3076,0.966514954486346,0.4859431186662308,0.6467261257341744,0.9701830171005273
decision_tree,Decision Tree,0.05,769,0.9934980494148244,0.12487741091860086,0.22186728619137508,0.9934407405258769
decision_tree,Decision Tree,0.1,1538,0.9830949284785435,0.2471395881006865,0.39498432601880873,0.9846036093771988
decision_tree,Decision Tree,0.2,3076,0.9489596879063719,0.477116704805492,0.6349793343484882,0.954478328162315
random_forest,Random Forest,0.05,769,0.9960988296488946,0.12520431513566524,0.2224480906054886,0.9963021354296308
random_forest,Random Forest,0.1,1538,0.9954486345903771,0.2502451781627983,0.3999477533960293,0.9956927407970154
random_forest,Random Forest,0.2,3076,0.9720416124837451,0.48872180451127817,0.6504241896889276,0.9753895631382814
hist_gradient_boosting,HistGradientBoosting,0.05,769,0.9973992197659298,0.12536776724419746,0.22273849281254537,0.9975708987366424
hist_gradient_boosting,HistGradientBoosting,0.1,1538,0.994148244473342,0.2499182739457339,0.3994252873563218,0.9947213698340721
hist_gradient_boosting,HistGradientBoosting,0.2,3076,0.9759427828348505,0.4906832298136646,0.6530345877746356,0.978719422929072
svm,SVM,0.05,769,0.9921976592977894,0.12471395881006865,0.22157688398431827,0.9931109072328025
svm,SVM,0.1,1538,0.9752925877763329,0.2451781627983001,0.3918495297805642,0.9782925874474195
svm,SVM,0.2,3076,0.9570871261378413,0.48120300751879697,0.6404176636937132,0.9610763388536784
xgboost,XGBoost,0.05,769,0.9973992197659298,0.12536776724419746,0.22273849281254537,0.9978609822174833
xgboost,XGBoost,0.1,1538,0.9954486345903771,0.2502451781627983,0.3999477533960293,0.9959686486280459
xgboost,XGBoost,0.2,3076,0.9752925877763329,0.4903563255966002,0.6525995214270176,0.9783221735897065
