model_id,model,class,precision,recall,f1,support
cnn_bilstm,CNN-BiLSTM,Low,0.8263888888888888,0.9153846153846154,0.8686131386861314,130
cnn_bilstm,CNN-BiLSTM,Medium,0.9116022099447514,0.859375,0.8847184986595175,192
cnn_bilstm,CNN-BiLSTM,High,0.9714285714285714,0.9315068493150684,0.951048951048951,73
cnn_only,CNN-only,Low,0.8444444444444444,0.8769230769230769,0.8603773584905661,130
cnn_only,CNN-only,Medium,0.8797814207650273,0.8385416666666666,0.8586666666666667,192
cnn_only,CNN-only,High,0.8701298701298701,0.9178082191780822,0.8933333333333333,73
bilstm_only,BiLSTM-only,Low,0.7919463087248322,0.9076923076923077,0.8458781362007168,130
bilstm_only,BiLSTM-only,Medium,0.8757396449704142,0.7708333333333334,0.8199445983379502,192
bilstm_only,BiLSTM-only,High,0.8311688311688312,0.8767123287671232,0.8533333333333334,73
logistic_regression,Logistic Regression,Low,0.8604651162790697,0.8538461538461538,0.8571428571428571,130
logistic_regression,Logistic Regression,Medium,0.865979381443299,0.875,0.8704663212435233,192
logistic_regression,Logistic Regression,High,0.9166666666666666,0.9041095890410958,0.9103448275862069,73
decision_tree,Decision Tree,Low,0.8356164383561644,0.9384615384615385,0.8840579710144928,130
decision_tree,Decision Tree,Medium,0.9175824175824175,0.8697916666666666,0.893048128342246,192
decision_tree,Decision Tree,High,0.9850746268656716,0.9041095890410958,0.9428571428571428,73
random_forest,Random Forest,Low,0.8344827586206897,0.9307692307692308,0.88,130
random_forest,Random Forest,Medium,0.9166666666666666,0.859375,0.8870967741935484,192
random_forest,Random Forest,High,0.9571428571428572,0.9178082191780822,0.9370629370629371,73
hist_gradient_boosting,HistGradientBoosting,Low,0.837037037037037,0.8692307692307693,0.8528301886792453,130
hist_gradient_boosting,HistGradientBoosting,Medium,0.873015873015873,0.859375,0.8661417322834646,192
hist_gradient_boosting,HistGradientBoosting,High,0.9295774647887324,0.9041095890410958,0.9166666666666666,73
svm,SVM,Low,0.816,0.7846153846153846,0.8,130
svm,SVM,Medium,0.7969543147208121,0.8177083333333334,0.8071979434447301,192
svm,SVM,High,0.8356164383561644,0.8356164383561644,0.8356164383561644,73
xgboost,XGBoost,Low,0.837037037037037,0.8692307692307693,0.8528301886792453,130
xgboost,XGBoost,Medium,0.875,0.875,0.875,192
xgboost,XGBoost,High,0.9705882352941176,0.9041095890410958,0.9361702127659575,73
