schema,table,table_bytes,total_bytes
public,advisor_decisions,0,16384
public,cutoff_feature_snapshots,0,16384
public,expert_review_cases,0,16384
public,expert_review_ratings,0,16384
public,ml_evidence_bundles,0,40960
public,ml_experiment_runs,0,57344
public,ml_predictions,0,40960
public,ml_recommendations,0,40960
public,ml_run_metrics,0,40960
public,ml_run_record_splits,0,49152
public,ml_schema_migrations,0,16384
public,prediction_cohorts,0,24576
public,prediction_snapshots,0,16384
public,recommendation_action_catalog,0,16384
public,recommendation_actions,0,16384
public,recommendation_feature_registry,0,16384
public,recommendation_follow_ups,0,16384
public,recommendation_goals,0,16384
public,recommendation_instances,0,16384
public,recommendation_outcomes,0,16384
public,recommendation_policies,0,16384
public,recommendation_revisions,0,16384
public,snapshot_record_index,0,16384
public,source_dataset_files,0,24576
public,source_dataset_versions,0,40960
public,source_record_targets,0,24576
public,source_records,0,49152
public,split_manifest_registry,0,24576
public,study_extension_runs,0,16384
