model,scenario,feature_policy,imbalance_policy,oof_macro_f1,outer_fold_macro_f1_mean,outer_fold_macro_f1_std,locked_accuracy,locked_macro_f1,locked_weighted_f1,locked_balanced_accuracy,locked_qwk,locked_ordinal_mae,locked_two_step_errors,locked_pr_auc_macro,locked_brier,locked_ece
majority_class,late_stage,none,none,0.21843971631205672,0.21843441823501789,0.002139100824226131,0.4810126582278481,0.21652421652421652,0.3124526668830466,0.3333333333333333,0.0,0.5189873417721519,0,0.3333333333333333,0.6243390482294502,0.006329113924050722
g2_threshold_rule,late_stage,G2,none,0.8988360425446519,0.8980506040341325,0.02817057806414604,0.9240506329113924,0.9365079365079364,0.9246534056660638,0.9433198380566802,0.9266707920792079,0.0759493670886076,0,0.9067035584455344,0.1518987341772152,0.07594936708860756
logistic_regression_g2,late_stage,G2,none,0.8988360425446519,0.8980506040341325,0.02817057806414604,0.9240506329113924,0.9365079365079364,0.9246534056660638,0.9433198380566802,0.9266707920792079,0.0759493670886076,0,0.9662614404175375,0.14933521040080497,0.11234460559935384
logistic_regression_g1_g2,late_stage,G1_G2,none,0.8664254781472401,0.8652989688551047,0.038682465374247445,0.8734177215189873,0.8875984931980062,0.8729860703481049,0.8960863697705803,0.876446668751955,0.12658227848101267,0,0.9709119204819908,0.15555020080259954,0.0816354402662509
logistic_regression_all,late_stage,all_valid,none,0.8196905456298148,0.8204230976615083,0.044668653387351626,0.8481012658227848,0.852997227997228,0.8476308587068081,0.8650922177237966,0.8527493010251631,0.1518987341772152,0,0.9520152454804548,0.20668189292731173,0.07265330086184044
logistic_regression_all_balanced,late_stage,all_valid,class_weight,0.8397244445136881,0.8400722620159078,0.04948204671198629,0.810126582278481,0.8173968194554916,0.8067981192407078,0.8468735942420155,0.8277866589158552,0.189873417721519,0,0.9484888774658161,0.2335403413014705,0.04644040097535477
hist_gradient_boosting_all,late_stage,all_valid,none,0.8969254372428547,0.8967129976073979,0.034914656862837505,0.9367088607594937,0.9463312368972746,0.9368840060504737,0.94804318488529,0.9372318449070396,0.06329113924050633,0,0.977954806094559,0.1163564833647625,0.04584408871469606
logistic_regression_without_g2,early_warning,without_G2,none,0.6918783032726061,0.690541401120487,0.032650442027433266,0.6708860759493671,0.6828042328042327,0.667771750050231,0.7085919928025192,0.6926989826451226,0.3291139240506329,0,0.8613930636790621,0.3423134870583173,0.1400291268245875
hist_gradient_boosting_without_g2,early_warning,without_G2,none,0.697356962587015,0.6973111148136463,0.03648538483085925,0.7468354430379747,0.7684957684957685,0.743030717714262,0.7881241565452092,0.7562480715828448,0.25316455696202533,0,0.8703952668476171,0.37235574651787373,0.14349111088078478
logistic_regression_without_g1_g2,pre_assessment,without_G1_G2,none,0.4344025246102398,0.43312135602489155,0.0682481542642886,0.4430379746835443,0.3849010135455148,0.43129053492613334,0.3838056680161943,0.16633875871937043,0.620253164556962,5,0.4666315296936517,0.6608160399010992,0.19559602582964894
hist_gradient_boosting_without_g1_g2,pre_assessment,without_G1_G2,none,0.42461819192996847,0.42319781108439364,0.05438974715754959,0.5063291139240507,0.4601010101010101,0.4873993095512083,0.45051731893837155,0.2671047545419405,0.5316455696202531,3,0.4442597244209591,0.7563226975032489,0.30820985445875504
