outer_fold,number,state,value,params,fold_f1_macro
0,0,TrialState.COMPLETE,0.7667637184889671,"{'loss': 'focal', 'learning_rate': 0.004014783718209774, 'weight_decay': 4.7892402516311746e-05, 'batch_size': 16, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.9804414039052963, 'resampling_k_neighbors': 6, 'cnn_channels': 8, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 16, 'dropout': 0.23105311308911888, 'sequence_dropout': 0.3559264473611897, 'max_epochs': 60, 'patience': 12, 'scheduler_patience': 3, 'focal_gamma': 2.0284688768272234}","[0.5864197530864198, 0.8742727401731233, 0.8395986622073579]"
0,1,TrialState.COMPLETE,0.6519652986395592,"{'loss': 'weighted_ce', 'learning_rate': 0.001904750763843884, 'weight_decay': 5.800389779115679e-07, 'batch_size': 64, 'oversample_method': 'none', 'class_weight_mode': 'balanced', 'smote_ratio': 0.6360991209307408, 'resampling_k_neighbors': 2, 'cnn_channels': 32, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 16, 'dropout': 0.3340306095300149, 'sequence_dropout': 0.3233551396716398, 'max_epochs': 60, 'patience': 12, 'scheduler_patience': 3}","[0.698134224450014, 0.7682389937106918, 0.4895226777579718]"
0,2,TrialState.COMPLETE,0.48552114286881304,"{'loss': 'weighted_ce', 'learning_rate': 0.00016178161616817185, 'weight_decay': 1.593999043568401e-07, 'batch_size': 32, 'oversample_method': 'none', 'class_weight_mode': 'balanced', 'smote_ratio': 0.4416007462335957, 'resampling_k_neighbors': 6, 'cnn_channels': 16, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.41808580473142776, 'sequence_dropout': 0.41450358402049364, 'max_epochs': 40, 'patience': 8, 'scheduler_patience': 3}","[0.5432098765432097, 0.46438746438746437, 0.4489660876757651]"
0,3,TrialState.COMPLETE,0.3757388544231486,"{'loss': 'weighted_ce', 'learning_rate': 0.00032222902831264676, 'weight_decay': 2.856835031760887e-06, 'batch_size': 64, 'oversample_method': 'none', 'class_weight_mode': 'balanced', 'smote_ratio': 0.7148301784201725, 'resampling_k_neighbors': 6, 'cnn_channels': 16, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 16, 'dropout': 0.3863846850687013, 'sequence_dropout': 0.20717799053816333, 'max_epochs': 60, 'patience': 12, 'scheduler_patience': 3}","[0.48563218390804597, 0.5175533716094618, 0.12403100775193798]"
0,4,TrialState.COMPLETE,0.30324508240297715,"{'loss': 'focal', 'learning_rate': 0.00013136433318408587, 'weight_decay': 0.0014533463349735546, 'batch_size': 64, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.8748361008566407, 'resampling_k_neighbors': 7, 'cnn_channels': 8, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.10312845873903582, 'sequence_dropout': 0.30537365128878285, 'max_epochs': 40, 'patience': 12, 'scheduler_patience': 3, 'focal_gamma': 2.0375812434867324}","[0.16666666666666666, 0.5244019138755981, 0.21866666666666668]"
0,5,TrialState.COMPLETE,0.7326385215037202,"{'loss': 'weighted_ce', 'learning_rate': 0.01688905235847425, 'weight_decay': 0.0020370103738614653, 'batch_size': 32, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.38346118831249304, 'resampling_k_neighbors': 3, 'cnn_channels': 8, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 16, 'dropout': 0.4024609963326454, 'sequence_dropout': 0.4308098076643588, 'max_epochs': 60, 'patience': 12, 'scheduler_patience': 3}","[0.8178414974113899, 0.8458860329117366, 0.5341880341880342]"
0,6,TrialState.COMPLETE,0.43047602458884215,"{'loss': 'focal', 'learning_rate': 0.0003417110141949936, 'weight_decay': 6.840155696666852e-07, 'batch_size': 64, 'oversample_method': 'smote', 'class_weight_mode': 'balanced', 'smote_ratio': 0.4633381788532444, 'resampling_k_neighbors': 6, 'cnn_channels': 16, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.4948027090214415, 'sequence_dropout': 0.1789708138575778, 'max_epochs': 60, 'patience': 8, 'scheduler_patience': 3, 'focal_gamma': 2.7944315159066537}","[0.12502932207365705, 0.6090413943355121, 0.5573573573573574]"
0,7,TrialState.COMPLETE,0.6239250008306237,"{'loss': 'weighted_ce', 'learning_rate': 0.0003811938273278629, 'weight_decay': 3.6597684498059212e-06, 'batch_size': 32, 'oversample_method': 'none', 'class_weight_mode': 'balanced', 'smote_ratio': 0.9340602225426015, 'resampling_k_neighbors': 5, 'cnn_channels': 32, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.41135283896171204, 'sequence_dropout': 0.37598062975130025, 'max_epochs': 60, 'patience': 12, 'scheduler_patience': 3}","[0.7117084826762247, 0.41592039800995023, 0.7441461218056963]"
0,8,TrialState.COMPLETE,0.8133841396071227,"{'loss': 'weighted_ce', 'learning_rate': 0.001505716064097973, 'weight_decay': 2.6265960939012745e-07, 'batch_size': 16, 'oversample_method': 'none', 'class_weight_mode': 'none', 'smote_ratio': 0.8666273473020715, 'resampling_k_neighbors': 5, 'cnn_channels': 8, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 8, 'dropout': 0.39046253315822554, 'sequence_dropout': 0.13855533970352446, 'max_epochs': 60, 'patience': 8, 'scheduler_patience': 5}","[0.769831223628692, 0.7725581395348837, 0.8977630556577925]"
0,9,TrialState.COMPLETE,0.5158726581498215,"{'loss': 'focal', 'learning_rate': 0.01608299746769587, 'weight_decay': 0.0006592145183184943, 'batch_size': 64, 'oversample_method': 'none', 'class_weight_mode': 'balanced', 'smote_ratio': 0.8024193678387325, 'resampling_k_neighbors': 5, 'cnn_channels': 32, 'cnn_kernel_size': 1, 'lstm_hidden_dim': 32, 'dropout': 0.43334587798939206, 'sequence_dropout': 0.398507870497634, 'max_epochs': 40, 'patience': 12, 'scheduler_patience': 5, 'focal_gamma': 2.8264811051129426}","[0.5026123301985371, 0.5108176100628931, 0.5341880341880342]"
