dataset,model_id,model,result_scope,accuracy,balanced_accuracy,brier,ece,macro_f1,macro_precision,macro_recall,nll,pr_auc,risk_f1,risk_precision,risk_recall,roc_auc,weighted_f1
student_mat,cnn_bilstm,CNN-BiLSTM,FINAL_PROBABILITY_ENSEMBLE,0.8911392405063291,0.9020888215665611,0.20715563349429517,0.13053706881537025,0.9014601961315334,0.9031398900874038,0.9020888215665611,0.36351269622218274,0.9441838635944574,,,,0.9679387694457313,0.8916765397427795
student_mat,cnn_only,CNN-only,FINAL_PROBABILITY_ENSEMBLE,0.8658227848101265,0.8777576542559419,0.22783240018938983,0.12219791907053132,0.8707924528301887,0.8647852451131138,0.8777576542559419,0.38917112922124664,0.9300255199405209,,,,0.9630869856831389,0.8656364302205238
student_mat,bilstm_only,BiLSTM-only,FINAL_PROBABILITY_ENSEMBLE,0.8354430379746836,0.8517459899309214,0.30691976669147947,0.18077146148567083,0.8397186892906668,0.8329515949546925,0.8517459899309214,0.5100781377909076,0.8950111903355852,,,,0.9467738442000346,0.8346502630893999
student_mat,logistic_regression,Logistic Regression,FINAL_PROBABILITY_ENSEMBLE,0.8860759493670886,0.8976528655895094,0.17068974136784806,0.03685335173668429,0.8951984435013155,0.8928717345130348,0.8976528655895094,0.2728338505239576,0.9611584830027913,,,,0.9735897861926355,0.8858832373324886
student_mat,decision_tree,Decision Tree,FINAL_PROBABILITY_ENSEMBLE,0.8936708860759494,0.9018228251961129,0.1764932629437766,0.047711053012667454,0.9024249717831561,0.9054785793916228,0.9018228251961129,1.0420557900266,0.9143592256070492,,,,0.9539449350138102,0.8941631386231517
student_mat,random_forest,Random Forest,FINAL_PROBABILITY_ENSEMBLE,0.8911392405063291,0.8939446493384849,0.15940238963233186,0.03210406262121752,0.8998331533550239,0.9072807704512558,0.8939446493384849,0.26719442654592246,0.9624649391203214,,,,0.9760861720664372,0.8917246510290221
student_mat,hist_gradient_boosting,HistGradientBoosting,FINAL_PROBABILITY_ENSEMBLE,0.8607594936708861,0.8673153758342115,0.23831230994424793,0.10141918696181954,0.8696861886517059,0.8721869377612562,0.8673153758342115,0.5281019444780992,0.93543595704901,,,,0.9593353251796297,0.8609379005494239
student_mat,svm,SVM,FINAL_PROBABILITY_ENSEMBLE,0.8632911392405064,0.8747116848144246,0.18550881926562166,0.030013507909027244,0.8710297543355626,0.8676186590507275,0.8747116848144246,0.30388659542413,0.9508444044763055,,,,0.9686672554504127,0.863064204170953
student_mat,xgboost,XGBoost,FINAL_PROBABILITY_ENSEMBLE,0.8734177215189873,0.8784799057487414,0.17053931609004122,0.03749673947495084,0.8815265387865198,0.8849180242272346,0.8784799057487414,0.2814150682659169,0.9500363220867278,,,,0.9711402857040721,0.8736887312523834
student_mat,mlp,MLP,FINAL_PROBABILITY_ENSEMBLE,0.8531645569620253,0.8621070425008782,0.19847866334690387,0.07967363768338966,0.8595069898734821,0.8570310391363023,0.8621070425008782,0.3385435115982908,0.9503140283312909,,,,0.9687334942540616,0.8530538623984181
student_por,cnn_bilstm,CNN-BiLSTM,FINAL_PROBABILITY_ENSEMBLE,0.889060092449923,0.8675763663148155,0.17246400426273456,0.053694645765948824,0.8622587167738002,0.8572836548564705,0.8675763663148155,0.3078934731046347,0.914678708867879,,,,0.9627910173207844,0.8896472207203324
student_por,cnn_only,CNN-only,FINAL_PROBABILITY_ENSEMBLE,0.8767334360554699,0.8518420443892522,0.16864954726292922,0.04410482384570404,0.8468079089978452,0.8420282876721302,0.8518420443892522,0.29590530593351183,0.9214543817473171,,,,0.9635969229905171,0.8772553774833354
student_por,bilstm_only,BiLSTM-only,FINAL_PROBABILITY_ENSEMBLE,0.8258859784283513,0.7985897950984331,0.2383822082356904,0.08407702673280525,0.784278331756525,0.7724733800585194,0.7985897950984331,0.3952449079576304,0.8648504032238492,,,,0.9418131925847665,0.8261780035111856
student_por,logistic_regression,Logistic Regression,FINAL_PROBABILITY_ENSEMBLE,0.864406779661017,0.8581418848996188,0.19868440481998711,0.03512090061680341,0.8378767571281749,0.8217869887564572,0.8581418848996188,0.3373794085270979,0.9147877597798483,,,,0.95497863498779,0.8666098978390279
student_por,decision_tree,Decision Tree,FINAL_PROBABILITY_ENSEMBLE,0.8828967642526965,0.8295035124243642,0.1672769810152943,0.03789290622941611,0.8460876710013042,0.866427057885559,0.8295035124243642,0.6403547671345768,0.8919879524658075,,,,0.9432365406478839,0.880704302370175
student_por,random_forest,Random Forest,FINAL_PROBABILITY_ENSEMBLE,0.8798151001540832,0.8612140691771065,0.16091088430415676,0.03213454937355274,0.8513805162482108,0.8423954281061699,0.8612140691771065,0.2758891378250843,0.9291325649949495,,,,0.9674699535748719,0.8803189952876815
student_por,hist_gradient_boosting,HistGradientBoosting,FINAL_PROBABILITY_ENSEMBLE,0.8767334360554699,0.8432761118618893,0.19836292144204334,0.07959570331466388,0.8440556722833327,0.8448448687350836,0.8432761118618893,0.47317044288713017,0.8936633485376843,,,,0.9532734890785844,0.8767264533369998
student_por,svm,SVM,FINAL_PROBABILITY_ENSEMBLE,0.8828967642526965,0.8466353774790898,0.16946649610028766,0.02367037995795766,0.8501911605004389,0.8542626860586982,0.8466353774790898,0.2896956998819181,0.9191705341701146,,,,0.9629362008448767,0.8820766375354718
student_por,xgboost,XGBoost,FINAL_PROBABILITY_ENSEMBLE,0.8952234206471494,0.8656943886433641,0.16875873881487735,0.048570001901859894,0.8676585159508289,0.8697542434655836,0.8656943886433641,0.30672184847988937,0.9211428567296166,,,,0.9604680204317955,0.8948878770825244
student_por,mlp,MLP,FINAL_PROBABILITY_ENSEMBLE,0.8705701078582434,0.8190104337874526,0.1735444626904752,0.04751431443198714,0.8303986867455508,0.8460851421162817,0.8190104337874526,0.30219452379521017,0.9147379010564815,,,,0.9602097966058918,0.8679526515262487
oulad,cnn_bilstm,CNN-BiLSTM,FINAL_PROBABILITY_ENSEMBLE,0.840096241383795,0.8203325597306252,0.11335526438611301,0.00868338922803935,0.8280835945631038,0.8430522307981456,0.8203325597306252,0.3587775601633183,0.893354764945997,0.7826394413506585,0.8521655437921078,0.7236024844720497,0.908155801278951,0.8373686465460342
oulad,cnn_only,CNN-only,FINAL_PROBABILITY_ENSEMBLE,0.8333333333333334,0.8124153879392819,0.11700473489091721,0.024651326424247093,0.820397911139563,0.8365655410873117,0.8124153879392819,0.37057202012016066,0.8884443736144516,0.7721980268420585,0.8462887200467563,0.7100359594638771,0.9030674453529824,0.8302460081913746
oulad,bilstm_only,BiLSTM-only,FINAL_PROBABILITY_ENSEMBLE,0.8373650669788009,0.8222797579920315,0.11583946384547014,0.02341351216796545,0.8272623138314418,0.8349674959005586,0.8222797579920315,0.3687947722649177,0.8904000240753295,0.7854876061411785,0.8263851290380798,0.7484472049689441,0.9052610132477403,0.8357976325700818
oulad,logistic_regression,Logistic Regression,FINAL_PROBABILITY_ENSEMBLE,0.8353492001560671,0.8192748339531334,0.1185381579078843,0.032927709494856246,0.8247373289996984,0.8335790638690135,0.8192748339531334,0.3758549544794035,0.8856338316578541,0.7816111781956184,0.8274287801314828,0.7406015037593985,0.9027574511920706,0.8335487716987763
oulad,decision_tree,Decision Tree,FINAL_PROBABILITY_ENSEMBLE,0.8181167902197946,0.8007232314517159,0.13008006284010928,0.020314697898253544,0.8061220282638637,0.8152611467702611,0.8007232314517159,0.4133558559029089,0.8586588749117846,0.7578983813728036,0.8055197792088317,0.7155933311539718,0.8818299151955388,0.8159749804378598
oulad,random_forest,Random Forest,FINAL_PROBABILITY_ENSEMBLE,0.8330732214852387,0.8161093879406941,0.11876275606887307,0.017930352199012047,0.8219663704534752,0.8318355951410379,0.8161093879406941,0.37547642038380935,0.8847264961563326,0.7774984831411978,0.8276434766562096,0.7330827067669173,0.8994142289473331,0.8310519538801351
oulad,hist_gradient_boosting,HistGradientBoosting,FINAL_PROBABILITY_ENSEMBLE,0.8336584731434517,0.8203389495430755,0.11734695057865135,0.031280448290270636,0.8241268727593536,0.8294577217895951,0.8203389495430755,0.3712884614078283,0.8888945723445539,0.7831835904390575,0.8133802816901409,0.7551487414187643,0.903019839485087,0.832492316448414
oulad,svm,SVM,FINAL_PROBABILITY_ENSEMBLE,0.8361945636623748,0.8186179894755199,0.11836950789405973,0.017092820351126126,0.8249656291577218,0.83601356447243,0.8186179894755199,0.3796922872867507,0.8797109823751686,0.7806322389619438,0.8354147250698974,0.7325923504413206,0.8993475154220419,0.834023732421809
oulad,xgboost,XGBoost,FINAL_PROBABILITY_ENSEMBLE,0.8352191442320198,0.8222171837237002,0.11592858059128912,0.016002413549804823,0.8258770525030403,0.8309568349341077,0.8222171837237002,0.3657695016647739,0.8900330155355083,0.7855450236966824,0.8144963144963145,0.7585812356979404,0.9047525818725609,0.8341176061842457
oulad,mlp,MLP,FINAL_PROBABILITY_ENSEMBLE,0.8392508778774873,0.8219322369215367,0.22869253442714016,0.0060305352676675895,0.8282857900281345,0.8392450983878872,0.8219322369215367,0.3620183902919177,0.8917099151142994,0.7848938391924817,0.8392259024934872,0.7371690094802223,0.9073361577951828,0.8371515404199684
