dataset,model_id,model,role,source_version,result_scope,evaluation_scope,seed_aggregation,accuracy,balanced_accuracy,macro_f1,weighted_f1,pr_auc,risk_precision,risk_recall,risk_f1,brier,ece
student_mat,cnn_bilstm,CNN-BiLSTM,OFFICIAL_CNN_BILSTM,V5.1,FINAL_PROBABILITY_ENSEMBLE,"complete OOF, 5 outer folds",registered five-seed probability ensemble,0.8911392405063291,0.9020888215665612,0.9014601961315334,0.8916765397427795,0.9441838635944574,,,,0.2071556334942951,0.1305370688153702
student_mat,cnn_only,CNN-only,KEY_ABLATION,V5.1,FINAL_PROBABILITY_ENSEMBLE,"complete OOF, 5 outer folds",registered five-seed probability ensemble,0.8658227848101265,0.8777576542559419,0.8707924528301887,0.8656364302205238,0.9300255199405209,,,,0.2278324001893898,0.1221979190705313
student_mat,bilstm_only,BiLSTM-only,KEY_ABLATION,V5.1,FINAL_PROBABILITY_ENSEMBLE,"complete OOF, 5 outer folds",registered five-seed probability ensemble,0.8354430379746836,0.8517459899309214,0.8397186892906668,0.8346502630893999,0.8950111903355852,,,,0.3069197666914794,0.1807714614856708
student_mat,decision_tree,Decision Tree,STRONGEST_CLASSICAL_BY_MACRO_F1,V5.1,FINAL_PROBABILITY_ENSEMBLE,"complete OOF, 5 outer folds",registered five-seed probability ensemble,0.8987341772151899,0.904120931389767,0.906654414071294,0.8992945526637132,0.8609262750562457,,,,0.1816218383313201,0.0128262726797259
student_por,cnn_bilstm,CNN-BiLSTM,OFFICIAL_CNN_BILSTM,V5.1,FINAL_PROBABILITY_ENSEMBLE,"complete OOF, 5 outer folds",registered five-seed probability ensemble,0.889060092449923,0.8675763663148155,0.8622587167738002,0.8896472207203324,0.914678708867879,,,,0.1724640042627345,0.0536946457659488
student_por,cnn_only,CNN-only,KEY_ABLATION,V5.1,FINAL_PROBABILITY_ENSEMBLE,"complete OOF, 5 outer folds",registered five-seed probability ensemble,0.8767334360554699,0.8518420443892522,0.8468079089978452,0.8772553774833354,0.9214543817473172,,,,0.1686495472629292,0.044104823845704
student_por,bilstm_only,BiLSTM-only,KEY_ABLATION,V5.1,FINAL_PROBABILITY_ENSEMBLE,"complete OOF, 5 outer folds",registered five-seed probability ensemble,0.8258859784283513,0.7985897950984331,0.784278331756525,0.8261780035111856,0.8648504032238492,,,,0.2383822082356904,0.0840770267328052
student_por,random_forest,Random Forest,STRONGEST_CLASSICAL_BY_MACRO_F1,V5.1,FINAL_PROBABILITY_ENSEMBLE,"complete OOF, 5 outer folds",registered five-seed probability ensemble,0.8921417565485362,0.8835977695800917,0.8692436817866236,0.8932575367484221,0.9308612141761736,,,,0.1568633949264387,0.0306073580495253
oulad,cnn_bilstm,CNN-BiLSTM,OFFICIAL_CNN_BILSTM,V6 frozen final,FINAL_PROBABILITY_ENSEMBLE,"grouped OOF, 3 outer folds",registered five-seed probability ensemble,0.840096241383795,0.8203325597306252,0.8280835945631038,0.8373686465460342,0.893354764945997,0.8521655437921078,0.7236024844720497,0.7826394413506585,0.113355264386113,0.0086833892280393
oulad,cnn_only,CNN-only,KEY_ABLATION,V6 frozen final,FINAL_PROBABILITY_ENSEMBLE,"grouped OOF, 3 outer folds",registered five-seed probability ensemble,0.8333333333333334,0.8124153879392819,0.820397911139563,0.8302460081913746,0.8884443736144516,0.8462887200467563,0.7100359594638771,0.7721980268420585,0.1170047348909172,0.024651326424247
oulad,bilstm_only,BiLSTM-only,KEY_ABLATION,V6 frozen final,FINAL_PROBABILITY_ENSEMBLE,"grouped OOF, 3 outer folds",registered five-seed probability ensemble,0.8373650669788009,0.8222797579920315,0.8272623138314418,0.8357976325700818,0.8904000240753295,0.8263851290380798,0.7484472049689441,0.7854876061411785,0.1158394638454701,0.0234135121679654
oulad,xgboost,XGBoost,STRONGEST_CLASSICAL_BY_MACRO_F1,V6 frozen final,FINAL_PROBABILITY_ENSEMBLE,"grouped OOF, 3 outer folds",registered five-seed probability ensemble,0.8352191442320198,0.8222171837237002,0.8258770525030403,0.8341176061842457,0.8900330155355083,0.8144963144963145,0.7585812356979404,0.7855450236966824,0.1159285805912891,0.0160024135498048
