schema_version,reviewer_id,randomized_order,case_id,action_id,q2_action_relevance,action_comment
v6_2_expert_review_v1,E02,1,CASE-033,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,1,CASE-033,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E02,1,CASE-033,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,3,CASE-012,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,3,CASE-012,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E02,3,CASE-012,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,3,CASE-012,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,5,CASE-031,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,5,CASE-031,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,6,CASE-011,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,6,CASE-011,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,7,CASE-002,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,9,CASE-015,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,9,CASE-015,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E02,9,CASE-015,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,9,CASE-015,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,10,CASE-053,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,10,CASE-053,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E02,10,CASE-053,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,10,CASE-053,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,11,CASE-028,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,11,CASE-028,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,12,CASE-055,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E02,12,CASE-055,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E02,12,CASE-055,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E02,12,CASE-055,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E02,14,CASE-046,ADVISOR_ESCALATION,,
