reviewer_id,randomized_order,case_id
E01,1,CASE-040
E01,2,CASE-020
E01,3,CASE-053
E01,4,CASE-008
E01,5,CASE-022
E01,6,CASE-007
E01,7,CASE-028
E01,8,CASE-047
E01,9,CASE-009
E01,10,CASE-046
E01,11,CASE-014
E01,12,CASE-021
E01,13,CASE-054
E01,14,CASE-050
E01,15,CASE-010
E01,16,CASE-023
E01,17,CASE-018
E01,18,CASE-032
E01,19,CASE-006
E01,20,CASE-015
E01,21,CASE-011
E01,22,CASE-049
E01,23,CASE-037
E01,24,CASE-029
E01,25,CASE-026
E01,26,CASE-048
E01,27,CASE-051
E01,28,CASE-033
E01,29,CASE-016
E01,30,CASE-055
E01,31,CASE-013
E01,32,CASE-052
E01,33,CASE-060
E01,34,CASE-042
E01,35,CASE-024
E01,36,CASE-002
E01,37,CASE-005
E01,38,CASE-038
E01,39,CASE-059
E01,40,CASE-012
E01,41,CASE-039
E01,42,CASE-027
E01,43,CASE-041
E01,44,CASE-058
E01,45,CASE-019
E01,46,CASE-004
E01,47,CASE-031
E01,48,CASE-045
E01,49,CASE-034
E01,50,CASE-017
E01,51,CASE-044
E01,52,CASE-036
E01,53,CASE-030
E01,54,CASE-057
E01,55,CASE-003
E01,56,CASE-001
E01,57,CASE-043
E01,58,CASE-025
E01,59,CASE-035
E01,60,CASE-056
E02,1,CASE-033
E02,2,CASE-018
E02,3,CASE-012
E02,4,CASE-032
E02,5,CASE-031
E02,6,CASE-011
E02,7,CASE-002
E02,8,CASE-010
E02,9,CASE-015
E02,10,CASE-053
E02,11,CASE-028
E02,12,CASE-055
E02,13,CASE-035
E02,14,CASE-046
E02,15,CASE-026
E02,16,CASE-059
E02,17,CASE-036
E02,18,CASE-054
E02,19,CASE-014
E02,20,CASE-027
E02,21,CASE-042
E02,22,CASE-045
E02,23,CASE-040
E02,24,CASE-037
E02,25,CASE-004
E02,26,CASE-023
E02,27,CASE-052
E02,28,CASE-006
E02,29,CASE-024
E02,30,CASE-029
E02,31,CASE-022
E02,32,CASE-039
E02,33,CASE-038
E02,34,CASE-043
E02,35,CASE-049
E02,36,CASE-016
E02,37,CASE-047
E02,38,CASE-005
E02,39,CASE-050
E02,40,CASE-013
E02,41,CASE-041
E02,42,CASE-058
E02,43,CASE-020
E02,44,CASE-056
E02,45,CASE-030
E02,46,CASE-048
E02,47,CASE-008
E02,48,CASE-060
E02,49,CASE-051
E02,50,CASE-017
E02,51,CASE-034
E02,52,CASE-009
E02,53,CASE-021
E02,54,CASE-007
E02,55,CASE-057
E02,56,CASE-025
E02,57,CASE-019
E02,58,CASE-044
E02,59,CASE-001
E02,60,CASE-003
