model,model_family,prediction_stage,protocol_id,source_role,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pr_auc,roc_auc,nll,brier,ece,risk_precision,risk_recall,risk_f1,stage,observation_percentage
Decision Tree,decision_tree,E1_EARLY_20PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.6667914620651839,0.6315507663079396,0.7157348511134934,0.6315507663079396,0.6124856674948137,0.6295336594829292,0.6849298862865009,0.7167719006887635,0.9680716823676292,0.2294737343664707,0.1282010889738671,0.7931116968862651,0.3318293600584372,0.4675183572106299,E1,20
H1 Tabular Residual Hybrid,cnn_bilstm,E1_EARLY_20PCT,h1_final_outer_v1,protocol_matched_h1_comparator,0.7194262585591059,0.7125682201030493,0.715645170197003,0.7125682201030493,0.713634963506438,0.7184228504359091,0.7720284595427783,0.7844881105853928,0.550339447069886,0.1866490435942726,0.0538022006273807,0.6928785689831797,0.6541663875734333,0.6729436823393837,E1,20
HistGradientBoosting,hist_gradient_boosting,E1_EARLY_20PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.7210542554307601,0.7011135395085489,0.7336765909568413,0.7011135395085489,0.7020099223877277,0.7108436347733678,0.7744824269102275,0.7854645408293126,0.5424150843628638,0.1829199376382013,0.0186299500951488,0.765665377486318,0.5308557128707452,0.6267264139222832,E1,20
Logistic Regression,logistic_regression,E1_EARLY_20PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.7168269779132136,0.6974658604987404,0.7270011513712547,0.6974658604987404,0.698417152891902,0.7071677529892835,0.7589772411131946,0.7767517827891869,0.5638431241462659,0.1917524757622987,0.0626239001625792,0.7538077069465885,0.5323282192779372,0.6239082490393838,E1,20
MLP,mlp,E1_EARLY_20PCT,h1_final_outer_v1,protocol_matched_h1_comparator,0.7213525113468723,0.7096970271241366,0.7202900623161671,0.7096970271241366,0.7117340302290778,0.7179290588317114,0.7712196890447828,0.7831735714696245,0.5474521472702533,0.1844588642386227,0.0222756856773846,0.7160235424638118,0.6106216922906573,0.659121669837377,E1,20
Random Forest,random_forest,E1_EARLY_20PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.7161013775659102,0.6961891345038795,0.7271557253100595,0.6961891345038795,0.6969408444639952,0.705900786841779,0.7608210040854564,0.7773761986004524,0.5547152312892302,0.1879157704053834,0.0321921348758552,0.7558265181662356,0.526772581527359,0.6207814544849248,E1,20
SVM,svm,E1_EARLY_20PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.7196638442719253,0.7017294825343908,0.727243958041334,0.7017294825343908,0.7032434362214289,0.7114493879222324,0.7524234803820673,0.7752554615619295,0.5640551251332008,0.190269083261924,0.0508983872764504,0.7486956417590546,0.5489731229286207,0.6334436919750225,E1,20
XGBoost,xgboost,E1_EARLY_20PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.72382369489404,0.7054118794663128,0.733052435585587,0.7054118794663128,0.7069650994480221,0.7152330187985166,0.7759680864763915,0.7874715092538475,0.5401469140171139,0.1822217667635843,0.0171808299605979,0.7584671629988016,0.5488876663744602,0.6367580897289277,E1,20
Decision Tree,decision_tree,E2_EARLY_35PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.7211206268112743,0.6878918461963696,0.73570282751758,0.6878918461963696,0.6898955478144145,0.7057699780806533,0.7119693151846226,0.755733101485142,0.9860811561372635,0.2080191636005165,0.1209485586287941,0.7664741744768286,0.4817224688111117,0.5915108046106609,E2,35
H1 Tabular Residual Hybrid,cnn_bilstm,E2_EARLY_35PCT,h1_final_outer_v1,protocol_matched_h1_comparator,0.7606347196798969,0.7479606174115271,0.7563779144156341,0.7479606174115271,0.7506320066458035,0.7586630465331643,0.8160994385097559,0.8308364685867401,0.4843847446925527,0.1603837437651309,0.0313344934314605,0.7360491966519301,0.6706443047642789,0.7012464769333787,E2,35
HistGradientBoosting,hist_gradient_boosting,E2_EARLY_35PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.7664610747132815,0.7475790009133512,0.7679867378804822,0.7475790009133512,0.7523687099649373,0.761875615906802,0.8170042073541032,0.8304083696086607,0.4816149874837843,0.1593718313874421,0.0166181799810801,0.7719512083599742,0.6297966886806258,0.6933242447591971,E2,35
Logistic Regression,logistic_regression,E2_EARLY_35PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.7577393817046884,0.7402459580345077,0.7565218822337334,0.7402459580345077,0.7443972027125662,0.753805096668859,0.8025852340054138,0.822152672940163,0.5138581410206416,0.1715579636926554,0.0818383107709369,0.7517568370241658,0.6312337348087257,0.6860165353903565,E2,35
MLP,mlp,E2_EARLY_35PCT,h1_final_outer_v1,protocol_matched_h1_comparator,0.7640820553796891,0.7446682324032796,0.7657996724602928,0.7446682324032796,0.7494993045875957,0.7592383754848512,0.8161268314470331,0.829740573138327,0.4833346598764759,0.1597554337452489,0.0192516551431158,0.770098843430025,0.6245508043900346,0.6892704909594444,E2,35
Random Forest,random_forest,E2_EARLY_35PCT,unified_stage_aware_oulad_v2,frozen_classical_comparator,0.7566800063208355,0.7377171277636668,0.7566382826253254,0.7377171277636668,0.7422040766544158,0.7520566707524291,0.8078231258568067,0.8233164437657495,0.4933270711949731,0.1639746412593422,0.0325158603822896,0.7561616018536735,0.6199160344958664,0.6811495827380908,E2,35
