candidate_id,outer_fold,trial_id,state,value,resolved_config,thresholds,selected_epochs,parameter_count,fit_count,fit_runtime_seconds,wall_runtime_seconds,failure_reason,prune_reason
V2-A0,0,0,COMPLETE,0.8217458006473481,"{""aggregate_hidden_1"": 96, ""aggregate_hidden_2"": 0, ""batch_size"": 128, ""dropout"": 0.11452090304204987, ""gradient_clip"": 1.0, ""learning_rate"": 0.0014696236810540894, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""none"", ""scheduler"": ""fixed_lr"", ""weight_decay"": 6.358358856676247e-05}","{""inner_macro_f1"": 0.8217458006473481, ""inner_operational_precision"": 0.7508563598995205, ""inner_operational_recall"": 0.8019512195121952, ""macro_threshold"": 0.4459999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.32199999999999995}","[7, 3]",24769,2,16.134888199987472,21.0865044999955,,
V2-A0,0,1,COMPLETE,0.8193077258233179,"{""aggregate_hidden_1"": 96, ""aggregate_hidden_2"": 32, ""batch_size"": 128, ""dropout"": 0.17303616213380452, ""gradient_clip"": 1.0, ""learning_rate"": 0.0004649345697900866, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""sqrt_balanced"", ""scheduler"": ""deterministic_cosine"", ""weight_decay"": 2.334586407601622e-05}","{""inner_macro_f1"": 0.8193077258233179, ""inner_operational_precision"": 0.7501722158438576, ""inner_operational_recall"": 0.796829268292683, ""macro_threshold"": 0.5599999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.38099999999999995}","[8, 11]",23713,2,22.942877099994803,27.803832400008105,,
V2-A0,0,2,COMPLETE,0.8228228980439154,"{""aggregate_hidden_1"": 128, ""aggregate_hidden_2"": 0, ""batch_size"": 128, ""dropout"": 0.2710582566280392, ""gradient_clip"": 1.0, ""learning_rate"": 0.0005510391929902152, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""none"", ""scheduler"": ""fixed_lr"", ""weight_decay"": 2.3233503515390116e-06}","{""inner_macro_f1"": 0.8228228980439154, ""inner_operational_precision"": 0.7502276867030966, ""inner_operational_recall"": 0.8036585365853659, ""macro_threshold"": 0.5179999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.3379999999999999}","[8, 11]",32129,2,21.667031900011352,26.879977899996447,,
V2-A0,0,3,COMPLETE,0.8207736822418753,"{""aggregate_hidden_1"": 128, ""aggregate_hidden_2"": 32, ""batch_size"": 128, ""dropout"": 0.24947499470277126, ""gradient_clip"": 1.0, ""learning_rate"": 0.001670722151062353, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""sqrt_balanced"", ""scheduler"": ""deterministic_cosine"", ""weight_decay"": 1.8427970406864558e-06}","{""inner_macro_f1"": 0.8207736822418753, ""inner_operational_precision"": 0.75, ""inner_operational_recall"": 0.8041463414634147, ""macro_threshold"": 0.4979999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.3539999999999999}","[11, 6]",29985,2,21.697771399994963,26.70743889998994,,
V2-A0,0,4,COMPLETE,0.8200192780091915,"{""aggregate_hidden_1"": 96, ""aggregate_hidden_2"": 64, ""batch_size"": 128, ""dropout"": 0.29306119232416433, ""gradient_clip"": 1.0, ""learning_rate"": 0.0003160426372820777, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""sqrt_balanced"", ""scheduler"": ""deterministic_cosine"", ""weight_decay"": 1.0388823104027941e-06}","{""inner_macro_f1"": 0.8200192780091915, ""inner_operational_precision"": 0.7501711156741958, ""inner_operational_recall"": 0.8019512195121952, ""macro_threshold"": 0.5329999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.3389999999999999}","[8, 11]",28993,2,23.0776535999903,28.139188000001013,,
V2-A0,0,5,COMPLETE,0.8210126612883728,"{""aggregate_hidden_1"": 64, ""aggregate_hidden_2"": 64, ""batch_size"": 128, ""dropout"": 0.282401544584516, ""gradient_clip"": 1.0, ""learning_rate"": 0.0008681354023778793, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""sqrt_balanced"", ""scheduler"": ""deterministic_cosine"", ""weight_decay"": 0.0004588156549160974}","{""inner_macro_f1"": 0.8210126612883728, ""inner_operational_precision"": 0.7505197505197505, ""inner_operational_recall"": 0.7924390243902439, ""macro_threshold"": 0.4909999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.37399999999999994}","[8, 4]",21697,2,18.049199100001715,23.217503499996383,,
V2-A0,0,6,COMPLETE,0.8207487680831849,"{""aggregate_hidden_1"": 64, ""aggregate_hidden_2"": 64, ""batch_size"": 256, ""dropout"": 0.17858899526908167, ""gradient_clip"": 1.0, ""learning_rate"": 0.0006450608534358238, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""sqrt_balanced"", ""scheduler"": ""fixed_lr"", ""weight_decay"": 0.0005280796376895364}","{""inner_macro_f1"": 0.8207487680831849, ""inner_operational_precision"": 0.7520661157024794, ""inner_operational_recall"": 0.7990243902439025, ""macro_threshold"": 0.5439999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.35899999999999993}","[8, 15]",21697,2,18.02281129999028,22.954382299998542,,
V2-A0,0,7,COMPLETE,0.8203896767986738,"{""aggregate_hidden_1"": 64, ""aggregate_hidden_2"": 0, ""batch_size"": 128, ""dropout"": 0.3231397496224944, ""gradient_clip"": 1.0, ""learning_rate"": 0.0006924241994587181, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""fully_balanced"", ""scheduler"": ""deterministic_cosine"", ""weight_decay"": 0.00026443593078398644}","{""inner_macro_f1"": 0.8203896767986738, ""inner_operational_precision"": 0.75, ""inner_operational_recall"": 0.8048780487804879, ""macro_threshold"": 0.5229999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.3879999999999999}","[10, 9]",17409,2,22.566373499983456,27.640702300006524,,
V2-A0,0,8,COMPLETE,0.8218929702811022,"{""aggregate_hidden_1"": 96, ""aggregate_hidden_2"": 64, ""batch_size"": 128, ""dropout"": 0.33572742597812977, ""gradient_clip"": 1.0, ""learning_rate"": 0.0004209523396665224, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""sqrt_balanced"", ""scheduler"": ""fixed_lr"", ""weight_decay"": 3.6005750292009055e-05}","{""inner_macro_f1"": 0.8218929702811022, ""inner_operational_precision"": 0.7501137915339099, ""inner_operational_recall"": 0.8039024390243903, ""macro_threshold"": 0.5429999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.3509999999999999}","[13, 11]",28993,2,27.39862799999537,32.446869400009746,,
V2-A0,0,9,COMPLETE,0.8224525367823194,"{""aggregate_hidden_1"": 128, ""aggregate_hidden_2"": 0, ""batch_size"": 256, ""dropout"": 0.3270664714916634, ""gradient_clip"": 1.0, ""learning_rate"": 0.0003472097293959256, ""max_epochs"": 40, ""patience"": 6, ""positive_weight"": ""none"", ""scheduler"": ""deterministic_cosine"", ""weight_decay"": 2.720724805948669e-06}","{""inner_macro_f1"": 0.8224525367823194, ""inner_operational_precision"": 0.7503996346197762, ""inner_operational_recall"": 0.8014634146341464, ""macro_threshold"": 0.4669999999999999, ""operational_feasible"": true, ""operational_threshold"": 0.30399999999999994}","[16, 11]",32129,2,20.170924399993964,25.081728300006944,,
