dataset,scenario,model_id,outer_fold,trial,state,params,inner_fold_macro_f1,inner_objective,threshold,outer_rows_used_for_selection
student_por,S0_EARLY_NO_GRADE,logistic_regression,0,0,COMPLETE,"{""C"": 0.1, ""class_weight"": null}","[0.3700159489633174, 0.39066397286241644, 0.34894234894234893]",0.3698740902560276,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,0,1,COMPLETE,"{""C"": 0.1, ""class_weight"": ""balanced""}","[0.4309185959671397, 0.4986528822055137, 0.47185715318441407]",0.46714287711902247,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,0,2,COMPLETE,"{""C"": 1.0, ""class_weight"": null}","[0.36138441141581185, 0.40330237358101134, 0.41744239152369805]",0.39404305884017377,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,0,3,COMPLETE,"{""C"": 1.0, ""class_weight"": ""balanced""}","[0.4198601082568996, 0.48923256313480007, 0.4716560186593652]",0.46024956335035494,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,0,4,COMPLETE,"{""C"": 10.0, ""class_weight"": null}","[0.36138441141581185, 0.4059923648237061, 0.43294722147969944]",0.40010799923973916,,False
student_por,S0_EARLY_NO_GRADE,logistic_regression,0,5,COMPLETE,"{""C"": 10.0, ""class_weight"": ""balanced""}","[0.41640033245258207, 0.48990953589884073, 0.4747298277771413]",0.460346565376188,,False
student_por,S0_EARLY_NO_GRADE,random_forest,0,0,COMPLETE,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.447657697182412, 0.45071622928332095, 0.44997365493823543]",0.44944919380132275,,False
student_por,S0_EARLY_NO_GRADE,random_forest,0,1,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.4787531806615776, 0.40594779632006844, 0.46828981905860245]",0.4509969320134162,,False
student_por,S0_EARLY_NO_GRADE,random_forest,0,2,COMPLETE,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.46378899350036873, 0.32954722485802096, 0.4036352686759191]",0.3989904956781029,,False
student_por,S0_EARLY_NO_GRADE,random_forest,0,3,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.5001557352500748, 0.5668035146332947, 0.4894703190872945]",0.5188098563235547,,False
student_por,S0_EARLY_NO_GRADE,random_forest,0,4,COMPLETE,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.4993252361673414, 0.3841322102022491, 0.412531328320802]",0.4319962582301309,,False
student_por,S0_EARLY_NO_GRADE,random_forest,0,5,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.5413951545530492, 0.5321124503754723, 0.47846565202886476]",0.5173244189857954,,False
student_por,S0_EARLY_NO_GRADE,random_forest,0,6,COMPLETE,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.4490738514315027, 0.3482987064557624, 0.3946318652201006]",0.3973348077024552,,False
student_por,S0_EARLY_NO_GRADE,random_forest,0,7,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.5031154412597711, 0.566040421543491, 0.5144720606381104]",0.5278759744804574,,False
student_por,S0_EARLY_NO_GRADE,xgboost,0,0,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}","[0.4793393740762162, 0.4849909755865869, 0.4294233051565868]",0.4645845516064633,,False
student_por,S0_EARLY_NO_GRADE,xgboost,0,1,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}","[0.4694247327088655, 0.5004631183009368, 0.4294233051565868]",0.46643705205546304,,False
student_por,S0_EARLY_NO_GRADE,xgboost,0,2,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.08, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}","[0.48407605466428993, 0.4961727027164034, 0.5223502304147466]",0.5008663292651466,,False
