code_module,code_presentation,presentation_length,stage,target_progress_fraction,actual_progress_fraction,cutoff_day,cutoff_week,first_allowed_day,last_allowed_event_day,final_outcome_guard_day,exact_f2_compatibility,monotonicity_pass,exclusion_reason
AAA,2013J,268,E1_EARLY_20PCT,0.2,0.19776119402985073,53,8,0,52,254,True,True,
AAA,2013J,268,E2_EARLY_35PCT,0.35,0.34701492537313433,93,14,0,92,254,True,True,
AAA,2013J,268,M1_MIDDLE_FROZEN,0.5,0.5,134,20,0,133,254,True,True,
AAA,2013J,268,L1_LATE_75PCT,0.75,0.75,201,29,0,200,254,True,True,
BBB,2013B,240,E1_EARLY_20PCT,0.2,0.2,48,7,0,47,226,True,True,
BBB,2013B,240,E2_EARLY_35PCT,0.35,0.35,84,12,0,83,226,True,True,
BBB,2013B,240,M1_MIDDLE_FROZEN,0.5,0.5,120,18,0,119,226,True,True,
BBB,2013B,240,L1_LATE_75PCT,0.75,0.75,180,26,0,179,226,True,True,
BBB,2013J,268,E1_EARLY_20PCT,0.2,0.19776119402985073,53,8,0,52,254,True,True,
BBB,2013J,268,E2_EARLY_35PCT,0.35,0.34701492537313433,93,14,0,92,254,True,True,
BBB,2013J,268,M1_MIDDLE_FROZEN,0.5,0.5,134,20,0,133,254,True,True,
BBB,2013J,268,L1_LATE_75PCT,0.75,0.75,201,29,0,200,254,True,True,
BBB,2014B,234,E1_EARLY_20PCT,0.2,0.19658119658119658,46,7,0,45,220,True,True,
BBB,2014B,234,E2_EARLY_35PCT,0.35,0.34615384615384615,81,12,0,80,220,True,True,
BBB,2014B,234,M1_MIDDLE_FROZEN,0.5,0.5,117,17,0,116,220,True,True,
BBB,2014B,234,L1_LATE_75PCT,0.75,0.7478632478632479,175,25,0,174,220,True,True,
CCC,2014B,241,E1_EARLY_20PCT,0.2,0.1991701244813278,48,7,0,47,227,True,True,
CCC,2014B,241,E2_EARLY_35PCT,0.35,0.34854771784232363,84,12,0,83,227,True,True,
CCC,2014B,241,M1_MIDDLE_FROZEN,0.5,0.4979253112033195,120,18,0,119,227,True,True,
CCC,2014B,241,L1_LATE_75PCT,0.75,0.7468879668049793,180,26,0,179,227,True,True,
DDD,2013B,240,E1_EARLY_20PCT,0.2,0.2,48,7,0,47,226,True,True,
DDD,2013B,240,E2_EARLY_35PCT,0.35,0.35,84,12,0,83,226,True,True,
DDD,2013B,240,M1_MIDDLE_FROZEN,0.5,0.5,120,18,0,119,226,True,True,
DDD,2013B,240,L1_LATE_75PCT,0.75,0.75,180,26,0,179,226,True,True,
DDD,2013J,261,E1_EARLY_20PCT,0.2,0.19923371647509577,52,8,0,51,247,True,True,
DDD,2013J,261,E2_EARLY_35PCT,0.35,0.3486590038314176,91,13,0,90,247,True,True,
DDD,2013J,261,M1_MIDDLE_FROZEN,0.5,0.49808429118773945,130,19,0,129,247,True,True,
DDD,2013J,261,L1_LATE_75PCT,0.75,0.7471264367816092,195,28,0,194,247,True,True,
DDD,2014B,241,E1_EARLY_20PCT,0.2,0.1991701244813278,48,7,0,47,227,True,True,
DDD,2014B,241,E2_EARLY_35PCT,0.35,0.34854771784232363,84,12,0,83,227,True,True,
DDD,2014B,241,M1_MIDDLE_FROZEN,0.5,0.4979253112033195,120,18,0,119,227,True,True,
DDD,2014B,241,L1_LATE_75PCT,0.75,0.7468879668049793,180,26,0,179,227,True,True,
EEE,2013J,268,E1_EARLY_20PCT,0.2,0.19776119402985073,53,8,0,52,254,True,True,
EEE,2013J,268,E2_EARLY_35PCT,0.35,0.34701492537313433,93,14,0,92,254,True,True,
EEE,2013J,268,M1_MIDDLE_FROZEN,0.5,0.5,134,20,0,133,254,True,True,
EEE,2013J,268,L1_LATE_75PCT,0.75,0.75,201,29,0,200,254,True,True,
EEE,2014B,241,E1_EARLY_20PCT,0.2,0.1991701244813278,48,7,0,47,227,True,True,
EEE,2014B,241,E2_EARLY_35PCT,0.35,0.34854771784232363,84,12,0,83,227,True,True,
EEE,2014B,241,M1_MIDDLE_FROZEN,0.5,0.4979253112033195,120,18,0,119,227,True,True,
EEE,2014B,241,L1_LATE_75PCT,0.75,0.7468879668049793,180,26,0,179,227,True,True,
FFF,2013B,240,E1_EARLY_20PCT,0.2,0.2,48,7,0,47,226,True,True,
FFF,2013B,240,E2_EARLY_35PCT,0.35,0.35,84,12,0,83,226,True,True,
FFF,2013B,240,M1_MIDDLE_FROZEN,0.5,0.5,120,18,0,119,226,True,True,
FFF,2013B,240,L1_LATE_75PCT,0.75,0.75,180,26,0,179,226,True,True,
FFF,2013J,268,E1_EARLY_20PCT,0.2,0.19776119402985073,53,8,0,52,254,True,True,
FFF,2013J,268,E2_EARLY_35PCT,0.35,0.34701492537313433,93,14,0,92,254,True,True,
FFF,2013J,268,M1_MIDDLE_FROZEN,0.5,0.5,134,20,0,133,254,True,True,
FFF,2013J,268,L1_LATE_75PCT,0.75,0.75,201,29,0,200,254,True,True,
FFF,2014B,241,E1_EARLY_20PCT,0.2,0.1991701244813278,48,7,0,47,227,True,True,
FFF,2014B,241,E2_EARLY_35PCT,0.35,0.34854771784232363,84,12,0,83,227,True,True,
FFF,2014B,241,M1_MIDDLE_FROZEN,0.5,0.4979253112033195,120,18,0,119,227,True,True,
FFF,2014B,241,L1_LATE_75PCT,0.75,0.7468879668049793,180,26,0,179,227,True,True,
GGG,2013J,261,E1_EARLY_20PCT,0.2,0.19923371647509577,52,8,0,51,247,True,True,
GGG,2013J,261,E2_EARLY_35PCT,0.35,0.3486590038314176,91,13,0,90,247,True,True,
GGG,2013J,261,M1_MIDDLE_FROZEN,0.5,0.49808429118773945,130,19,0,129,247,True,True,
GGG,2013J,261,L1_LATE_75PCT,0.75,0.7471264367816092,195,28,0,194,247,True,True,
GGG,2014B,241,E1_EARLY_20PCT,0.2,0.1991701244813278,48,7,0,47,227,True,True,
GGG,2014B,241,E2_EARLY_35PCT,0.35,0.34854771784232363,84,12,0,83,227,True,True,
GGG,2014B,241,M1_MIDDLE_FROZEN,0.5,0.4979253112033195,120,18,0,119,227,True,True,
GGG,2014B,241,L1_LATE_75PCT,0.75,0.7468879668049793,180,26,0,179,227,True,True,
