model_family,outer_fold,prediction_stage,threshold_policy,threshold,status,source
bilstm_only,0.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.6480728983879089,PRECISION_CONSTRAINT_MET,pooled_inner_oof
bilstm_only,0.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
bilstm_only,0.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.5345814824104309,PRECISION_CONSTRAINT_MET,pooled_inner_oof
bilstm_only,0.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
bilstm_only,0.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.2643312811851501,PRECISION_CONSTRAINT_MET,pooled_inner_oof
bilstm_only,0.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
bilstm_only,0.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.379209816455841,PRECISION_CONSTRAINT_MET,pooled_inner_oof
bilstm_only,0.0,M1_MIDDLE_FROZEN,FIXED_0_5,0.5,FIXED,protocol
bilstm_only,1.0,E1_EARLY_20PCT,INNER_OOF_STAGE_THRESHOLD,0.6719000339508057,PRECISION_CONSTRAINT_MET,pooled_inner_oof
bilstm_only,1.0,E1_EARLY_20PCT,FIXED_0_5,0.5,FIXED,protocol
bilstm_only,1.0,E2_EARLY_35PCT,INNER_OOF_STAGE_THRESHOLD,0.563504695892334,PRECISION_CONSTRAINT_MET,pooled_inner_oof
bilstm_only,1.0,E2_EARLY_35PCT,FIXED_0_5,0.5,FIXED,protocol
bilstm_only,1.0,L1_LATE_75PCT,INNER_OOF_STAGE_THRESHOLD,0.2764671444892883,PRECISION_CONSTRAINT_MET,pooled_inner_oof
bilstm_only,1.0,L1_LATE_75PCT,FIXED_0_5,0.5,FIXED,protocol
bilstm_only,1.0,M1_MIDDLE_FROZEN,INNER_OOF_STAGE_THRESHOLD,0.4039121866226196,PRECISION_CONSTRAINT_MET,pooled_inner_oof
