dataset,prediction_stage,base_model_id,comparator_model_id,metric,delta,ci_95_low,ci_95_high,replicates,conclusion,cnn_bilstm_macro_f1,comparator_macro_f1,resampling_unit
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm_mat,logistic_regression_mat,macro_f1,0.01563750681724113,-0.025551035884480933,0.056780058784545305,5000,insufficient evidence of difference,0.4135582605142271,0.397920753696986,
student_mat,S1_MID_G1_ONLY,cnn_bilstm_mat,logistic_regression_mat,macro_f1,0.021404735718705936,-0.007713530725146597,0.051238292803483625,5000,insufficient evidence of difference,0.743811236189285,0.7224065004705791,
student_mat,S2_LATE_G1_G2,cnn_bilstm_mat,logistic_regression_mat,macro_f1,-0.02928531334570994,-0.054195264840893,-0.0057440835285567735,5000,CNN-BiLSTM lower,0.846139241860266,0.875424555205976,
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm_mat,decision_tree_mat,macro_f1,0.003167772826817461,-0.05259296359899678,0.05949535265226894,5000,insufficient evidence of difference,0.4135582605142271,0.41039048768740966,
student_mat,S1_MID_G1_ONLY,cnn_bilstm_mat,decision_tree_mat,macro_f1,0.01279974984470622,-0.028805111752833183,0.05417929892737441,5000,insufficient evidence of difference,0.743811236189285,0.7310114863445788,
student_mat,S2_LATE_G1_G2,cnn_bilstm_mat,decision_tree_mat,macro_f1,-0.016120019952567177,-0.05429977884857362,0.021527297386745244,5000,insufficient evidence of difference,0.846139241860266,0.8622592618128332,
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm_mat,random_forest_mat,macro_f1,-0.016053409290306686,-0.06092457902837277,0.030176809663241044,5000,insufficient evidence of difference,0.4135582605142271,0.4296116698045338,
student_mat,S1_MID_G1_ONLY,cnn_bilstm_mat,random_forest_mat,macro_f1,0.03201509589758411,-0.001308135893327885,0.06513898825669352,5000,insufficient evidence of difference,0.743811236189285,0.7117961402917009,
student_mat,S2_LATE_G1_G2,cnn_bilstm_mat,random_forest_mat,macro_f1,-0.043151976045042395,-0.07283369955808022,-0.013947106055348987,5000,CNN-BiLSTM lower,0.846139241860266,0.8892912179053084,
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm_mat,hist_gradient_boosting_mat,macro_f1,-0.024326836474342417,-0.0759667217153164,0.02981217699176176,5000,insufficient evidence of difference,0.4135582605142271,0.43788509698856953,
student_mat,S1_MID_G1_ONLY,cnn_bilstm_mat,hist_gradient_boosting_mat,macro_f1,0.042444981045252184,-0.004179682144990232,0.09049009252516063,5000,insufficient evidence of difference,0.743811236189285,0.7013662551440328,
student_mat,S2_LATE_G1_G2,cnn_bilstm_mat,hist_gradient_boosting_mat,macro_f1,-0.008033705837497518,-0.045809010412731874,0.029692429602081228,5000,insufficient evidence of difference,0.846139241860266,0.8541729476977635,
student_mat,S0_EARLY_NO_GRADE,cnn_bilstm_mat,svm_mat,macro_f1,-0.03871224311122334,-0.08699158970087853,0.011078962939427155,5000,insufficient evidence of difference,0.4135582605142271,0.45227050362545046,
student_mat,S1_MID_G1_ONLY,cnn_bilstm_mat,svm_mat,macro_f1,0.019350086876095296,-0.022528982794835332,0.06251830995970828,5000,insufficient evidence of difference,0.743811236189285,0.7244611493131897,
