dataset,model_id,model_family,prediction_stage,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,pr_auc,roc_auc,brier,nll,ece,medium_to_low_errors,low_to_medium_errors,mean_stage_macro_f1,worst_stage_macro_f1,rank_macro_f1,rank_mean_stage_macro_f1,rank_worst_stage_macro_f1,rank_balanced_accuracy,rank_pr_auc
student_mat,bilstm_only_mat,bilstm_only,OVERALL,0.6160337552742616,0.6748280353588573,0.620373102408743,0.6748280353588573,0.6146313492578052,0.6068942531293412,0.7311616562867086,0.8374751315620658,0.47295601548086064,0.7754411087464179,0.06343037174292515,161,49,0.6181713093409256,0.431257914794549,10,10,3,5,9
student_mat,cnn_bilstm_mat,cnn_bilstm,OVERALL,0.6641350210970464,0.6961725061468211,0.6523600494613672,0.6961725061468211,0.6605555308571892,0.6636337356444714,0.7971598535643466,0.8728206153071686,0.4111587007019651,0.6745364153159631,0.0460224462540603,129,61,0.667836246187926,0.4135582605142271,8,6,7,3,4
student_mat,cnn_only_mat,cnn_only,OVERALL,0.6734177215189874,0.7026083743121414,0.6607618497982246,0.7026083743121414,0.6691642264344994,0.6747649900471073,0.804076972359388,0.877080946687849,0.4020365017770495,0.6583612685863841,0.04393152444055942,112,69,0.6759697197480201,0.4239012732907659,6,2,5,1,2
student_mat,decision_tree_mat,decision_tree,OVERALL,0.6902953586497891,0.6683986311126722,0.6981448868016272,0.6683986311126722,0.6805788493361344,0.6891667333354711,0.728851751288409,0.8352163193516148,0.43410037593358003,2.3604438238734002,0.11166957925948232,92,132,0.6678870786149406,0.41039048768740966,2,5,9,6,10
student_mat,hist_gradient_boosting_mat,hist_gradient_boosting,OVERALL,0.6725738396624472,0.6559246087499512,0.6814011152246446,0.6559246087499512,0.666811584235307,0.6717555626435856,0.7525512223502036,0.8425883904542939,0.49317672635868015,1.0154541916572546,0.18872948747625073,113,139,0.664474766610122,0.43788509698856953,7,9,2,10,7
student_mat,logistic_regression_mat,logistic_regression,OVERALL,0.6590717299578059,0.6990527309448543,0.6518465385730972,0.6990527309448543,0.6569943753204424,0.660028261218082,0.8099687524811398,0.8777206484409202,0.39956028791722886,0.6416132177364433,0.07863183972065443,113,72,0.6652506031245137,0.397920753696986,9,7,10,2,1
student_mat,mlp_mat,mlp,OVERALL,0.6928270042194092,0.667650767864809,0.7122763653483992,0.667650767864809,0.6847598949871677,0.6910967692325575,0.7922018182053376,0.8687724757922041,0.3904803638701016,0.6409198518155764,0.07126003567659316,88,146,0.6690545372525203,0.4218916160092631,1,4,6,7,5
student_mat,random_forest_mat,random_forest,OVERALL,0.6734177215189874,0.6852612886859463,0.6623003411156364,0.6852612886859463,0.6716236167790223,0.673541504917145,0.7973600738711125,0.8695609774000821,0.3885710800138542,0.6367001822169531,0.03451459841307716,125,98,0.6768996760005144,0.4296116698045338,5,1,4,4,3
student_mat,svm_mat,svm,OVERALL,0.6919831223628692,0.6659431955664833,0.6957682923555749,0.6659431955664833,0.6781465075371885,0.6904454900970486,0.7375520086157423,0.8418367239161081,0.4238708704177522,0.7029292210864871,0.02917351783439485,91,125,0.6756199971808824,0.45227050362545046,4,3,1,8,8
student_mat,xgboost_mat,xgboost,OVERALL,0.6911392405063291,0.6597744214182569,0.7135252393649445,0.6597744214182569,0.6795278249087824,0.6888171995486408,0.7859180905488995,0.8629810356533206,0.40174983876930065,0.6529939377504265,0.08136793022934696,93,141,0.6649688630965876,0.4116042279255048,3,8,8,9,6
student_por,bilstm_only_por,bilstm_only,OVERALL,0.7026194144838213,0.7640772936273136,0.6586118166680294,0.7640772936273136,0.6843686812686295,0.7097872574973257,0.7938943329306193,0.8942194089425417,0.39787887754220486,0.628520687369966,0.06982712166678028,219,45,0.6897874995807632,0.5093850779014473,6,4,1,3,7
student_por,cnn_bilstm_por,cnn_bilstm,OVERALL,0.7185413456599897,0.7700446408642471,0.6709388377776739,0.7700446408642471,0.6983011614278517,0.7254669667529478,0.8111564524518474,0.9007739718497697,0.37874203018851943,0.6096062025997693,0.05729300870542528,195,47,0.7050044309903339,0.5088862277534547,4,2,2,1,1
student_por,cnn_only_por,cnn_only,OVERALL,0.7134052388289677,0.7687576447480023,0.666477812209806,0.7687576447480023,0.6937461403648464,0.7204509727161366,0.8015590188069033,0.89728651358133,0.3876327484406971,0.6249872914578991,0.05355963709697814,214,45,0.6997228259426364,0.4984191775302455,5,3,4,2,5
student_por,decision_tree_por,decision_tree,OVERALL,0.6866974833076528,0.6849800942328063,0.6245598493525163,0.6849800942328063,0.6449495832588876,0.6957220474957792,0.697352643343656,0.8233724893200156,0.43773877553699775,3.111505045029654,0.1551763807762076,214,89,0.6488101478458632,0.4311891911668888,10,10,9,6,10
student_por,hist_gradient_boosting_por,hist_gradient_boosting,OVERALL,0.7375449409347714,0.6362689977314324,0.689204985984374,0.6362689977314324,0.6581697186077193,0.7305015637168608,0.7359857871509922,0.8541364344811774,0.3988548901401697,0.7822927471737369,0.1452267802394345,99,157,0.6533654252767259,0.4586335978494562,9,9,5,10,9
student_por,logistic_regression_por,logistic_regression,OVERALL,0.6882383153569595,0.754118079144194,0.65150534387439,0.754118079144194,0.6708632132746151,0.6960554744503532,0.8026383654000641,0.8930663839556736,0.38758805870220436,0.633004583035367,0.0544467617372001,191,51,0.6775717244163711,0.43506042017572094,8,6,8,5,4
student_por,mlp_por,mlp,OVERALL,0.7770929635336415,0.6620150480295117,0.7619705897966768,0.6620150480295117,0.6989091326938164,0.7671243381659304,0.8001690849872715,0.8946129515385696,0.30573630900782367,0.5032420669452855,0.024362811287245153,73,149,0.6682077679833748,0.4002416046878521,3,7,10,8,6
