dataset,task,stage,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,pr_auc,roc_auc,nll,brier,ece
student_mat,MAIN,MAIN_ENDPOINT,cnn_bilstm,0.8911392405063291,0.9020888215665611,0.9031398900874038,0.9020888215665611,0.9014601961315334,0.894613836909452,0.8911392405063291,0.8916765397427795,0.9441838635944574,0.9679387694457313,0.36351269622218274,0.20715563349429517,0.13053706881537022
student_mat,MAIN,MAIN_ENDPOINT,decision_tree,0.8987341772151899,0.904120931389767,0.912757827601418,0.904120931389767,0.9066544140712939,0.9030795162615685,0.8987341772151899,0.8992945526637132,0.8609262750562457,0.9300358309180652,0.3768018050824273,0.18162183422096123,0.012826208946060336
student_mat,MAIN,MAIN_ENDPOINT,hist_gradient_boosting,0.8708860759493671,0.8775717860906217,0.8798767916138809,0.8775717860906217,0.8785461958764588,0.8716278920593415,0.8708860759493671,0.8710982374516296,0.9317584458084583,0.9609155231348246,0.3592751744954995,0.18887502805460182,0.05936350224361406
student_mat,MAIN,MAIN_ENDPOINT,logistic_regression,0.8734177215189873,0.87765191429575,0.8810370547963452,0.87765191429575,0.8793180019908625,0.8735320835950864,0.8734177215189873,0.8734513354965088,0.9500305081048034,0.9699409400030387,0.29523570713977004,0.18129883086710422,0.022350447056935206
student_mat,MAIN,MAIN_ENDPOINT,mlp,0.8531645569620253,0.8621070425008782,0.8570310391363023,0.8621070425008782,0.8595069898734821,0.8530259826782145,0.8531645569620253,0.8530538623984181,0.9503140283312909,0.9687334942540616,0.3385435115982909,0.19847866334690384,0.07967363768338956
student_mat,MAIN,MAIN_ENDPOINT,random_forest,0.8936708860759494,0.9026508166491043,0.9027640941434045,0.9026508166491043,0.9013865704188285,0.8970992080813119,0.8936708860759494,0.893995379875331,0.9550380404668739,0.9720496714911677,0.2798604520471803,0.16689537256470185,0.032820271814510305
student_mat,MAIN,MAIN_ENDPOINT,svm,0.810126582278481,0.8126467187682941,0.8161902510256588,0.8126467187682941,0.8142714606002981,0.8103676669022681,0.810126582278481,0.8100810256744004,0.8826668579020943,0.9316462261056594,0.4448550585925768,0.270199621254079,0.04907186905193119
student_mat,MAIN,MAIN_ENDPOINT,xgboost,0.8784810126582279,0.8827801194239551,0.8942084241103849,0.8827801194239551,0.8880001338150677,0.8801715341551529,0.8784810126582279,0.8790084811651058,0.9506283290165705,0.968927204853611,0.29613737794424366,0.17301771375819439,0.038104111285681475
student_por,MAIN,MAIN_ENDPOINT,cnn_bilstm,0.889060092449923,0.8675763663148155,0.8572836548564705,0.8675763663148155,0.8622587167738002,0.8904407409127143,0.889060092449923,0.8896472207203324,0.914678708867879,0.9627910173207844,0.3078934731046347,0.17246400426273453,0.053694645765948845
student_por,MAIN,MAIN_ENDPOINT,decision_tree,0.8705701078582434,0.8800411507603151,0.8283280742268526,0.8800411507603151,0.8487179154783511,0.8849068564893959,0.8705701078582434,0.8743118369218834,0.896623975915532,0.957624566296119,0.328183647024344,0.17774422731417452,0.031939935330942366
student_por,MAIN,MAIN_ENDPOINT,hist_gradient_boosting,0.8828967642526965,0.8439300193579021,0.8577885625154437,0.8439300193579021,0.850629682857171,0.8818496048976529,0.8828967642526965,0.8822211953387148,0.9022723883973837,0.9566024584919406,0.3616832038356127,0.17899923124855796,0.05529643249235949
student_por,MAIN,MAIN_ENDPOINT,logistic_regression,0.8520801232665639,0.8347999074716631,0.8080854084753167,0.8347999074716631,0.8205410888586723,0.8560080030372365,0.8520801232665639,0.8533718693715998,0.9124551432006696,0.9554898348285826,0.33827283129131913,0.194547559076736,0.03850103782538787
student_por,MAIN,MAIN_ENDPOINT,mlp,0.8705701078582434,0.8190104337874526,0.8460851421162817,0.8190104337874526,0.8303986867455508,0.8675725819000409,0.8705701078582434,0.8679526515262487,0.9147379010564815,0.9602097966058918,0.30219452379521017,0.1735444626904752,0.04751431443198726
student_por,MAIN,MAIN_ENDPOINT,random_forest,0.8921417565485362,0.8835977695800917,0.8567631503320704,0.8835977695800917,0.8692436817866236,0.8956111224920469,0.8921417565485362,0.8932575367484221,0.9308612141761735,0.9689270793446904,0.2722034532334317,0.15686339448864903,0.030607363430669512
student_por,MAIN,MAIN_ENDPOINT,svm,0.8382126348228043,0.7611814407636023,0.8127036374613522,0.7611814407636023,0.7824770193282303,0.8334371878135083,0.8382126348228043,0.8331786684994441,0.8296933441342977,0.9103259823188224,0.47950980188739684,0.25066692316565475,0.036357097832564814
student_por,MAIN,MAIN_ENDPOINT,xgboost,0.8952234206471494,0.8606226183084358,0.8731131047471016,0.8606226183084358,0.8663880491374553,0.8939196552175047,0.8952234206471494,0.8943243801375625,0.9361221610483481,0.9689172930393107,0.2631498546441231,0.15116600914919606,0.028088559560893688
