dataset,task,stage,model,class_index,class_name,precision,recall,f1,support
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,0.0,Low,0.5490196078431373,0.4307692307692308,0.4827586206896552,130.0
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,1.0,Medium,0.4980392156862745,0.6614583333333334,0.5682326621923938,192.0
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,decision_tree,2.0,High,0.2631578947368421,0.136986301369863,0.1801801801801801,73.0
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hist_gradient_boosting,0.0,Low,0.4330708661417323,0.4230769230769231,0.4280155642023346,130.0
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hist_gradient_boosting,1.0,Medium,0.5188679245283019,0.5729166666666666,0.5445544554455446,192.0
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hist_gradient_boosting,2.0,High,0.3928571428571428,0.3013698630136986,0.3410852713178294,73.0
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,0.0,Low,0.5423728813559322,0.4923076923076923,0.5161290322580645,130.0
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,1.0,Medium,0.4961240310077519,0.3333333333333333,0.3987538940809969,192.0
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,hybrid,2.0,High,0.2432432432432432,0.4931506849315068,0.3257918552036199,73.0
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,logistic_regression,0.0,Low,0.5206611570247934,0.4846153846153846,0.50199203187251,130.0
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,logistic_regression,1.0,Medium,0.5108695652173914,0.2447916666666666,0.3309859154929577,192.0
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,logistic_regression,2.0,High,0.2527472527472527,0.6301369863013698,0.3607843137254902,73.0
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,mlp,0.0,Low,0.5333333333333333,0.3692307692307692,0.4363636363636363,130.0
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,mlp,1.0,Medium,0.5036231884057971,0.7239583333333334,0.594017094017094,192.0
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,mlp,2.0,High,0.4137931034482758,0.1643835616438356,0.2352941176470588,73.0
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,random_forest,0.0,Low,0.5,0.4615384615384615,0.48,130.0
student_mat,EARLY_WARNING,S0_EARLY_NO_GRADE,random_forest,1.0,Medium,0.4848484848484848,0.4166666666666667,0.4481792717086835,192.0
