dataset,scenario,comparator,metric,delta,ci_95_low,ci_95_high,conclusion,replicates,sampling
student_mat,S0_EARLY_NO_GRADE,cnn_only,macro_f1,0.011967410843346682,-0.041534743902044556,0.06694340542141597,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,cnn_only,low_recall,-0.046153846153846156,-0.12307692307692308,0.03076923076923077,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,cnn_only,low_f1,-0.03240806982400918,-0.10543893764965268,0.039827516737419924,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,bilstm_only,macro_f1,0.04465144150269351,-0.005306814897557684,0.09507606466159754,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,bilstm_only,low_recall,-0.12307692307692303,-0.1923076923076923,-0.05384615384615382,comparator higher,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,bilstm_only,low_f1,-0.058827327909079186,-0.12149747175239387,0.0005659356329547643,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,logistic_regression,macro_f1,0.010370660412802435,-0.04001675189682041,0.06187781354192031,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,logistic_regression,low_recall,-0.007692307692307665,-0.07692307692307687,0.05384615384615388,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,logistic_regression,low_f1,0.007183908045977072,-0.05464086612488418,0.0672329425597399,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,decision_tree,macro_f1,0.0003034823404430287,-0.06322838758266922,0.0662878723657079,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,decision_tree,low_recall,-0.0692307692307692,-0.16923076923076924,0.03076923076923077,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,decision_tree,low_f1,-0.011755485893416961,-0.09907635546135421,0.07594660872717776,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,random_forest,macro_f1,-0.0438287703938014,-0.0984972977404053,0.01176466065095496,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,random_forest,low_recall,-0.08461538461538459,-0.16923076923076918,0.0,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,random_forest,low_f1,-0.040319334496175974,-0.11120192494766272,0.03198305646922238,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,hist_gradient_boosting,macro_f1,-0.010997424844171766,-0.06893859910204003,0.04885267048697656,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,hist_gradient_boosting,low_recall,-0.02307692307692305,-0.1076923076923077,0.0692307692307692,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,hist_gradient_boosting,low_f1,0.025362801224870224,-0.05428745048243912,0.10164014320172307,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,svm,macro_f1,0.04057024954322702,-0.007447449443902368,0.08953711582524874,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,svm,low_recall,0.06153846153846154,-0.015384615384615385,0.13846153846153847,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,svm,low_f1,0.012315270935960632,-0.06175202434839239,0.08830122213363634,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,xgboost,macro_f1,-0.027878286368186123,-0.08325728870362635,0.03045627994297366,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,xgboost,low_recall,-0.007692307692307665,-0.09230769230769231,0.06942307692307416,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,xgboost,low_f1,0.010971786833855857,-0.06304835472301436,0.08534054458498902,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,mlp,macro_f1,0.01351886079925163,-0.039737377893489856,0.06919873704784105,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,mlp,low_recall,0.06153846153846154,-0.01557692307692301,0.14615384615384613,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,mlp,low_f1,0.02742200328407235,-0.04818890151254326,0.10483803183888908,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,grade_band_reference,macro_f1,0.19761576908039832,0.14955658398667318,0.2465042297087915,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,grade_band_reference,low_recall,0.4153846153846154,0.33076923076923076,0.5076923076923077,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S0_EARLY_NO_GRADE,grade_band_reference,low_f1,0.4655172413793104,0.3888823064770932,0.5423728813559323,CNN-BiLSTM higher,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,cnn_only,macro_f1,0.0048025297248439625,-0.01940788794813273,0.02912198257195701,insufficient evidence of difference,5000,paired_stratified_by_true_class
student_mat,S1_MID_G1_ONLY,cnn_only,low_recall,-0.023076923076923106,-0.06153846153846154,0.015384615384615441,insufficient evidence of difference,5000,paired_stratified_by_true_class
