dataset,scenario,model_id,outer_fold,trial,state,params,inner_fold_macro_f1,inner_objective,threshold,outer_rows_used_for_selection
student_mat,S0_EARLY_NO_GRADE,logistic_regression,0,0,COMPLETE,"{""C"": 0.1, ""class_weight"": null}","[0.35858585858585856, 0.41111111111111115, 0.35105175875010913]",0.37358290948235967,,False
student_mat,S0_EARLY_NO_GRADE,logistic_regression,0,1,COMPLETE,"{""C"": 0.1, ""class_weight"": ""balanced""}","[0.4734359827992787, 0.3582909627685747, 0.445351789266021]",0.42569291161129147,,False
student_mat,S0_EARLY_NO_GRADE,logistic_regression,0,2,COMPLETE,"{""C"": 1.0, ""class_weight"": null}","[0.37356781241673326, 0.39199938717337757, 0.34753550543024225]",0.37103423500678434,,False
student_mat,S0_EARLY_NO_GRADE,logistic_regression,0,3,COMPLETE,"{""C"": 1.0, ""class_weight"": ""balanced""}","[0.44047619047619047, 0.36592592592592593, 0.44315744315744315]",0.4165198531865199,,False
student_mat,S0_EARLY_NO_GRADE,logistic_regression,0,4,COMPLETE,"{""C"": 10.0, ""class_weight"": null}","[0.37356781241673326, 0.39199938717337757, 0.3647788791164471]",0.37678202623551926,,False
student_mat,S0_EARLY_NO_GRADE,logistic_regression,0,5,COMPLETE,"{""C"": 10.0, ""class_weight"": ""balanced""}","[0.40971114655325175, 0.3414844865149125, 0.44370576651696364]",0.398300466528376,,False
student_mat,S0_EARLY_NO_GRADE,random_forest,0,0,COMPLETE,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.4559261352930093, 0.419051158181593, 0.45743261872294133]",0.44413663739918124,,False
student_mat,S0_EARLY_NO_GRADE,random_forest,0,1,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.49498207885304657, 0.44284524404464437, 0.4485915609246325]",0.4621396279407745,,False
student_mat,S0_EARLY_NO_GRADE,random_forest,0,2,COMPLETE,"{""class_weight"": null, ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.4004990806409246, 0.4654905913978495, 0.3403880070546737]",0.40212589303114926,,False
student_mat,S0_EARLY_NO_GRADE,random_forest,0,3,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.443496127706654, 0.41037037037037033, 0.4868428530832623]",0.44690311705342883,,False
student_mat,S0_EARLY_NO_GRADE,random_forest,0,4,COMPLETE,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.44978632478632474, 0.4546507936507937, 0.3752936718453959]",0.42657693009417147,,False
student_mat,S0_EARLY_NO_GRADE,random_forest,0,5,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 1, ""n_estimators"": 300}","[0.4137242538881883, 0.4285274080050199, 0.4749993804757496]",0.4390836807896526,,False
student_mat,S0_EARLY_NO_GRADE,random_forest,0,6,COMPLETE,"{""class_weight"": null, ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.4004990806409246, 0.48232650591997234, 0.3464349376114082]",0.40975350805743505,,False
student_mat,S0_EARLY_NO_GRADE,random_forest,0,7,COMPLETE,"{""class_weight"": ""balanced"", ""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 300}","[0.4635477582846004, 0.4100259163272862, 0.47910447761194036]",0.4508927174079423,,False
student_mat,S0_EARLY_NO_GRADE,xgboost,0,0,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 300, ""subsample"": 0.9}","[0.4039855072463768, 0.4179762889440309, 0.3272849462365592]",0.3830822474756556,,False
student_mat,S0_EARLY_NO_GRADE,xgboost,0,1,COMPLETE,"{""colsample_bytree"": 0.9, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 300, ""subsample"": 0.9}","[0.3914177141717001, 0.4345829839900986, 0.3289774442575581]",0.3849927141397856,,False
