domain,model,fold,seed,stage,pr_auc,roc_auc,accuracy,risk_precision,risk_recall,risk_f1,selected_threshold,train_pr_auc,generalization_gap,feature_count,outer_test_used
oulad,LR,0,42,20pct,0.7657156714451956,0.7939074468507634,0.6982188295165395,0.6163189037682965,0.783452098178939,0.6899076172215444,0.4,0.7679091972578433,0.0021935258126477564,96,False
oulad,LR,0,42,35pct,0.807190852242544,0.8316241143773779,0.7588152327221439,0.6923076923076923,0.7307859313938341,0.7110266159695817,0.46,0.8022844134988033,-0.004906438743740749,96,False
oulad,LR,0,42,50pct,0.8495216829021441,0.8742140265507067,0.7987548068119392,0.7286964532473514,0.7562141491395793,0.7422003284072249,0.47,0.8431274726446035,-0.006394210257540611,96,False
oulad,LR,0,42,75pct,0.8924586109993127,0.9170493334952372,0.8541626047962566,0.7972972972972973,0.7710227272727272,0.7839399191218949,0.51,0.8854125989218746,-0.007046012077438046,96,False
oulad,LR,0,42,FINAL-100,0.9799012520413347,0.9701355599389014,0.9271238200999444,0.9739404352806414,0.8868318122555411,0.9283472089531869,0.5,0.9805090811756753,0.0006078291343405429,96,False
oulad,LR,0,1201,20pct,0.7657156714451956,0.7939074468507634,0.6982188295165395,0.6163189037682965,0.783452098178939,0.6899076172215444,0.4,0.7679091972578433,0.0021935258126477564,96,False
oulad,LR,0,1201,35pct,0.807190852242544,0.8316241143773779,0.7588152327221439,0.6923076923076923,0.7307859313938341,0.7110266159695817,0.46,0.8022844134988033,-0.004906438743740749,96,False
oulad,LR,0,1201,50pct,0.8495216829021441,0.8742140265507067,0.7987548068119392,0.7286964532473514,0.7562141491395793,0.7422003284072249,0.47,0.8431274726446035,-0.006394210257540611,96,False
oulad,LR,0,1201,75pct,0.8924586109993127,0.9170493334952372,0.8541626047962566,0.7972972972972973,0.7710227272727272,0.7839399191218949,0.51,0.8854125989218746,-0.007046012077438046,96,False
oulad,LR,0,1201,FINAL-100,0.9799012520413347,0.9701355599389014,0.9271238200999444,0.9739404352806414,0.8868318122555411,0.9283472089531869,0.5,0.9805090811756753,0.0006078291343405429,96,False
oulad,LR,0,2026,20pct,0.7657156714451956,0.7939074468507634,0.6982188295165395,0.6163189037682965,0.783452098178939,0.6899076172215444,0.4,0.7679091972578433,0.0021935258126477564,96,False
oulad,LR,0,2026,35pct,0.807190852242544,0.8316241143773779,0.7588152327221439,0.6923076923076923,0.7307859313938341,0.7110266159695817,0.46,0.8022844134988033,-0.004906438743740749,96,False
oulad,LR,0,2026,50pct,0.8495216829021441,0.8742140265507067,0.7987548068119392,0.7286964532473514,0.7562141491395793,0.7422003284072249,0.47,0.8431274726446035,-0.006394210257540611,96,False
oulad,LR,0,2026,75pct,0.8924586109993127,0.9170493334952372,0.8541626047962566,0.7972972972972973,0.7710227272727272,0.7839399191218949,0.51,0.8854125989218746,-0.007046012077438046,96,False
oulad,LR,0,2026,FINAL-100,0.9799012520413347,0.9701355599389014,0.9271238200999444,0.9739404352806414,0.8868318122555411,0.9283472089531869,0.5,0.9805090811756753,0.0006078291343405429,96,False
oulad,LR,1,42,20pct,0.7660356397252484,0.7931047311338595,0.6877615938389419,0.6038923869490556,0.8143573909687379,0.6935086277732129,0.38,0.7710966592824384,0.005061019557190072,96,False
oulad,LR,1,42,35pct,0.7988586585803726,0.8279162783768295,0.7606717984604618,0.7211538461538461,0.6748071979434447,0.6972111553784861,0.51,0.8117681090513063,0.012909450470933614,96,False
oulad,LR,1,42,50pct,0.8352792686521713,0.8664864368192182,0.7968323320589842,0.7726027397260274,0.6679298910468972,0.7164634146341463,0.57,0.8532154360145736,0.017936167362402333,96,False
oulad,LR,1,42,75pct,0.877968163597608,0.9044903885544544,0.8555921690250049,0.8717579250720461,0.6809229037703995,0.764612954186414,0.66,0.8955472057492362,0.0175790421516282,96,False
oulad,LR,1,42,FINAL-100,0.9784653053527923,0.9682790149552922,0.9225788676126189,0.9728958630527818,0.8795460407531597,0.9238688702248713,0.55,0.9814245365925156,0.0029592312397233034,96,False
oulad,LR,1,1201,20pct,0.7660356397252484,0.7931047311338595,0.6877615938389419,0.6038923869490556,0.8143573909687379,0.6935086277732129,0.38,0.7710966592824384,0.005061019557190072,96,False
oulad,LR,1,1201,35pct,0.7988586585803726,0.8279162783768295,0.7606717984604618,0.7211538461538461,0.6748071979434447,0.6972111553784861,0.51,0.8117681090513063,0.012909450470933614,96,False
oulad,LR,1,1201,50pct,0.8352792686521713,0.8664864368192182,0.7968323320589842,0.7726027397260274,0.6679298910468972,0.7164634146341463,0.57,0.8532154360145736,0.017936167362402333,96,False
oulad,LR,1,1201,75pct,0.877968163597608,0.9044903885544544,0.8555921690250049,0.8717579250720461,0.6809229037703995,0.764612954186414,0.66,0.8955472057492362,0.0175790421516282,96,False
oulad,LR,1,1201,FINAL-100,0.9784653053527923,0.9682790149552922,0.9225788676126189,0.9728958630527818,0.8795460407531597,0.9238688702248713,0.55,0.9814245365925156,0.0029592312397233034,96,False
oulad,LR,1,2026,20pct,0.7660356397252484,0.7931047311338595,0.6877615938389419,0.6038923869490556,0.8143573909687379,0.6935086277732129,0.38,0.7710966592824384,0.005061019557190072,96,False
oulad,LR,1,2026,35pct,0.7988586585803726,0.8279162783768295,0.7606717984604618,0.7211538461538461,0.6748071979434447,0.6972111553784861,0.51,0.8117681090513063,0.012909450470933614,96,False
oulad,LR,1,2026,50pct,0.8352792686521713,0.8664864368192182,0.7968323320589842,0.7726027397260274,0.6679298910468972,0.7164634146341463,0.57,0.8532154360145736,0.017936167362402333,96,False
oulad,LR,1,2026,75pct,0.877968163597608,0.9044903885544544,0.8555921690250049,0.8717579250720461,0.6809229037703995,0.764612954186414,0.66,0.8955472057492362,0.0175790421516282,96,False
oulad,LR,1,2026,FINAL-100,0.9784653053527923,0.9682790149552922,0.9225788676126189,0.9728958630527818,0.8795460407531597,0.9238688702248713,0.55,0.9814245365925156,0.0029592312397233034,96,False
oulad,LR,2,42,20pct,0.7580059102781066,0.7889308650236679,0.6955566818719379,0.6045762165646149,0.7654018767849857,0.6755491537630537,0.42,0.7775284005074704,0.01952249022936381,96,False
oulad,LR,2,42,35pct,0.7896397061348437,0.823718832226538,0.7312433955618175,0.6262028127313102,0.7663043478260869,0.6892057026476578,0.42,0.8154323056900585,0.025792599555214846,96,False
oulad,LR,2,42,50pct,0.83418464059396,0.8684380988604281,0.7876838235294118,0.6836412798557909,0.7700507614213198,0.7242778706135116,0.45,0.8528873087394089,0.018702668145448853,96,False
oulad,LR,2,42,75pct,0.877093455252372,0.9074478523397833,0.8512621359223301,0.7929487179487179,0.7363095238095239,0.7635802469135803,0.54,0.8915863182393835,0.014492862987011468,96,False
oulad,LR,2,42,FINAL-100,0.9789226021313587,0.969627714306326,0.9284239504473503,0.9603598538093899,0.9001317523056653,0.9292709466811752,0.42,0.9808573818513171,0.0019347797199583683,96,False
oulad,LR,2,1201,20pct,0.7580059102781066,0.7889308650236679,0.6955566818719379,0.6045762165646149,0.7654018767849857,0.6755491537630537,0.42,0.7775284005074704,0.01952249022936381,96,False
oulad,LR,2,1201,35pct,0.7896397061348437,0.823718832226538,0.7312433955618175,0.6262028127313102,0.7663043478260869,0.6892057026476578,0.42,0.8154323056900585,0.025792599555214846,96,False
oulad,LR,2,1201,50pct,0.83418464059396,0.8684380988604281,0.7876838235294118,0.6836412798557909,0.7700507614213198,0.7242778706135116,0.45,0.8528873087394089,0.018702668145448853,96,False
oulad,LR,2,1201,75pct,0.877093455252372,0.9074478523397833,0.8512621359223301,0.7929487179487179,0.7363095238095239,0.7635802469135803,0.54,0.8915863182393835,0.014492862987011468,96,False
oulad,LR,2,1201,FINAL-100,0.9789226021313587,0.969627714306326,0.9284239504473503,0.9603598538093899,0.9001317523056653,0.9292709466811752,0.42,0.9808573818513171,0.0019347797199583683,96,False
oulad,LR,2,2026,20pct,0.7580059102781066,0.7889308650236679,0.6955566818719379,0.6045762165646149,0.7654018767849857,0.6755491537630537,0.42,0.7775284005074704,0.01952249022936381,96,False
oulad,LR,2,2026,35pct,0.7896397061348437,0.823718832226538,0.7312433955618175,0.6262028127313102,0.7663043478260869,0.6892057026476578,0.42,0.8154323056900585,0.025792599555214846,96,False
oulad,LR,2,2026,50pct,0.83418464059396,0.8684380988604281,0.7876838235294118,0.6836412798557909,0.7700507614213198,0.7242778706135116,0.45,0.8528873087394089,0.018702668145448853,96,False
oulad,LR,2,2026,75pct,0.877093455252372,0.9074478523397833,0.8512621359223301,0.7929487179487179,0.7363095238095239,0.7635802469135803,0.54,0.8915863182393835,0.014492862987011468,96,False
oulad,LR,2,2026,FINAL-100,0.9789226021313587,0.969627714306326,0.9284239504473503,0.9603598538093899,0.9001317523056653,0.9292709466811752,0.42,0.9808573818513171,0.0019347797199583683,96,False
oulad,DT,0,42,20pct,0.708784989541558,0.7486738101835302,0.6720949957591179,0.5986688851913478,0.7121931908155186,0.6505152775266678,0.4,0.7880162826942814,0.07923129315272337,96,False
oulad,DT,0,42,35pct,0.7664170342147942,0.7933511556609155,0.6747179125528914,0.5700305810397553,0.809379070777247,0.6689395298761888,0.31,0.8226778384832631,0.05626080426846891,96,False
oulad,DT,0,42,50pct,0.806097670815762,0.8348859128926603,0.7546236952939022,0.6507618283881316,0.7758126195028681,0.7078063672045355,0.42,0.8660738801140017,0.05997620929823966,96,False
oulad,DT,0,42,75pct,0.8630252227622085,0.8838378497800805,0.8565022421524664,0.8478260869565217,0.7090909090909091,0.7722772277227723,0.67,0.9104496662491097,0.047424443486901224,96,False
oulad,DT,0,42,FINAL-100,0.9614188807062718,0.9515955159841845,0.9264297612437534,0.9819189268008166,0.8779661016949153,0.9270374449339207,0.47,0.9688868053628733,0.00746792465660151,96,False
