dataset,inner_fold,seed,stage,family,pr_auc,risk_f1,risk_recall,risk_precision,accuracy,ece,brier,threshold,outer_test_used
uci,0,42,S0,LR,0.46415176043853174,0.4539877300613497,0.6065573770491803,0.3627450980392157,0.6866197183098591,0.1664021329274804,0.186869968428163,0.41,False
uci,0,42,S0,DT,0.4031740949124027,0.5503355704697986,0.6721311475409836,0.4659090909090909,0.7640845070422535,0.16602381357762525,0.18629860259718112,0.5,False
uci,0,42,S0,RF,0.4507588148749159,0.49261083743842365,0.819672131147541,0.352112676056338,0.6373239436619719,0.0780328918533894,0.14568668599554493,0.23,False
uci,0,42,S0,XGB,0.42835477363950275,0.46226415094339623,0.8032786885245902,0.32450331125827814,0.5985915492957746,0.10490416302706418,0.16805626299986168,0.08,False
uci,0,42,S0,MLP,0.40862197838456416,0.4444444444444444,0.4918032786885246,0.40540540540540543,0.7359154929577465,0.18922002871176274,0.196287180579429,0.05,False
uci,0,42,S1,LR,0.7533837201722947,0.6875,0.7213114754098361,0.6567164179104478,0.8591549295774648,0.08507401907858206,0.10410221249127012,0.56,False
uci,0,42,S1,DT,0.7090442716767007,0.7183098591549296,0.8360655737704918,0.6296296296296297,0.8591549295774648,0.12364472011267291,0.12459853775916843,0.68,False
uci,0,42,S1,RF,0.7360779023449712,0.688,0.7049180327868853,0.671875,0.8626760563380281,0.061921838597230126,0.09061543905016091,0.48,False
uci,0,42,S1,XGB,0.7191041759962055,0.7058823529411765,0.7868852459016393,0.64,0.8591549295774648,0.09116645028142825,0.10276586948506077,0.31,False
uci,0,42,S1,MLP,0.7426988795661205,0.5825242718446602,0.4918032786885246,0.7142857142857143,0.8485915492957746,0.14429432149076155,0.13888852401053917,0.87,False
uci,0,42,S2,LR,0.8654819595020669,0.78125,0.819672131147541,0.746268656716418,0.9014084507042254,0.05508332697308936,0.07720618011253594,0.51,False
uci,0,42,S2,DT,0.8272666506463623,0.7361111111111112,0.8688524590163934,0.6385542168674698,0.8661971830985915,0.0899391753142832,0.08846535714919102,0.5,False
uci,0,42,S2,RF,0.8757824879731226,0.7350427350427351,0.7049180327868853,0.7678571428571429,0.8908450704225352,0.05147924013076624,0.06882486545828655,0.52,False
uci,0,42,S2,XGB,0.8664001030360331,0.746031746031746,0.7704918032786885,0.7230769230769231,0.8873239436619719,0.07757637977776768,0.08482846541385171,0.29,False
uci,0,42,S2,MLP,0.8376382260280667,0.7079646017699115,0.6557377049180327,0.7692307692307693,0.8838028169014085,0.09991148668556842,0.09889082690220463,0.58,False
uci,0,1201,S0,LR,0.46415176043853174,0.4539877300613497,0.6065573770491803,0.3627450980392157,0.6866197183098591,0.1664021329274804,0.186869968428163,0.41,False
uci,0,1201,S0,DT,0.4073870950270422,0.5503355704697986,0.6721311475409836,0.4659090909090909,0.7640845070422535,0.16602381357762522,0.18629860259718106,0.5,False
uci,0,1201,S0,RF,0.4697304758515953,0.4897959183673469,0.7868852459016393,0.35555555555555557,0.647887323943662,0.08582594625803915,0.14499455290854282,0.25,False
uci,0,1201,S0,XGB,0.45871789622644066,0.47668393782383417,0.7540983606557377,0.3484848484848485,0.6443661971830986,0.11410746060665959,0.16086792685622897,0.13,False
uci,0,1201,S0,MLP,0.3965142257057811,0.3925233644859813,0.3442622950819672,0.45652173913043476,0.7711267605633803,0.21029633059701403,0.21025944249889567,0.67,False
uci,0,1201,S1,LR,0.7533837201722947,0.6875,0.7213114754098361,0.6567164179104478,0.8591549295774648,0.08507401907858206,0.10410221249127012,0.56,False
uci,0,1201,S1,DT,0.7090442716767007,0.7183098591549296,0.8360655737704918,0.6296296296296297,0.8591549295774648,0.12364472011267291,0.12459853775916843,0.68,False
uci,0,1201,S1,RF,0.7095269580305417,0.6935483870967742,0.7049180327868853,0.6825396825396826,0.8661971830985915,0.059693319614026144,0.0920802982049343,0.49,False
uci,0,1201,S1,XGB,0.7202606439859194,0.7183098591549296,0.8360655737704918,0.6296296296296297,0.8591549295774648,0.08314821780286238,0.1027555098484256,0.23,False
uci,0,1201,S1,MLP,0.7427559820308377,0.5871559633027523,0.5245901639344263,0.6666666666666666,0.8415492957746479,0.14034241955136667,0.1389323555334472,0.45,False
uci,0,1201,S2,LR,0.8654819595020669,0.78125,0.819672131147541,0.746268656716418,0.9014084507042254,0.05508332697308936,0.07720618011253594,0.51,False
uci,0,1201,S2,DT,0.8272666506463623,0.7361111111111112,0.8688524590163934,0.6385542168674698,0.8661971830985915,0.08993917531428322,0.08846535714919102,0.5,False
uci,0,1201,S2,RF,0.8819671514591325,0.7479674796747967,0.7540983606557377,0.7419354838709677,0.8908450704225352,0.05753853587729001,0.06603016664601137,0.46,False
uci,0,1201,S2,XGB,0.8643918430543698,0.732824427480916,0.7868852459016393,0.6857142857142857,0.8767605633802817,0.07729823857096588,0.08538536137746623,0.26,False
uci,0,1201,S2,MLP,0.8528657697251537,0.746031746031746,0.7704918032786885,0.7230769230769231,0.8873239436619719,0.09153216943604862,0.09248294807467039,0.15,False
uci,0,2026,S0,LR,0.46415176043853174,0.4539877300613497,0.6065573770491803,0.3627450980392157,0.6866197183098591,0.1664021329274804,0.186869968428163,0.41,False
uci,0,2026,S0,DT,0.40513251900197433,0.5503355704697986,0.6721311475409836,0.4659090909090909,0.7640845070422535,0.16602381357762525,0.1862986025971811,0.5,False
uci,0,2026,S0,RF,0.47205977650187303,0.5077720207253886,0.8032786885245902,0.3712121212121212,0.6654929577464789,0.08042890128846426,0.14213256714875488,0.25,False
uci,0,2026,S0,XGB,0.4676202420806334,0.4585987261146497,0.5901639344262295,0.375,0.7007042253521126,0.1166016736349032,0.16273694401625322,0.25,False
uci,0,2026,S0,MLP,0.4358527749318458,0.4782608695652174,0.5409836065573771,0.42857142857142855,0.7464788732394366,0.18470294916565,0.1879299256497058,0.05,False
uci,0,2026,S1,LR,0.7533837201722947,0.6875,0.7213114754098361,0.6567164179104478,0.8591549295774648,0.08507401907858206,0.10410221249127012,0.56,False
uci,0,2026,S1,DT,0.7090442716767007,0.7183098591549296,0.8360655737704918,0.6296296296296297,0.8591549295774648,0.12364472011267291,0.12459853775916843,0.68,False
uci,0,2026,S1,RF,0.7336720067078348,0.7,0.6885245901639344,0.711864406779661,0.8732394366197183,0.04765798170465587,0.09181302444252441,0.53,False
uci,0,2026,S1,XGB,0.7187176558518368,0.706766917293233,0.7704918032786885,0.6527777777777778,0.8626760563380281,0.08102994320096782,0.1034663331556416,0.28,False
