dataset,stage,fold,seed,g_temporal_mean,tabular_mass,cnn_mass,bilstm_mass,tabular_norm,temporal_norm,temporal_available_rate,outer_test_used
oulad,20pct,0,42,0.6969749331474304,0.3030250668525696,0.2332964688539505,0.4636784791946411,15.585928916931152,5.44504451751709,1.0,False
oulad,35pct,0,42,0.7469990849494934,0.2530009150505066,0.24714580178260803,0.499853253364563,15.849002838134766,5.6662139892578125,1.0,False
oulad,50pct,0,42,0.7857184410095215,0.2142815887928009,0.22944068908691406,0.5562776923179626,16.11659812927246,6.14110803604126,1.0,False
oulad,75pct,0,42,0.8163145184516907,0.18368548154830933,0.21269358694553375,0.6036209464073181,16.304956436157227,6.396834373474121,1.0,False
oulad,20pct,0,1201,0.66124027967453,0.33875972032546997,0.25821250677108765,0.4030277729034424,15.192258834838867,5.391320705413818,1.0,False
oulad,35pct,0,1201,0.7216392755508423,0.2783607244491577,0.2864169478416443,0.435222327709198,15.176543235778809,5.443026542663574,1.0,False
oulad,50pct,0,1201,0.765720009803772,0.2342800348997116,0.3181006908416748,0.4476192891597748,15.391960144042969,5.717930316925049,1.0,False
oulad,75pct,0,1201,0.7962704300880432,0.20372958481311798,0.32386717200279236,0.47240322828292847,15.519392013549805,5.945940017700195,1.0,False
oulad,20pct,0,2026,0.6624213457107544,0.3375786244869232,0.2745548188686371,0.3878665566444397,14.574501037597656,5.8303728103637695,1.0,False
oulad,35pct,0,2026,0.7223042249679565,0.27769583463668823,0.3064049780368805,0.41589921712875366,14.859960556030273,6.047817707061768,1.0,False
oulad,50pct,0,2026,0.7627021074295044,0.2372979074716568,0.32192760705947876,0.44077450037002563,15.232471466064453,6.433077812194824,1.0,False
oulad,75pct,0,2026,0.7898231148719788,0.21017690002918243,0.31573188304901123,0.47409120202064514,15.52822208404541,6.7208333015441895,1.0,False
oulad,20pct,1,42,0.6873689889907837,0.3126310408115387,0.2519490718841553,0.4354199171066284,15.453301429748535,5.464007377624512,1.0,False
oulad,35pct,1,42,0.7353399991989136,0.2646600008010864,0.24596580862998962,0.48937422037124634,15.694707870483398,5.685412406921387,1.0,False
oulad,50pct,1,42,0.7853356599807739,0.21466436982154846,0.2388782948255539,0.5464573502540588,15.920646667480469,6.159180164337158,1.0,False
oulad,75pct,1,42,0.8143924474716187,0.18560753762722015,0.21259509027004242,0.601797342300415,16.064537048339844,6.353791236877441,1.0,False
oulad,20pct,1,1201,0.7362368702888489,0.26376309990882874,0.26420822739601135,0.4720286726951599,15.104090690612793,5.012815475463867,1.0,False
oulad,35pct,1,1201,0.76325923204422,0.23674076795578003,0.28138870000839233,0.48187050223350525,15.1566801071167,5.061328887939453,1.0,False
oulad,50pct,1,1201,0.7791532874107361,0.22084668278694153,0.2933362126350403,0.4858170747756958,15.421863555908203,5.2306809425354,1.0,False
oulad,75pct,1,1201,0.7893993854522705,0.21060067415237427,0.28158068656921387,0.5078186392784119,15.579938888549805,5.519792556762695,1.0,False
oulad,20pct,1,2026,0.6874977350234985,0.31250226497650146,0.29494839906692505,0.3925493359565735,14.841169357299805,5.714052200317383,1.0,False
oulad,35pct,1,2026,0.727268636226654,0.27273139357566833,0.3025926351547241,0.42467597126960754,15.009767532348633,6.0864949226379395,1.0,False
oulad,50pct,1,2026,0.7626174688339233,0.23738251626491547,0.30058521032333374,0.4620323181152344,15.250248908996582,6.430154800415039,1.0,False
oulad,75pct,1,2026,0.7798056602478027,0.22019433975219727,0.28125113248825073,0.498554527759552,15.50733757019043,6.723174095153809,1.0,False
oulad,20pct,2,42,0.6815767288208008,0.3184232711791992,0.234515979886055,0.447060763835907,15.308390617370605,5.2094268798828125,1.0,False
oulad,35pct,2,42,0.7414017915725708,0.2585982382297516,0.2323375642299652,0.5090641975402832,15.666650772094727,5.582996368408203,1.0,False
oulad,50pct,2,42,0.7817654609680176,0.21823450922966003,0.21379971504211426,0.5679657459259033,16.014148712158203,5.941232681274414,1.0,False
oulad,75pct,2,42,0.8105355501174927,0.18946442008018494,0.19716450572013855,0.6133711338043213,16.241355895996094,6.301779747009277,1.0,False
oulad,20pct,2,1201,0.7308907508850098,0.26910924911499023,0.2771305441856384,0.45376017689704895,15.284263610839844,5.158899307250977,1.0,False
oulad,35pct,2,1201,0.7681834697723389,0.23181651532649994,0.27135491371154785,0.4968285858631134,15.217844009399414,5.299245357513428,1.0,False
oulad,50pct,2,1201,0.7962638139724731,0.20373614132404327,0.266342431306839,0.5299214720726013,15.441326141357422,5.5661420822143555,1.0,False
oulad,75pct,2,1201,0.8132926225662231,0.18670731782913208,0.2485203891992569,0.5647722482681274,15.517179489135742,5.865738868713379,1.0,False
oulad,20pct,2,2026,0.7079717516899109,0.2920282483100891,0.20179283618927002,0.5061789155006409,14.83458137512207,6.014310359954834,1.0,False
oulad,35pct,2,2026,0.7508658766746521,0.2491341233253479,0.19687309861183167,0.553992748260498,14.998148918151855,6.353392124176025,1.0,False
oulad,50pct,2,2026,0.7767214775085449,0.22327852249145508,0.19178369641304016,0.5849377512931824,15.307565689086914,6.686524868011475,1.0,False
oulad,75pct,2,2026,0.7912036180496216,0.2087963968515396,0.1803223192691803,0.6108812689781189,15.621599197387695,7.100804328918457,1.0,False
uci,S0,0,42,0.0,1.0,0.0,0.0,11.300023078918457,0.0,0.0,False
uci,S1,0,42,0.9540233016014099,0.04597674682736397,0.21323060989379883,0.7407925724983215,15.769323348999023,3.8430397510528564,1.0,False
uci,S2,0,42,0.9572738409042358,0.042726147919893265,0.22014623880386353,0.7371276021003723,15.592705726623535,4.349061012268066,1.0,False
uci,S0,0,1201,0.0,1.0,0.0,0.0,11.305318832397461,0.0,0.0,False
uci,S1,0,1201,0.9499813318252563,0.05001859739422798,0.23108355700969696,0.718897819519043,16.25627899169922,3.6554582118988037,1.0,False
uci,S2,0,1201,0.9460633993148804,0.053936559706926346,0.2380564957857132,0.7080069184303284,16.26258087158203,4.0111083984375,1.0,False
uci,S0,0,2026,0.0,1.0,0.0,0.0,11.30289363861084,0.0,0.0,False
uci,S1,0,2026,0.920037031173706,0.07996296882629395,0.31046152114868164,0.6095755100250244,15.345688819885254,4.973721027374268,1.0,False
uci,S2,0,2026,0.9574213027954102,0.042578741908073425,0.26297855377197266,0.6944426894187927,16.005279541015625,5.425373554229736,1.0,False
