trial_id,dataset,status,timestamp,params,outer_test_used
8,oulad,pruned,2026-08-18T21:27:08Z,"{""lr"": 0.00040414431890810175, ""weight_decay"": 5.595986878006084e-06, ""dropout"": 0.22311487691068893, ""batch_size"": 128, ""pos_weight_multiplier"": 0.8948757264568841, ""entropy_floor_coefficient"": 0.0005}",False
9,oulad,pruned,2026-08-18T21:28:21Z,"{""lr"": 7.683163288062515e-05, ""weight_decay"": 0.00047607677518095016, ""dropout"": 0.26180267257469525, ""batch_size"": 256, ""pos_weight_multiplier"": 0.8050259622638384, ""entropy_floor_coefficient"": 0.002}",False
10,oulad,pruned,2026-08-18T21:29:10Z,"{""lr"": 5.511375656087913e-05, ""weight_decay"": 4.748459024928738e-05, ""dropout"": 0.39086113323635974, ""batch_size"": 512, ""pos_weight_multiplier"": 1.1928281667388991, ""entropy_floor_coefficient"": 0.005}",False
11,oulad,pruned,2026-08-18T21:30:00Z,"{""lr"": 0.0002108599364904934, ""weight_decay"": 9.464114674843985e-06, ""dropout"": 0.3350888863447051, ""batch_size"": 512, ""pos_weight_multiplier"": 0.8351424448377822, ""entropy_floor_coefficient"": 0.001}",False
12,oulad,pruned,2026-08-18T21:36:03Z,"{""lr"": 0.00019546771204636293, ""weight_decay"": 1.3630533757259291e-05, ""dropout"": 0.33253944923492573, ""batch_size"": 128, ""pos_weight_multiplier"": 1.0366454888256145, ""entropy_floor_coefficient"": 0.0}",False
13,oulad,pruned,2026-08-18T21:37:16Z,"{""lr"": 0.00011752552247564804, ""weight_decay"": 1.0485387250760224e-06, ""dropout"": 0.31962985450537473, ""batch_size"": 256, ""pos_weight_multiplier"": 0.8547672266458983, ""entropy_floor_coefficient"": 0.0005}",False
14,oulad,pruned,2026-08-18T21:38:06Z,"{""lr"": 0.00029572906944851926, ""weight_decay"": 6.886838111719927e-05, ""dropout"": 0.39628406535218497, ""batch_size"": 512, ""pos_weight_multiplier"": 0.992003123370273, ""entropy_floor_coefficient"": 0.005}",False
15,oulad,pruned,2026-08-18T21:42:39Z,"{""lr"": 0.0001512432669804669, ""weight_decay"": 0.0001542849113504359, ""dropout"": 0.10766484844316304, ""batch_size"": 128, ""pos_weight_multiplier"": 0.7652352940349654, ""entropy_floor_coefficient"": 0.0}",False
16,oulad,pruned,2026-08-18T21:45:58Z,"{""lr"": 0.00019015814840096047, ""weight_decay"": 0.0007870708682262787, ""dropout"": 0.20433115814267505, ""batch_size"": 256, ""pos_weight_multiplier"": 1.1388558017534705, ""entropy_floor_coefficient"": 0.001}",False
17,oulad,pruned,2026-08-18T21:47:11Z,"{""lr"": 0.00011719506643128976, ""weight_decay"": 1.5846819023510044e-05, ""dropout"": 0.3114781247804532, ""batch_size"": 256, ""pos_weight_multiplier"": 0.9393270232473093, ""entropy_floor_coefficient"": 0.01}",False
18,oulad,pruned,2026-08-18T21:49:13Z,"{""lr"": 5.128131976688458e-05, ""weight_decay"": 0.00011997166564413929, ""dropout"": 0.3610430571413884, ""batch_size"": 128, ""pos_weight_multiplier"": 0.8571742045508256, ""entropy_floor_coefficient"": 0.005}",False
19,oulad,pruned,2026-08-18T21:50:10Z,"{""lr"": 0.0003022881381219908, ""weight_decay"": 1.155422178015389e-06, ""dropout"": 0.29969171899868385, ""batch_size"": 512, ""pos_weight_multiplier"": 0.752300771057306, ""entropy_floor_coefficient"": 0.0005}",False
20,oulad,pruned,2026-08-18T21:52:12Z,"{""lr"": 9.47293345364902e-05, ""weight_decay"": 2.1180949129053516e-05, ""dropout"": 0.3621964670627383, ""batch_size"": 128, ""pos_weight_multiplier"": 1.0429841127845034, ""entropy_floor_coefficient"": 0.005}",False
21,oulad,pruned,2026-08-18T21:54:14Z,"{""lr"": 0.00011063805510802472, ""weight_decay"": 2.4158692254798714e-06, ""dropout"": 0.3571700893165824, ""batch_size"": 128, ""pos_weight_multiplier"": 0.9148552438672821, ""entropy_floor_coefficient"": 0.002}",False
24,oulad,pruned,2026-08-19T02:53:34Z,"{""lr"": 0.00017542355842071583, ""weight_decay"": 8.888646678857795e-06, ""dropout"": 0.3840885629170448, ""batch_size"": 128, ""pos_weight_multiplier"": 0.8095138948898439, ""entropy_floor_coefficient"": 0.0005}",False
25,oulad,pruned,2026-08-19T02:58:19Z,"{""lr"": 0.00023486505811784515, ""weight_decay"": 4.9360816591388225e-06, ""dropout"": 0.29488156130099985, ""batch_size"": 128, ""pos_weight_multiplier"": 0.8405168145605162, ""entropy_floor_coefficient"": 0.0005}",False
26,oulad,pruned,2026-08-19T02:59:35Z,"{""lr"": 0.00015708794010879852, ""weight_decay"": 5.38957662229684e-06, ""dropout"": 0.33843714785682827, ""batch_size"": 256, ""pos_weight_multiplier"": 0.8211637021860924, ""entropy_floor_coefficient"": 0.0005}",False
27,oulad,pruned,2026-08-19T03:01:42Z,"{""lr"": 6.422128418894993e-05, ""weight_decay"": 1.4983773030694828e-06, ""dropout"": 0.37800747213309793, ""batch_size"": 128, ""pos_weight_multiplier"": 0.8662662053096267, ""entropy_floor_coefficient"": 0.0005}",False
28,oulad,pruned,2026-08-19T03:04:05Z,"{""lr"": 0.00013711980022107007, ""weight_decay"": 2.5753471362082957e-05, ""dropout"": 0.3456121375850618, ""batch_size"": 128, ""pos_weight_multiplier"": 0.950477984841022, ""entropy_floor_coefficient"": 0.0}",False
29,oulad,pruned,2026-08-19T03:04:57Z,"{""lr"": 9.668304119846277e-05, ""weight_decay"": 9.208369720720602e-06, ""dropout"": 0.23289175777682203, ""batch_size"": 512, ""pos_weight_multiplier"": 0.7969973310793893, ""entropy_floor_coefficient"": 0.001}",False
