dataset,inner_fold,seed,stage,family,pr_auc,risk_f1,risk_recall,accuracy,ece,brier,outer_test_used
uci,0,42,S0,LR,0.46415176043853174,0.4539877300613497,0.6065573770491803,0.6866197183098591,0.1664021329274804,0.186869968428163,False
uci,0,42,S0,DT,0.4031740949124027,0.5503355704697986,0.6721311475409836,0.7640845070422535,0.16602381357762525,0.18629860259718112,False
uci,0,42,S0,RF,0.4507588148749159,0.49261083743842365,0.819672131147541,0.6373239436619719,0.07803289185338938,0.14568668599554493,False
uci,0,42,S0,SVM,0.4796078215283905,0.4782608695652174,0.7213114754098361,0.6619718309859155,0.05000389411186268,0.1423987348311985,False
uci,0,42,S0,MLP,0.40862197838456416,0.4444444444444444,0.4918032786885246,0.7359154929577465,0.18922002871176274,0.196287180579429,False
uci,0,42,S1,LR,0.7533837201722947,0.6875,0.7213114754098361,0.8591549295774648,0.08507401907858206,0.10410221249127012,False
uci,0,42,S1,DT,0.7090442716767007,0.7183098591549296,0.8360655737704918,0.8591549295774648,0.12364472011267291,0.12459853775916843,False
uci,0,42,S1,RF,0.7360779023449712,0.688,0.7049180327868853,0.8626760563380281,0.06192183859723013,0.09061543905016091,False
uci,0,42,S1,SVM,0.7371431651526001,0.6363636363636364,0.5737704918032787,0.8591549295774648,0.07001841143345004,0.09483748709962002,False
uci,0,42,S1,MLP,0.7426988795661205,0.5825242718446602,0.4918032786885246,0.8485915492957746,0.14429432149076155,0.13888852401053917,False
uci,0,42,S2,LR,0.8654819595020669,0.78125,0.819672131147541,0.9014084507042254,0.05508332697308936,0.07720618011253594,False
uci,0,42,S2,DT,0.8272666506463623,0.7361111111111112,0.8688524590163934,0.8661971830985915,0.0899391753142832,0.08846535714919102,False
uci,0,42,S2,RF,0.8757824879731226,0.7350427350427351,0.7049180327868853,0.8908450704225352,0.05147924013076624,0.06882486545828655,False
uci,0,42,S2,SVM,0.8671583638527959,0.7307692307692307,0.6229508196721312,0.9014084507042254,0.04812615884454739,0.06988457886716774,False
uci,0,42,S2,MLP,0.8376382260280667,0.7079646017699115,0.6557377049180327,0.8838028169014085,0.09991148668556842,0.09889082690220463,False
uci,0,1201,S0,LR,0.46415176043853174,0.4539877300613497,0.6065573770491803,0.6866197183098591,0.1664021329274804,0.186869968428163,False
uci,0,1201,S0,DT,0.4073870950270422,0.5503355704697986,0.6721311475409836,0.7640845070422535,0.16602381357762522,0.18629860259718106,False
uci,0,1201,S0,RF,0.4697304758515953,0.4897959183673469,0.7868852459016393,0.647887323943662,0.08582594625803915,0.14499455290854282,False
uci,0,1201,S0,SVM,0.4796078215283905,0.4782608695652174,0.7213114754098361,0.6619718309859155,0.058320946095574575,0.14233643774926377,False
uci,0,1201,S0,MLP,0.3965142257057811,0.3925233644859813,0.3442622950819672,0.7711267605633803,0.21029633059701403,0.21025944249889567,False
uci,0,1201,S1,LR,0.7533837201722947,0.6875,0.7213114754098361,0.8591549295774648,0.08507401907858206,0.10410221249127012,False
uci,0,1201,S1,DT,0.7090442716767007,0.7183098591549296,0.8360655737704918,0.8591549295774648,0.12364472011267291,0.12459853775916843,False
uci,0,1201,S1,RF,0.7095269580305417,0.6935483870967742,0.7049180327868853,0.8661971830985915,0.059693319614026144,0.0920802982049343,False
uci,0,1201,S1,SVM,0.7372711139730719,0.625,0.5737704918032787,0.852112676056338,0.07739832080254447,0.09531710252968283,False
uci,0,1201,S1,MLP,0.7427559820308377,0.5871559633027523,0.5245901639344263,0.8415492957746479,0.14034241955136667,0.1389323555334472,False
uci,0,1201,S2,LR,0.8654819595020669,0.78125,0.819672131147541,0.9014084507042254,0.05508332697308936,0.07720618011253594,False
uci,0,1201,S2,DT,0.8272666506463623,0.7361111111111112,0.8688524590163934,0.8661971830985915,0.08993917531428322,0.08846535714919102,False
uci,0,1201,S2,RF,0.8819671514591325,0.7479674796747967,0.7540983606557377,0.8908450704225352,0.05753853587729002,0.06603016664601137,False
uci,0,1201,S2,SVM,0.8671583638527959,0.7307692307692307,0.6229508196721312,0.9014084507042254,0.04174167583273684,0.06989024448265718,False
uci,0,1201,S2,MLP,0.8528657697251537,0.746031746031746,0.7704918032786885,0.8873239436619719,0.09153216943604862,0.09248294807467039,False
uci,0,2026,S0,LR,0.46415176043853174,0.4539877300613497,0.6065573770491803,0.6866197183098591,0.1664021329274804,0.186869968428163,False
uci,0,2026,S0,DT,0.40513251900197433,0.5503355704697986,0.6721311475409836,0.7640845070422535,0.16602381357762525,0.1862986025971811,False
uci,0,2026,S0,RF,0.47205977650187303,0.5077720207253886,0.8032786885245902,0.6654929577464789,0.08042890128846426,0.14213256714875488,False
uci,0,2026,S0,SVM,0.4796078215283905,0.4919786096256685,0.7540983606557377,0.6654929577464789,0.06185980739754487,0.14241512472803047,False
uci,0,2026,S0,MLP,0.4358527749318458,0.4782608695652174,0.5409836065573771,0.7464788732394366,0.18470294916565,0.1879299256497058,False
uci,0,2026,S1,LR,0.7533837201722947,0.6875,0.7213114754098361,0.8591549295774648,0.08507401907858206,0.10410221249127012,False
uci,0,2026,S1,DT,0.7090442716767007,0.7183098591549296,0.8360655737704918,0.8591549295774648,0.12364472011267291,0.12459853775916843,False
uci,0,2026,S1,RF,0.7336720067078348,0.7,0.6885245901639344,0.8732394366197183,0.04765798170465588,0.09181302444252441,False
uci,0,2026,S1,SVM,0.737271113973072,0.625,0.5737704918032787,0.852112676056338,0.07746713850624806,0.09528083128852106,False
uci,0,2026,S1,MLP,0.737044421064772,0.6504065040650406,0.6557377049180327,0.8485915492957746,0.1331275409505482,0.1317592016697004,False
uci,0,2026,S2,LR,0.8654819595020669,0.78125,0.819672131147541,0.9014084507042254,0.05508332697308936,0.07720618011253594,False
uci,0,2026,S2,DT,0.8272666506463623,0.7361111111111112,0.8688524590163934,0.8661971830985915,0.08993917531428322,0.08846535714919102,False
uci,0,2026,S2,RF,0.8776393487617538,0.75,0.7377049180327869,0.8943661971830986,0.05939896274739026,0.06791037843279628,False
