dataset,stage,fold,seed,strategy,g_temporal_mean,tabular_mass,cnn_mass,bilstm_mass,tabular_norm,temporal_norm,temporal_available_rate,outer_test_used
uci,S0,0,42,L1_control,0.0,1.0,0.0,0.0,11.300023078918457,0.0,0.0,False
uci,S1,0,42,L1_control,0.9540233016014099,0.04597674682736397,0.21323060989379883,0.7407925724983215,15.769323348999023,3.8430397510528564,1.0,False
uci,S2,0,42,L1_control,0.9572738409042358,0.042726147919893265,0.22014623880386353,0.7371276021003723,15.592705726623535,4.349061012268066,1.0,False
oulad,20pct,0,42,L1_control,0.6812621355056763,0.31873780488967896,0.2060610055923462,0.47520115971565247,15.653827667236328,5.4152679443359375,1.0,False
oulad,35pct,0,42,L1_control,0.7252273559570312,0.27477267384529114,0.2267238199710846,0.49850353598594666,15.8180513381958,5.663634300231934,1.0,False
oulad,50pct,0,42,L1_control,0.7694249153137207,0.23057511448860168,0.23421238362789154,0.535212516784668,15.979519844055176,6.172093868255615,1.0,False
oulad,75pct,0,42,L1_control,0.8092478513717651,0.19075214862823486,0.23798459768295288,0.5712631940841675,16.113506317138672,6.539167404174805,1.0,False
oulad,100pct,0,42,L1_control,0.8455256223678589,0.1544743925333023,0.20844990015029907,0.637075662612915,16.164039611816406,6.680540084838867,1.0,False
uci,S0,0,42,L2_stagenorm,0.0,1.0,0.0,0.0,11.300023078918457,0.0,0.0,False
uci,S1,0,42,L2_stagenorm,0.9540233016014099,0.04597674682736397,0.21323060989379883,0.7407925724983215,15.769323348999023,3.8430397510528564,1.0,False
uci,S2,0,42,L2_stagenorm,0.9572738409042358,0.042726147919893265,0.22014623880386353,0.7371276021003723,15.592705726623535,4.349061012268066,1.0,False
oulad,20pct,0,42,L2_stagenorm,0.6812621355056763,0.31873780488967896,0.2060610055923462,0.47520115971565247,15.653827667236328,5.4152679443359375,1.0,False
oulad,35pct,0,42,L2_stagenorm,0.7252273559570312,0.27477267384529114,0.2267238199710846,0.49850353598594666,15.8180513381958,5.663634300231934,1.0,False
oulad,50pct,0,42,L2_stagenorm,0.7694249153137207,0.23057511448860168,0.23421238362789154,0.535212516784668,15.979519844055176,6.172093868255615,1.0,False
oulad,75pct,0,42,L2_stagenorm,0.8092478513717651,0.19075214862823486,0.23798459768295288,0.5712631940841675,16.113506317138672,6.539167404174805,1.0,False
oulad,100pct,0,42,L2_stagenorm,0.8455256223678589,0.1544743925333023,0.20844990015029907,0.637075662612915,16.164039611816406,6.680540084838867,1.0,False
uci,S0,0,42,L3_C1,0.0,1.0,0.0,0.0,11.310531616210938,0.0,0.0,False
uci,S1,0,42,L3_C1,0.717849850654602,0.2821500897407532,0.36949747800827026,0.3483524024486542,15.289178848266602,3.8807785511016846,1.0,False
uci,S2,0,42,L3_C1,0.7005839943885803,0.29941603541374207,0.3835018277168274,0.31708210706710815,15.006498336791992,4.026296138763428,1.0,False
oulad,20pct,0,42,L3_C1,0.6821873188018799,0.31781265139579773,0.23736949265003204,0.44481784105300903,15.037477493286133,6.269292831420898,1.0,False
oulad,35pct,0,42,L3_C1,0.7060250043869019,0.29397499561309814,0.23402124643325806,0.4720037877559662,15.27934455871582,6.50054931640625,1.0,False
oulad,50pct,0,42,L3_C1,0.7266132831573486,0.27338677644729614,0.2332392930984497,0.49337393045425415,15.552204132080078,6.895237922668457,1.0,False
oulad,75pct,0,42,L3_C1,0.7585523724555969,0.24144764244556427,0.23901158571243286,0.5195407867431641,15.907636642456055,7.2361369132995605,1.0,False
oulad,100pct,0,42,L3_C1,0.7926355004310608,0.2073645293712616,0.2317144274711609,0.5609210729598999,16.195878982543945,7.27493953704834,1.0,False
uci,S0,0,42,L3_C2,0.0,1.0,0.0,0.0,11.305227279663086,0.0,0.0,False
uci,S1,0,42,L3_C2,0.9518657922744751,0.04813416674733162,0.24914641678333282,0.7027193903923035,15.710383415222168,4.027173042297363,1.0,False
uci,S2,0,42,L3_C2,0.9585508704185486,0.04144911840558052,0.2083934098482132,0.7501574754714966,15.345678329467773,4.619380474090576,1.0,False
oulad,20pct,0,42,L3_C2,0.6064049005508423,0.3935951292514801,0.15929383039474487,0.4471110701560974,15.936610221862793,5.499552249908447,1.0,False
oulad,35pct,0,42,L3_C2,0.5706689357757568,0.42933109402656555,0.15213382244110107,0.41853511333465576,16.225370407104492,5.92944860458374,1.0,False
oulad,50pct,0,42,L3_C2,0.5534608364105225,0.4465391933917999,0.15406574308872223,0.39939507842063904,16.519031524658203,6.243067741394043,1.0,False
oulad,75pct,0,42,L3_C2,0.5508831739425659,0.4491168260574341,0.1593063473701477,0.3915768265724182,16.647077560424805,6.486934185028076,1.0,False
oulad,100pct,0,42,L3_C2,0.5664538145065308,0.433546245098114,0.15586397051811218,0.4105898141860962,16.53097152709961,6.77840518951416,1.0,False
uci,S0,0,42,L4_hard,0.0,1.0,0.0,0.0,11.299975395202637,0.0,0.0,False
uci,S1,0,42,L4_hard,0.9535296559333801,0.04647031053900719,0.21451890468597412,0.739010751247406,15.765070915222168,3.841165781021118,1.0,False
uci,S2,0,42,L4_hard,0.9570557475090027,0.04294417053461075,0.2209325134754181,0.736123263835907,15.591885566711426,4.344391822814941,1.0,False
oulad,20pct,0,42,L4_hard,0.6975678205490112,0.302432119846344,0.19060668349266052,0.5069611668586731,15.4466552734375,5.331399917602539,1.0,False
oulad,35pct,0,42,L4_hard,0.747631311416626,0.252368688583374,0.21126319468021393,0.5363681316375732,15.622941970825195,5.541229724884033,1.0,False
oulad,50pct,0,42,L4_hard,0.7890846729278564,0.21091532707214355,0.21907161176204681,0.5700130462646484,15.828256607055664,5.978072166442871,1.0,False
oulad,75pct,0,42,L4_hard,0.822910726070404,0.17708924412727356,0.23149582743644714,0.5914149284362793,16.03304672241211,6.3040008544921875,1.0,False
oulad,100pct,0,42,L4_hard,0.8570876121520996,0.142912358045578,0.21162451803684235,0.6454631090164185,16.16733169555664,6.490281105041504,1.0,False
uci,S0,0,42,L5_trunc,0.0,1.0,0.0,0.0,11.300383567810059,0.0,0.0,False
uci,S1,0,42,L5_trunc,0.9547623991966248,0.04523753374814987,0.21604086458683014,0.7387216091156006,15.719700813293457,3.7149837017059326,1.0,False
uci,S2,0,42,L5_trunc,0.9556015133857727,0.04439841955900192,0.21563787758350372,0.7399636507034302,15.545007705688477,4.153670787811279,1.0,False
oulad,20pct,0,42,L5_trunc,0.6918632388114929,0.3081367611885071,0.20427295565605164,0.4875902533531189,15.408912658691406,5.462884902954102,1.0,False
oulad,35pct,0,42,L5_trunc,0.7294333577156067,0.2705666422843933,0.23131082952022552,0.49812257289886475,15.557901382446289,5.7333984375,1.0,False
oulad,50pct,0,42,L5_trunc,0.7612727880477905,0.23872721195220947,0.242190420627594,0.5190823078155518,15.761270523071289,6.362500190734863,1.0,False
oulad,75pct,0,42,L5_trunc,0.7864699363708496,0.2135300636291504,0.2575470805168152,0.5289227962493896,15.97659969329834,6.686979293823242,1.0,False
oulad,100pct,0,42,L5_trunc,0.8213725686073303,0.1786274015903473,0.23893964290618896,0.5824329853057861,16.105634689331055,6.926866054534912,1.0,False
uci,S0,0,42,L6_rank05,0.0,1.0,0.0,0.0,11.299704551696777,0.0,0.0,False
uci,S1,0,42,L6_rank05,0.9501734972000122,0.04982658103108406,0.2564774751663208,0.6936959028244019,15.757416725158691,4.041245937347412,1.0,False
uci,S2,0,42,L6_rank05,0.9594066739082336,0.04059327021241188,0.23632876574993134,0.7230779528617859,15.598759651184082,4.646187782287598,1.0,False
oulad,20pct,0,42,L6_rank05,0.6923443078994751,0.3076556921005249,0.2031370848417282,0.4892072081565857,15.60226058959961,5.315573692321777,1.0,False
oulad,35pct,0,42,L6_rank05,0.739325761795044,0.26067420840263367,0.2176274210214615,0.5216983556747437,15.727231979370117,5.546931266784668,1.0,False
oulad,50pct,0,42,L6_rank05,0.7807780504226685,0.21922194957733154,0.2077631950378418,0.5730148553848267,15.914209365844727,6.006775856018066,1.0,False
oulad,75pct,0,42,L6_rank05,0.8187415599822998,0.1812584549188614,0.19916054606437683,0.6195809841156006,16.069297790527344,6.34669828414917,1.0,False
oulad,100pct,0,42,L6_rank05,0.861700177192688,0.1382998526096344,0.15637686848640442,0.7053232789039612,16.1776123046875,6.498485565185547,1.0,False
uci,S0,0,42,L1_control,0.0,1.0,0.0,0.0,11.300023078918457,0.0,0.0,False
uci,S1,0,42,L1_control,0.9540233016014099,0.04597674682736397,0.21323060989379883,0.7407925724983215,15.769323348999023,3.8430397510528564,1.0,False
uci,S2,0,42,L1_control,0.9572738409042358,0.042726147919893265,0.22014623880386353,0.7371276021003723,15.592705726623535,4.349061012268066,1.0,False
uci,S0,1,42,L1_control,0.0,1.0,0.0,0.0,11.308566093444824,0.0,0.0,False
uci,S1,1,42,L1_control,0.9528712034225464,0.04712876304984093,0.26671844720840454,0.6861528158187866,15.602957725524902,3.578843832015991,1.0,False
uci,S2,1,42,L1_control,0.952443540096283,0.047556471079587936,0.2515735626220703,0.7008699774742126,15.319604873657227,3.9301207065582275,1.0,False
uci,S0,2,42,L1_control,0.0,1.0,0.0,0.0,11.308953285217285,0.0,0.0,False
uci,S1,2,42,L1_control,0.9003942012786865,0.09960586577653885,0.3215525448322296,0.5788416266441345,15.506957054138184,3.8698489665985107,1.0,False
uci,S2,2,42,L1_control,0.8912284970283508,0.1087714433670044,0.299371600151062,0.5918569564819336,15.178099632263184,4.194027900695801,1.0,False
oulad,20pct,0,42,L1_control,0.6812621355056763,0.31873780488967896,0.2060610055923462,0.47520115971565247,15.653827667236328,5.4152679443359375,1.0,False
oulad,35pct,0,42,L1_control,0.7252273559570312,0.27477267384529114,0.2267238199710846,0.49850353598594666,15.8180513381958,5.663634300231934,1.0,False
oulad,50pct,0,42,L1_control,0.7694249153137207,0.23057511448860168,0.23421238362789154,0.535212516784668,15.979519844055176,6.172093868255615,1.0,False
oulad,75pct,0,42,L1_control,0.8092478513717651,0.19075214862823486,0.23798459768295288,0.5712631940841675,16.113506317138672,6.539167404174805,1.0,False
oulad,100pct,0,42,L1_control,0.8455256223678589,0.1544743925333023,0.20844990015029907,0.637075662612915,16.164039611816406,6.680540084838867,1.0,False
oulad,20pct,1,42,L1_control,0.6849106550216675,0.3150893449783325,0.2585136890411377,0.4263969957828522,15.552743911743164,5.561550617218018,1.0,False
