strategy,dataset,stage,pr_auc,risk_f1,curriculum,stage_norm,hard_stage_weights,trunc_p,lambda_rank,outer_test_used
L1_control,uci,S0,0.46026277790961,0.42045454545454547,C3,False,False,0.0,0.0,False
L1_control,uci,S1,0.7884407533288148,0.6785714285714286,C3,False,False,0.0,0.0,False
L1_control,uci,S2,0.882250422075267,0.7737226277372263,C3,False,False,0.0,0.0,False
L1_control,oulad,20pct,0.769363971824261,0.6839137645107795,C3,False,False,0.0,0.0,False
L1_control,oulad,35pct,0.811859663235281,0.7037747920665387,C3,False,False,0.0,0.0,False
L1_control,oulad,50pct,0.8582714173152637,0.7418382722250125,C3,False,False,0.0,0.0,False
L1_control,oulad,75pct,0.8977389910434493,0.798125,C3,False,False,0.0,0.0,False
L1_control,oulad,100pct,0.9293325479529141,0.8516839378238342,C3,False,False,0.0,0.0,False
L2_stagenorm,uci,S0,0.46026277790961,0.42045454545454547,C3,True,False,0.0,0.0,False
L2_stagenorm,uci,S1,0.7884407533288148,0.6785714285714286,C3,True,False,0.0,0.0,False
L2_stagenorm,uci,S2,0.882250422075267,0.7737226277372263,C3,True,False,0.0,0.0,False
L2_stagenorm,oulad,20pct,0.769363971824261,0.6839137645107795,C3,True,False,0.0,0.0,False
L2_stagenorm,oulad,35pct,0.811859663235281,0.7037747920665387,C3,True,False,0.0,0.0,False
L2_stagenorm,oulad,50pct,0.8582714173152637,0.7418382722250125,C3,True,False,0.0,0.0,False
L2_stagenorm,oulad,75pct,0.8977389910434493,0.798125,C3,True,False,0.0,0.0,False
L2_stagenorm,oulad,100pct,0.9293325479529141,0.8516839378238342,C3,True,False,0.0,0.0,False
L3_C1,uci,S0,0.37575159454597734,0.3829787234042553,C1,False,False,0.0,0.0,False
L3_C1,uci,S1,0.37626844844948737,0.38571428571428573,C1,False,False,0.0,0.0,False
L3_C1,uci,S2,0.21905393338580123,0.3392857142857143,C1,False,False,0.0,0.0,False
L3_C1,oulad,20pct,0.7709426788430661,0.6899533114300536,C1,False,False,0.0,0.0,False
L3_C1,oulad,35pct,0.8134535092853794,0.7045781153767193,C1,False,False,0.0,0.0,False
L3_C1,oulad,50pct,0.8583475783360266,0.743188698284561,C1,False,False,0.0,0.0,False
L3_C1,oulad,75pct,0.8951612190841964,0.7949526813880127,C1,False,False,0.0,0.0,False
L3_C1,oulad,100pct,0.921213623069854,0.8376928236083165,C1,False,False,0.0,0.0,False
L3_C2,uci,S0,0.3114874340574188,0.39819004524886875,C2,False,False,0.0,0.0,False
L3_C2,uci,S1,0.770205315513586,0.6782608695652174,C2,False,False,0.0,0.0,False
L3_C2,uci,S2,0.8840919289265603,0.7727272727272727,C2,False,False,0.0,0.0,False
L3_C2,oulad,20pct,0.6738669324266023,0.6275968992248062,C2,False,False,0.0,0.0,False
L3_C2,oulad,35pct,0.7707378473208282,0.663764100534336,C2,False,False,0.0,0.0,False
L3_C2,oulad,50pct,0.8314089086706651,0.7177304964539007,C2,False,False,0.0,0.0,False
L3_C2,oulad,75pct,0.8759829502338606,0.7731352522438873,C2,False,False,0.0,0.0,False
L3_C2,oulad,100pct,0.902918018908528,0.8097244732576986,C2,False,False,0.0,0.0,False
L4_hard,uci,S0,0.4604854272471905,0.42045454545454547,C3,False,True,0.0,0.0,False
L4_hard,uci,S1,0.7884407533288147,0.6785714285714286,C3,False,True,0.0,0.0,False
L4_hard,uci,S2,0.8826586368735275,0.7737226277372263,C3,False,True,0.0,0.0,False
L4_hard,oulad,20pct,0.7695408584598851,0.6858865649142641,C3,False,True,0.0,0.0,False
L4_hard,oulad,35pct,0.810172055288066,0.6991168617785993,C3,False,True,0.0,0.0,False
L4_hard,oulad,50pct,0.8579931562460765,0.7449856733524355,C3,False,True,0.0,0.0,False
L4_hard,oulad,75pct,0.896661116225336,0.7928549044186776,C3,False,True,0.0,0.0,False
L4_hard,oulad,100pct,0.9281528485653094,0.8423101881894873,C3,False,True,0.0,0.0,False
L5_trunc,uci,S0,0.45752779783823805,0.42528735632183906,C3,False,False,0.3,0.0,False
L5_trunc,uci,S1,0.7839028324889397,0.688,C3,False,False,0.3,0.0,False
L5_trunc,uci,S2,0.8780953059274594,0.7575757575757576,C3,False,False,0.3,0.0,False
L5_trunc,oulad,20pct,0.7712083184956001,0.6908771929824561,C3,False,False,0.3,0.0,False
L5_trunc,oulad,35pct,0.8099692705831565,0.6996421805935592,C3,False,False,0.3,0.0,False
L5_trunc,oulad,50pct,0.8584274999109878,0.7449241540256709,C3,False,False,0.3,0.0,False
L5_trunc,oulad,75pct,0.8986564889492455,0.7983642654922932,C3,False,False,0.3,0.0,False
L5_trunc,oulad,100pct,0.9277991110375234,0.848786972416085,C3,False,False,0.3,0.0,False
L6_rank05,uci,S0,0.4562841036196853,0.4263959390862944,C3,False,False,0.0,0.05,False
L6_rank05,uci,S1,0.7890442950549245,0.7086614173228346,C3,False,False,0.0,0.05,False
L6_rank05,uci,S2,0.8867443217595333,0.7906976744186046,C3,False,False,0.0,0.05,False
L6_rank05,oulad,20pct,0.7670999749060613,0.6795768917819366,C3,False,False,0.0,0.05,False
L6_rank05,oulad,35pct,0.8114439971714418,0.7043734230445753,C3,False,False,0.0,0.05,False
L6_rank05,oulad,50pct,0.8577131717728935,0.7446913580246913,C3,False,False,0.0,0.05,False
L6_rank05,oulad,75pct,0.8971088773565906,0.7922761849034523,C3,False,False,0.0,0.05,False
L6_rank05,oulad,100pct,0.929521510644314,0.8503578399479506,C3,False,False,0.0,0.05,False
