candidate_id,outer_fold,seed,parameter_count
V3-P0,0,42,197825.0
V3-P0,0,2026,197825.0
V3-P0,0,3407,197825.0
V3-P0,1,42,111594.0
V3-P0,1,2026,111594.0
V3-P0,1,3407,111594.0
V3-P0,2,42,83202.0
V3-P0,2,2026,83202.0
V3-P0,2,3407,83202.0
V3-D0,0,42,200801.0
V3-D0,0,2026,200801.0
V3-D0,0,3407,200801.0
V3-D0,1,42,113826.0
V3-D0,1,2026,113826.0
V3-D0,1,3407,113826.0
V3-D0,2,42,88162.0
V3-D0,2,2026,88162.0
V3-D0,2,3407,88162.0
V3-A1,0,42,35329.0
V3-A1,0,2026,35329.0
V3-A1,0,3407,35329.0
V3-A1,1,42,67905.0
V3-A1,1,2026,67905.0
V3-A1,1,3407,67905.0
V3-A1,2,42,67905.0
V3-A1,2,2026,67905.0
V3-A1,2,3407,67905.0
V3-MLD,0,42,454.0
V3-MLD,1,42,454.0
V3-MLD,2,42,
