candidate_id,seed,code_module,records,positive,negative,eligible,macro_f1,at_risk_recall
V2-A0,42,AAA,332,54,278,True,0.7486118122160526,0.5185185185185185
V2-A0,42,BBB,4205,1605,2600,True,0.8230274138462191,0.7003115264797508
V2-A0,42,CCC,1133,499,634,True,0.835860536990535,0.751503006012024
V2-A0,42,DDD,2943,1369,1574,True,0.8181206985345756,0.7567567567567568
V2-A0,42,EEE,1173,401,772,True,0.8445080728545296,0.7506234413965087
V2-A0,42,FFF,3956,1582,2374,True,0.8387611939045472,0.7635903919089759
V2-A0,42,GGG,1636,608,1028,True,0.7961244113232935,0.6776315789473685
V2-A0,2026,AAA,332,54,278,True,0.7602614776527821,0.5
V2-A0,2026,BBB,4205,1605,2600,True,0.821569248918639,0.712772585669782
V2-A0,2026,CCC,1133,499,634,True,0.843619780551183,0.7875751503006012
V2-A0,2026,DDD,2943,1369,1574,True,0.8214917829650487,0.7983929875821768
V2-A0,2026,EEE,1173,401,772,True,0.8533542413702602,0.7630922693266833
V2-A0,2026,FFF,3956,1582,2374,True,0.839922027873177,0.7781289506953224
V2-A0,2026,GGG,1636,608,1028,True,0.7952632514462699,0.6381578947368421
V2-A0,3407,AAA,332,54,278,True,0.7397536394176931,0.48148148148148145
V2-A0,3407,BBB,4205,1605,2600,True,0.8201047146463705,0.7015576323987539
V2-A0,3407,CCC,1133,499,634,True,0.8412942989214176,0.7935871743486974
V2-A0,3407,DDD,2943,1369,1574,True,0.8178778795515643,0.7677136596055515
V2-A0,3407,EEE,1173,401,772,True,0.8440639983882328,0.7556109725685786
V2-A0,3407,FFF,3956,1582,2374,True,0.8315198907473758,0.7699115044247787
V2-A0,3407,GGG,1636,608,1028,True,0.793477803492531,0.6332236842105263
V2-H2F,42,AAA,332,54,278,True,0.7389147661968423,0.6481481481481481
V2-H2F,42,BBB,4205,1605,2600,True,0.8074816939347009,0.7551401869158878
V2-H2F,42,CCC,1133,499,634,True,0.8223674828979058,0.8156312625250501
V2-H2F,42,DDD,2943,1369,1574,True,0.7913115000979345,0.8327246165084002
V2-H2F,42,EEE,1173,401,772,True,0.8598127649887602,0.8029925187032418
V2-H2F,42,FFF,3956,1582,2374,True,0.8295406361918578,0.8166877370417194
V2-H2F,42,GGG,1636,608,1028,True,0.7901546234250485,0.694078947368421
V2-H2T,42,AAA,332,54,278,True,0.7137931034482758,0.3888888888888889
V2-H2T,42,BBB,4205,1605,2600,True,0.8212146619894708,0.7009345794392523
V2-H2T,42,CCC,1133,499,634,True,0.8291101055806938,0.7535070140280561
V2-H2T,42,DDD,2943,1369,1574,True,0.8107836073206149,0.7633308984660336
V2-H2T,42,EEE,1173,401,772,True,0.8594332298136647,0.7406483790523691
V2-H2T,42,FFF,3956,1582,2374,True,0.834757987761398,0.7553729456384324
V2-H2T,42,GGG,1636,608,1028,True,0.7922318633642704,0.618421052631579
V2-H2T,2026,AAA,332,54,278,True,0.7420665750313751,0.4444444444444444
V2-H2T,2026,BBB,4205,1605,2600,True,0.8224462369699095,0.6990654205607477
V2-H2T,2026,CCC,1133,499,634,True,0.825474150380283,0.749498997995992
V2-H2T,2026,DDD,2943,1369,1574,True,0.8105279672007698,0.7859751643535428
V2-H2T,2026,EEE,1173,401,772,True,0.8609330659502819,0.7481296758104738
V2-H2T,2026,FFF,3956,1582,2374,True,0.8391327155097046,0.7616940581542352
V2-H2T,2026,GGG,1636,608,1028,True,0.7968583787022091,0.631578947368421
V2-H2T,3407,AAA,332,54,278,True,0.7504013004165397,0.4444444444444444
V2-H2T,3407,BBB,4205,1605,2600,True,0.8143316482194731,0.6847352024922119
V2-H2T,3407,CCC,1133,499,634,True,0.8288476094160449,0.7835671342685371
V2-H2T,3407,DDD,2943,1369,1574,True,0.8089073540751932,0.7662527392257122
V2-H2T,3407,EEE,1173,401,772,True,0.8488735919899875,0.7406483790523691
V2-H2T,3407,FFF,3956,1582,2374,True,0.8345551401042137,0.7711757269279393
