candidate_order,case_id,action_id,expert_id,relevance_score,approval_status,missing_action,safety_concern,escalation_required,reason_support,comment
1,case_a034a81856adfe5ba3faf2f5,STUDY_SCHEDULE,expert_01,,,,,,,
2,case_a034a81856adfe5ba3faf2f5,LEARNING_CONSOLIDATION,expert_01,,,,,,,
3,case_a034a81856adfe5ba3faf2f5,ASSESSMENT_COMPLETION,expert_01,,,,,,,
4,case_a034a81856adfe5ba3faf2f5,PROGRESS_MONITORING,expert_01,,,,,,,
5,case_a034a81856adfe5ba3faf2f5,VLE_ENGAGEMENT,expert_01,,,,,,,
6,case_a034a81856adfe5ba3faf2f5,INSTRUCTOR_CONTACT,expert_01,,,,,,,
7,case_a034a81856adfe5ba3faf2f5,RETRIEVAL_PRACTICE,expert_01,,,,,,,
8,case_a034a81856adfe5ba3faf2f5,ADVISOR_ESCALATION,expert_01,,,,,,,
9,case_a034a81856adfe5ba3faf2f5,DIAGNOSTIC_CHECK,expert_01,,,,,,,
1,case_fc73e0845a1888229e543ad1,RETRIEVAL_PRACTICE,expert_01,,,,,,,
2,case_fc73e0845a1888229e543ad1,VLE_ENGAGEMENT,expert_01,,,,,,,
3,case_fc73e0845a1888229e543ad1,ASSESSMENT_COMPLETION,expert_01,,,,,,,
4,case_fc73e0845a1888229e543ad1,ADVISOR_ESCALATION,expert_01,,,,,,,
5,case_fc73e0845a1888229e543ad1,INSTRUCTOR_CONTACT,expert_01,,,,,,,
6,case_fc73e0845a1888229e543ad1,LEARNING_CONSOLIDATION,expert_01,,,,,,,
7,case_fc73e0845a1888229e543ad1,STUDY_SCHEDULE,expert_01,,,,,,,
8,case_fc73e0845a1888229e543ad1,PROGRESS_MONITORING,expert_01,,,,,,,
9,case_fc73e0845a1888229e543ad1,DIAGNOSTIC_CHECK,expert_01,,,,,,,
1,case_65cd0aa4a0316bb3e03611c2,LEARNING_CONSOLIDATION,expert_01,,,,,,,
2,case_65cd0aa4a0316bb3e03611c2,VLE_ENGAGEMENT,expert_01,,,,,,,
3,case_65cd0aa4a0316bb3e03611c2,PROGRESS_MONITORING,expert_01,,,,,,,
4,case_65cd0aa4a0316bb3e03611c2,DIAGNOSTIC_CHECK,expert_01,,,,,,,
5,case_65cd0aa4a0316bb3e03611c2,ADVISOR_ESCALATION,expert_01,,,,,,,
6,case_65cd0aa4a0316bb3e03611c2,RETRIEVAL_PRACTICE,expert_01,,,,,,,
7,case_65cd0aa4a0316bb3e03611c2,INSTRUCTOR_CONTACT,expert_01,,,,,,,
