case_id,expert_id,plan_score,overall_status,missing_actions,safety_concerns,review_comment
case_a034a81856adfe5ba3faf2f5,expert_02,,,,,
case_fc73e0845a1888229e543ad1,expert_02,,,,,
case_65cd0aa4a0316bb3e03611c2,expert_02,,,,,
case_b91c5bdfcd5541401122be26,expert_02,,,,,
case_30d8fca8784a7ada1b61ea49,expert_02,,,,,
case_9c29eceb9ee37c75116a3051,expert_02,,,,,
case_265d0c4e5d4ef257c1af0c59,expert_02,,,,,
case_a395588435509025f4b003b5,expert_02,,,,,
case_e24ef28a7628f9684fc08724,expert_02,,,,,
case_f9a89acdb8cab78523100584,expert_02,,,,,
case_e1bcdca1a92f955f1f76a9ca,expert_02,,,,,
case_d8be8b28ad804478bb241352,expert_02,,,,,
case_6dbb503540ac6bccb24193f3,expert_02,,,,,
case_1da3cd35f8bb1e8893786d8e,expert_02,,,,,
case_00538aa58029814d3fb0cc78,expert_02,,,,,
case_836d2cddb10688d62bf1da5e,expert_02,,,,,
case_f36cc880767a86f72e009f14,expert_02,,,,,
case_f2ac2abd6706d0af026dfb9e,expert_02,,,,,
case_ca495a6511cc57b68d5c95ee,expert_02,,,,,
case_2583fe243a6d9e6593d999a3,expert_02,,,,,
case_c147fe6cf0b88786b373c731,expert_02,,,,,
case_97e3cb34883fdd11e31dc238,expert_02,,,,,
case_15ea76ffa25f2ce690ddd678,expert_02,,,,,
case_cfbc1bca3e1775a48d9d21a3,expert_02,,,,,
case_1b47c2a1f533e7e3d64a07f3,expert_02,,,,,
case_d3bfd5d33e7415aff602911f,expert_02,,,,,
case_88c2771e4fcabb6c96028749,expert_02,,,,,
case_636e8691d58175b2b30a02a2,expert_02,,,,,
case_e020b6c5df0c0405647dc44a,expert_02,,,,,
case_4bf09364f542147d77de2f62,expert_02,,,,,
case_946848be0fdecd2d1a4e5143,expert_02,,,,,
case_a8a9bebb9db0229c053b567e,expert_02,,,,,
case_1951c1f0fc1a7075848b02da,expert_02,,,,,
case_9ad0c1aab4664d174f998771,expert_02,,,,,
case_7cf3441132aff98561f01600,expert_02,,,,,
case_26c011a9d334768465f071f2,expert_02,,,,,
case_0691255a4ae3740c11568831,expert_02,,,,,
case_484c9cb1ca4a67a730b82d51,expert_02,,,,,
case_24118b756d494e4a2a117528,expert_02,,,,,
case_5d865603de0da8a210a4ac5d,expert_02,,,,,
case_4c4fac70912aea2ce371b26d,expert_02,,,,,
case_c8252a6c6487cb84fbd433e1,expert_02,,,,,
case_1d4b18546528a79c1e2c4e0d,expert_02,,,,,
case_560ede287986e05552180c19,expert_02,,,,,
case_5c0b2f98df49774640708d6a,expert_02,,,,,
case_b94f8d9a197e138e6b1d7714,expert_02,,,,,
case_c1b1d7ab66c0500c1245eee6,expert_02,,,,,
case_0e7308cc32412517bf32a48d,expert_02,,,,,
case_0e3239a7f3ce6a68605fc0f8,expert_02,,,,,
case_2ffeb7c32b03a29afcea762c,expert_02,,,,,
case_5717aef68c72999408e0cffa,expert_02,,,,,
case_bb5169e37b77cead40b87c1e,expert_02,,,,,
case_34cf6583dc726e67809cee4d,expert_02,,,,,
case_3524ff7cc7e915444d24297d,expert_02,,,,,
case_c694c4171583dc6b36a1b5b2,expert_02,,,,,
case_eca58f17ac6f406d480b2e1c,expert_02,,,,,
case_de8e9b1272825ed760065e04,expert_02,,,,,
case_ab5f8dc6d3206d819da08a13,expert_02,,,,,
case_0014039dd14a7db68f945de6,expert_02,,,,,
case_3f79c91ca3d898200e570762,expert_02,,,,,
