interactions,learning_rate,max_bins,max_rounds,min_samples_leaf,config_id,ndcg_at_3,exact_best_top1,pairwise_accuracy,query_count,elapsed_seconds
10,0.01,64,2000,2,4ad76ac8f31b,0.975151567064059,0.8066666666666666,0.8584283143371326,300,121.29469513893127
3,0.025,64,2000,10,7ec88d411b08,0.9750911590525015,0.81,0.8646706586826347,300,39.03537344932556
10,0.01,64,5000,2,74ffa19b80f2,0.9747322421200071,0.8033333333333333,0.8572285542891421,300,132.82634091377258
10,0.01,64,10000,2,6a4ab1a426d8,0.9746336749681668,0.8066666666666666,0.8572285542891421,300,139.74150705337524
3,0.05,256,5000,10,19a19331a09c,0.9745767510063248,0.8066666666666666,0.8595438175270108,300,46.560595989227295
3,0.05,256,10000,10,847f3574cae1,0.9745700683653267,0.8066666666666666,0.8589435774309724,300,51.90501308441162
10,0.01,256,2000,2,841a7cad16bc,0.9745458070429489,0.7966666666666666,0.859628074385123,300,127.71298050880432
3,0.05,128,5000,10,afafcd22d47a,0.9744236837408088,0.8033333333333333,0.859375,300,52.8174831867218
3,0.05,128,10000,10,fbb8c07d317c,0.9744236837408088,0.8033333333333333,0.859375,300,76.71072912216187
3,0.05,128,2000,10,225b57c813af,0.9743068669411908,0.8066666666666666,0.858343337334934,300,36.76695227622986
3,0.05,256,2000,10,0ef90fa6024f,0.974157399451924,0.8066666666666666,0.8589435774309724,300,38.018919229507446
3,0.025,256,5000,2,02535c1d3e0d,0.974132639653396,0.7933333333333333,0.8620275944811038,300,80.62583661079407
3,0.025,256,10000,2,f640cef28c54,0.974132639653396,0.7933333333333333,0.8620275944811038,300,95.94141960144043
3,0.025,256,2000,2,af631a1c0bd8,0.974132639653396,0.7933333333333333,0.8614277144571085,300,53.117035150527954
5,0.025,64,10000,5,fdae56489cb5,0.9741199282560505,0.81,0.862627474505099,300,106.78864216804504
3,0.01,64,2000,5,53d5bd4bdb15,0.9741114044446357,0.8,0.8667466986794717,300,61.404271602630615
5,0.01,64,2000,5,77844ef4357b,0.9740418334386961,0.8066666666666666,0.8609112709832134,300,79.69961643218994
3,0.025,256,2000,10,2c2ae988ccd8,0.9740326554418963,0.81,0.858682634730539,300,46.238306760787964
5,0.01,64,2000,2,8c075e87fe80,0.9739698599857313,0.8,0.8572285542891421,300,81.76244568824768
5,0.025,64,2000,5,179be4888242,0.9739247412825414,0.8066666666666666,0.862627474505099,300,65.2208981513977
5,0.025,64,5000,5,d5382bc5f934,0.9738577391104525,0.8066666666666666,0.8608278344331134,300,98.16781711578369
5,0.01,256,2000,10,10e273d40eb7,0.9738351344528032,0.7966666666666666,0.859796285200719,300,81.08022952079773
10,0.01,64,2000,5,657de5b538a3,0.9737702352026323,0.8,0.8573141486810552,300,121.38440084457397
5,0.025,256,2000,5,134f868bffa7,0.9736837552531443,0.8133333333333334,0.8578284343131374,300,68.19016766548157
5,0.01,64,10000,2,1d9515455b9d,0.9736489930150083,0.7966666666666666,0.856628674265147,300,150.8779592514038
5,0.025,256,5000,5,3b6b946f3576,0.9736274485833694,0.8133333333333334,0.8578284343131374,300,97.5135064125061
5,0.025,256,10000,5,7d89fef9dbe8,0.9736274485833694,0.8133333333333334,0.8578284343131374,300,128.55462074279785
10,0.01,64,5000,5,00e4031cb8e9,0.9735485745501368,0.79,0.8565426170468188,300,137.83636713027954
5,0.025,128,2000,10,52d078a74e8e,0.9735052102058508,0.8133333333333334,0.8562013181545836,300,70.697514295578
5,0.025,128,5000,10,2b085fec01f4,0.9735052102058508,0.8133333333333334,0.8562013181545836,300,73.85649275779724
5,0.025,128,10000,10,bff430378cdf,0.9735052102058508,0.8133333333333334,0.8562013181545836,300,73.66152954101562
5,0.01,64,5000,2,2958408cf01c,0.9735008873937958,0.7966666666666666,0.8560287942411517,300,114.5523636341095
5,0.01,256,5000,5,994622543404,0.9734868400723735,0.8066666666666666,0.8607442977190877,300,142.57642126083374
5,0.01,256,10000,5,4c8e51eebbb2,0.9734868400723735,0.8066666666666666,0.8607442977190877,300,183.63943886756897
5,0.01,64,5000,5,8970fa9e507c,0.973457338121824,0.7966666666666666,0.859628074385123,300,118.86260747909546
5,0.01,64,10000,5,2a2df3ea12ff,0.973457338121824,0.7966666666666666,0.859628074385123,300,144.58130526542664
10,0.01,64,2000,20,91e3e5f63833,0.973443536126318,0.8133333333333334,0.8567146282973621,300,126.42025351524353
10,0.01,64,5000,20,595a7465dbf5,0.9734385869464965,0.8133333333333334,0.8561151079136691,300,190.59869694709778
10,0.01,64,10000,20,71492af6f6a1,0.9734385869464965,0.8133333333333334,0.8561151079136691,300,231.37194776535034
3,0.025,64,10000,10,ffea15c816a3,0.9733927870922525,0.81,0.8634730538922155,300,63.36080026626587
10,0.05,256,2000,20,c51999bc948c,0.9733783277015257,0.8066666666666666,0.856628674265147,300,78.20046949386597
10,0.05,256,5000,20,5c3064ee311d,0.9733783277015257,0.8066666666666666,0.856628674265147,300,100.63964819908142
10,0.05,256,10000,20,60745c2c7543,0.9733783277015257,0.8066666666666666,0.856628674265147,300,99.87345886230469
3,0.025,64,5000,10,15210e98c2dc,0.9733688640670067,0.81,0.8646706586826347,300,58.90305757522583
10,0.01,64,10000,5,f2eb6d37a1b6,0.9733534994671239,0.79,0.8553421368547419,300,172.48817467689514
5,0.01,64,10000,10,220bbd0b1b02,0.9733149804399007,0.7966666666666666,0.8603117505995204,300,168.97826313972473
5,0.01,64,2000,10,3d3e9f5abaf0,0.9733137596943426,0.7966666666666666,0.8603117505995204,300,75.72354888916016
10,0.025,64,10000,10,7d2bf93fd980,0.9731958363553199,0.8166666666666667,0.8627098321342925,300,93.44477438926697
5,0.01,64,5000,10,4a73e8aaf9e0,0.9731849592425145,0.7966666666666666,0.8603117505995204,300,124.49365210533142
10,0.01,256,10000,2,9198c051e3ad,0.973183527408219,0.7966666666666666,0.8578284343131374,300,172.8315668106079
5,0.025,64,2000,20,33606d74b691,0.9731564601714634,0.8133333333333334,0.8573141486810552,300,58.89272403717041
5,0.05,256,2000,10,c9ddb9b515a8,0.9730972967208167,0.81,0.8573996405032954,300,49.049336433410645
5,0.05,256,5000,10,9503533a0597,0.9730972967208167,0.81,0.8573996405032954,300,56.37850379943848
5,0.05,256,10000,10,4757c471ad20,0.9730972967208167,0.81,0.8573996405032954,300,58.23306751251221
5,0.025,64,5000,20,028f2cae3c68,0.9730948090991768,0.8133333333333334,0.8567146282973621,300,76.58940482139587
5,0.025,128,5000,5,f0136fe7fe3a,0.9730945837008882,0.8033333333333333,0.8530293941211757,300,105.54957008361816
5,0.025,128,10000,5,3292bac7ebfd,0.9730945837008882,0.8033333333333333,0.8530293941211757,300,126.75207924842834
5,0.025,64,10000,20,97fd34c7b7a1,0.9730890480723399,0.8133333333333334,0.8561151079136691,300,77.4424319267273
10,0.01,256,5000,2,18a51d0bcfc1,0.9730841978805256,0.7966666666666666,0.8572285542891421,300,181.52222847938538
10,0.025,64,5000,10,eb792d385e2f,0.9730477307341077,0.8166666666666667,0.8621103117505995,300,90.91077160835266
3,0.05,128,5000,5,c905cfc56099,0.9730069184419708,0.7966666666666666,0.8563701923076923,300,58.88788104057312
3,0.05,128,10000,5,62db5b960d51,0.9730069184419708,0.7966666666666666,0.8563701923076923,300,79.8237624168396
3,0.01,64,5000,5,a9b7b7ca93f1,0.972983164841766,0.8033333333333333,0.865546218487395,300,92.48852849006653
5,0.01,256,10000,10,3ac9dff61109,0.9729543764350204,0.8,0.8591971240263631,300,144.7445068359375
3,0.05,64,2000,10,d827358e3738,0.9729326624498017,0.8233333333333334,0.8627920910724985,300,34.14743232727051
3,0.01,64,10000,5,968ec7eb350b,0.9729310954925584,0.8033333333333333,0.8649459783913566,300,121.3600800037384
3,0.05,64,5000,10,bdd02cf772a2,0.9729193445321145,0.82,0.8609946075494308,300,44.7647864818573
3,0.05,64,10000,10,b35e81864db4,0.9729193445321145,0.82,0.8609946075494308,300,48.21383595466614
5,0.01,256,10000,20,9b579e75cf37,0.9729149758956995,0.7966666666666666,0.859628074385123,300,150.9906792640686
3,0.025,64,5000,2,1933bd280025,0.9728752921515235,0.8033333333333333,0.8650269946010798,300,69.69033312797546
3,0.025,64,10000,2,1c5a54683c5e,0.9728752921515235,0.8033333333333333,0.8650269946010798,300,82.96077418327332
10,0.01,128,5000,20,52d2f68a5d4e,0.9728620634097984,0.8066666666666666,0.853629274145171,300,172.40788221359253
10,0.01,128,10000,20,13d17a21e455,0.9728620634097984,0.8066666666666666,0.853629274145171,300,171.15482306480408
10,0.01,128,2000,2,c4b9010260a7,0.9728545440736106,0.8,0.8554289142171566,300,154.2397894859314
5,0.01,256,5000,10,9e343d9101b9,0.9728393955200166,0.8,0.8585979628520072,300,115.25551271438599
10,0.025,64,2000,10,3c8eca8e0d04,0.972837873197479,0.8166666666666667,0.8621103117505995,300,95.84723901748657
5,0.025,128,2000,5,5a1a24bdbaf8,0.972816142672304,0.8033333333333333,0.853629274145171,300,78.60076785087585
5,0.05,256,2000,20,59443c3842b2,0.9727884409522884,0.8133333333333334,0.8514080287597364,300,51.961957693099976
5,0.05,256,5000,20,f680504a3af4,0.9727884409522884,0.8133333333333334,0.8514080287597364,300,52.047117948532104
5,0.05,256,10000,20,e69f92cd1f28,0.9727884409522884,0.8133333333333334,0.8514080287597364,300,55.16368770599365
5,0.01,64,5000,20,ca251fdc04c5,0.9727749796079928,0.8033333333333333,0.8560287942411517,300,99.40878701210022
5,0.01,64,10000,20,969623f22e71,0.9727749796079928,0.8033333333333333,0.8560287942411517,300,127.3819317817688
10,0.01,128,5000,2,8fda9ce27838,0.9727677805077025,0.8033333333333333,0.8554289142171566,300,210.31149196624756
5,0.01,256,5000,20,8772197b0fa4,0.9727471977402047,0.7966666666666666,0.8584283143371326,300,123.95903253555298
10,0.01,128,10000,2,9ac8307cb27e,0.9727414453537655,0.8033333333333333,0.8548290341931614,300,231.13803505897522
5,0.05,256,5000,5,e5c7c32c1c87,0.9727400555013611,0.81,0.8559423769507803,300,66.15520763397217
5,0.05,256,10000,5,99e3d5249f76,0.9727400555013611,0.81,0.8559423769507803,300,17534.68461370468
3,0.025,64,10000,20,055dd614983c,0.9727240132946334,0.8033333333333333,0.8532055122828041,300,66.42810487747192
5,0.025,128,5000,2,328742fcba0f,0.9727063122051103,0.7933333333333333,0.8554289142171566,300,123.29377508163452
5,0.025,128,10000,2,68a2cf52a8ad,0.9727063122051103,0.7933333333333333,0.8554289142171566,300,147.59432315826416
5,0.01,128,10000,2,3856afe139d8,0.9727057330349421,0.7966666666666666,0.8576576576576577,300,180.34053444862366
5,0.05,128,2000,5,36bf8fac0aed,0.9726751782413896,0.8,0.853629274145171,300,49.60797333717346
5,0.05,128,5000,5,76679236e1c8,0.9726688509201803,0.8,0.8530293941211757,300,69.32615089416504
5,0.05,128,10000,5,ec1e948383e0,0.9726688509201803,0.8,0.8530293941211757,300,71.29524278640747
3,0.05,128,2000,5,8693a6153db4,0.9726438928409442,0.7933333333333333,0.8545673076923077,300,42.766326904296875
5,0.025,64,5000,2,8458ffb1b92b,0.9726421073676276,0.8133333333333334,0.8591971240263631,300,68.61950612068176
5,0.025,64,10000,2,f3cc8ddf325e,0.9726421073676276,0.8133333333333334,0.8591971240263631,300,70.48004913330078
5,0.01,128,2000,2,9d06fe3898d3,0.9726412316351284,0.7966666666666666,0.8576576576576577,300,90.3167142868042
10,0.01,256,2000,20,45055492f588,0.9726373061181925,0.8066666666666666,0.8541416566626651,300,135.05782532691956
10,0.025,64,5000,2,1eaaf1bfb0f5,0.9726241326475967,0.8166666666666667,0.8579136690647482,300,101.59268045425415
10,0.025,64,10000,2,8cd316b2d4ea,0.9726241326475967,0.8166666666666667,0.8579136690647482,300,98.8032066822052
5,0.05,256,2000,2,c46010686ea1,0.9726224193862378,0.7966666666666666,0.8546546546546546,300,63.52279591560364
5,0.05,256,5000,2,5d0ca878d592,0.9726224193862378,0.7966666666666666,0.8546546546546546,300,103.4949893951416
5,0.05,256,10000,2,5e8aa6aa763a,0.9726224193862378,0.7966666666666666,0.8546546546546546,300,108.82465553283691
5,0.05,256,2000,5,97e7ba97ebd9,0.9726005800424029,0.81,0.8553421368547419,300,54.79869723320007
3,0.05,128,2000,2,2b7bb129c887,0.9725902975612128,0.7933333333333333,0.8553421368547419,300,45.28178000450134
3,0.05,128,5000,2,41217e9e0d99,0.9725902975612128,0.7933333333333333,0.8553421368547419,300,66.62244939804077
3,0.05,128,10000,2,1321e9323857,0.9725902975612128,0.7933333333333333,0.8553421368547419,300,66.70887899398804
5,0.01,128,5000,2,0d24e982e0b1,0.9725576274137296,0.7966666666666666,0.857057057057057,300,144.79118847846985
10,0.025,256,2000,10,98d987508318,0.9725479317916815,0.8033333333333333,0.854916067146283,300,96.12206554412842
10,0.025,256,5000,10,4945842a5e74,0.9725479317916815,0.8033333333333333,0.854916067146283,300,124.49746775627136
10,0.025,256,10000,10,d3d49a5d8599,0.9725479317916815,0.8033333333333333,0.854916067146283,300,123.46363568305969
10,0.025,64,2000,2,e7d28b8373a9,0.9725353989232822,0.8166666666666667,0.8579136690647482,300,89.3200044631958
5,0.05,64,2000,5,060993ca35f9,0.9725314243797935,0.8166666666666667,0.854916067146283,300,58.61308169364929
5,0.05,64,5000,5,1cf15c7d0192,0.9725314243797935,0.8166666666666667,0.854916067146283,300,60.11364960670471
5,0.05,64,10000,5,f2a727ae0d50,0.9725314243797935,0.8166666666666667,0.854916067146283,300,60.243396520614624
5,0.01,256,2000,20,cfb5bd8f45f8,0.9725250896817847,0.7933333333333333,0.8571428571428571,300,82.53735542297363
3,0.025,256,5000,10,4d27f52d1898,0.972512546034555,0.81,0.8574850299401198,300,64.3261067867279
3,0.025,256,10000,10,dd1d9e850b8c,0.972512546034555,0.81,0.8574850299401198,300,86.32244181632996
5,0.025,256,2000,10,e92732ab3dfd,0.9725077160379537,0.8066666666666666,0.8538046734571599,300,62.6158287525177
5,0.025,256,2000,2,0575251e0449,0.9724891365514967,0.8033333333333333,0.85431654676259,300,70.69201850891113
10,0.025,256,2000,2,d107d89e2f4f,0.9724694893163627,0.7966666666666666,0.8556021569802277,300,94.43536162376404
10,0.01,256,5000,20,b7145cbea00d,0.9724599107333913,0.8066666666666666,0.8523409363745498,300,190.34777784347534
10,0.01,256,10000,20,0349f8ca4fa3,0.9724599107333913,0.8066666666666666,0.8523409363745498,300,217.2833001613617
5,0.025,64,2000,2,768e55c09501,0.9724487390702768,0.81,0.8579136690647482,300,60.50999879837036
3,0.01,64,5000,20,9182ff184520,0.9724486024134595,0.8,0.855515587529976,300,85.38618636131287
3,0.01,64,10000,20,3310bbd75145,0.9724486024134595,0.8,0.855515587529976,300,108.52861523628235
