config_id,risk_weight,evidence_weight,need_weight,certainty_weight,workload_weight,minimum_risk_reduction,maximum_uncertainty,minimum_evidence,minimum_top_margin,minimum_top_score,mean_precision_at_1,mean_actionable_coverage,mean_selective_accuracy,mean_macro_action_precision,worst_stage_precision,minimum_action_diversity,maximum_top_action_concentration,meets_target
2ed908a222056780,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.0,0.0,0.21637111919380625,0.4771259610759892,0.4245401455776421,0.2255137751477477,0.10007468259895444,4,0.4886585842784513,False
d8af803e373b7407,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.0,0.15,0.20455778639388109,0.4490739712491499,0.42043935891319606,0.2197426389021284,0.09659969088098919,4,0.5025135732957973,False
b9109b9d46c61c35,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.0,0.25,0.19801403051154398,0.40640664406600663,0.43759111015988705,0.2219840281197122,0.09554140127388536,4,0.5477860587461639,False
aede29c230e15f29,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.02,0.0,0.2260168282407101,0.4440399104718277,0.461059660509833,0.22553734648211685,0.105,4,0.4889858233369684,False
4d77bf4349b2d80f,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.02,0.15,0.21307849989978866,0.41598792064498835,0.45695887384538697,0.21939583311020494,0.10044444444444445,4,0.5045004500450045,False
cd4d5f3fa46552af,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.02,0.25,0.2065326363190446,0.37332059346184515,0.47407588839623244,0.20132253739001651,0.0935910478128179,4,0.5559137118770147,False
fc681f6bd969883f,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.05,0.0,0.24035193881318853,0.398031661905637,0.503157465159079,0.22935488744518973,0.1086105675146771,4,0.4840194323702378,False
393ff5b267a345b5,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.05,0.15,0.2258462186469741,0.3703012538539965,0.4990219895403354,0.22272091546203346,0.10429447852760736,4,0.5019888623707239,False
bb930cbab8b29e93,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.05,0.25,0.21958871185618226,0.3276339266708532,0.5161042673953354,0.20518851984673558,0.09786700125470514,4,0.5633928571428571,False
c9afa00cadb47d52,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.1,0.0,0.2584292334880125,0.3435327563103637,0.548971797703128,0.233143482629071,0.11689961880559085,4,0.4772007599746675,False
3934cffaf2fa0110,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.1,0.15,0.24316752022664234,0.3205283032944593,0.5441489106128009,0.22607765324109244,0.11518324607329843,4,0.4939364142903966,False
5b4606648d310a72,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.2,0.1,0.25,0.23806059168376806,0.27796764277798275,0.5612659251636463,0.2104864593265072,0.11352253756260434,4,0.5708333333333333,False
1af70fb253025f6a,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.0,0.0,0.21637111919380625,0.4771259610759892,0.4245401455776421,0.2255137751477477,0.10007468259895444,4,0.4886585842784513,False
5bb77e52f6b6bf4d,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.0,0.15,0.20455778639388109,0.4490739712491499,0.42043935891319606,0.2197426389021284,0.09659969088098919,4,0.5025135732957973,False
5f8edd3f054503f9,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.0,0.25,0.19801403051154398,0.40640664406600663,0.43759111015988705,0.2219840281197122,0.09554140127388536,4,0.5477860587461639,False
44f7a64efa02a0c7,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.02,0.0,0.2260168282407101,0.4440399104718277,0.461059660509833,0.22553734648211685,0.105,4,0.4889858233369684,False
666d73b1ada18468,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.02,0.15,0.21307849989978866,0.41598792064498835,0.45695887384538697,0.21939583311020494,0.10044444444444445,4,0.5045004500450045,False
2feb8265665bd6f8,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.02,0.25,0.2065326363190446,0.37332059346184515,0.47407588839623244,0.20132253739001651,0.0935910478128179,4,0.5559137118770147,False
0a713dd826a2a5c0,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.05,0.0,0.24035193881318853,0.398031661905637,0.503157465159079,0.22935488744518973,0.1086105675146771,4,0.4840194323702378,False
062be06895462a7e,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.05,0.15,0.2258462186469741,0.3703012538539965,0.4990219895403354,0.22272091546203346,0.10429447852760736,4,0.5019888623707239,False
e1b165f8bea047d6,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.05,0.25,0.21958871185618226,0.3276339266708532,0.5161042673953354,0.20518851984673558,0.09786700125470514,4,0.5633928571428571,False
83013d48f455a0e8,0.5,0.2,0.2,0.05,0.1,0.0,0.05,0.4,0.1,0.0,0.2584292334880125,0.3435327563103637,0.548971797703128,0.233143482629071,0.11689961880559085,4,0.4772007599746675,False
