inner_folds,mean_action_diversity,mean_ndcg_at_3,mean_precision_at_1,model,outer_fold,status,std_ndcg_at_3,trial_number,worst_ndcg_at_3,parameters.C,parameters.n_jobs,parameters.learning_rate,parameters.n_estimators,parameters.num_leaves,parameters.max_depth
"[{'action_diversity': 5, 'groups': 7511, 'inner_fold': 0, 'learners': 2927, 'map_at_3': 0.6039919229574402, 'model': 'interaction_logistic', 'mrr': 0.61343363067501, 'ndcg_all': 0.5182310628311282, 'ndcg_at_1': 0.3568987706918742, 'ndcg_at_3': 0.5112573166492229, 'outer_fold': 2, 'parameters': {'C': 0.1, 'n_jobs': 4}, 'precision_at_1': 0.5197710025296233, 'precision_at_3': 0.49798073936004966, 'recall_at_3': 0.6981427240047929, 'status': 'COMPLETE', 'top1_relevance': 0.02496159788334426, 'top_action_concentration': 0.4133936892557582, 'trial_number': 0}, {'action_diversity': 5, 'groups': 7507, 'inner_fold': 1, 'learners': 2927, 'map_at_3': 0.5891797285496501, 'model': 'interaction_logistic', 'mrr': 0.6002175747080504, 'ndcg_all': 0.5295731887293171, 'ndcg_at_1': 0.3605745748412592, 'ndcg_at_3': 0.5210865362434692, 'outer_fold': 2, 'parameters': {'C': 0.1, 'n_jobs': 4}, 'precision_at_1': 0.4996669774876782, 'precision_at_3': 0.4849029794414102, 'recall_at_3': 0.6923205008658585, 'status': 'COMPLETE', 'top1_relevance': -0.01388552435347867, 'top_action_concentration': 0.46143599307313177, 'trial_number': 0}, {'action_diversity': 5, 'groups': 7511, 'inner_fold': 2, 'learners': 2927, 'map_at_3': 0.5992655216793149, 'model': 'interaction_logistic', 'mrr': 0.6089513158478677, 'ndcg_all': 0.5315152077850193, 'ndcg_at_1': 0.3681933164691785, 'ndcg_at_3': 0.5244077108788641, 'outer_fold': 2, 'parameters': {'C': 0.1, 'n_jobs': 4}, 'precision_at_1': 0.5155105844761018, 'precision_at_3': 0.48455598455598453, 'recall_at_3': 0.6953645763990591, 'status': 'COMPLETE', 'top1_relevance': 0.04456291987827544, 'top_action_concentration': 0.45426707495673013, 'trial_number': 0}]",5.0,0.518917187923852,0.5116495214978011,interaction_logistic,2,COMPLETE,0.005583473900575648,0,0.5112573166492229,0.1,4,,,,
"[{'action_diversity': 5, 'groups': 7511, 'inner_fold': 0, 'learners': 2927, 'map_at_3': 0.6024571369398954, 'model': 'interaction_logistic', 'mrr': 0.6110593351972662, 'ndcg_all': 0.5164644307315017, 'ndcg_at_1': 0.35241645586473175, 'ndcg_at_3': 0.5097923167513597, 'outer_fold': 2, 'parameters': {'C': 1.0, 'n_jobs': 4}, 'precision_at_1': 0.5153774464119292, 'precision_at_3': 0.4986464296809124, 'recall_at_3': 0.6989859317445525, 'status': 'COMPLETE', 'top1_relevance': 0.022464522545470805, 'top_action_concentration': 0.401411263480229, 'trial_number': 1}, {'action_diversity': 5, 'groups': 7507, 'inner_fold': 1, 'learners': 2927, 'map_at_3': 0.5882028625135058, 'model': 'interaction_logistic', 'mrr': 0.5995737311842281, 'ndcg_all': 0.5287178390661916, 'ndcg_at_1': 0.35862084276897116, 'ndcg_at_3': 0.5197305123570108, 'outer_fold': 2, 'parameters': {'C': 1.0, 'n_jobs': 4}, 'precision_at_1': 0.49926735047289195, 'precision_at_3': 0.4840593224101949, 'recall_at_3': 0.6909329070645175, 'status': 'COMPLETE', 'top1_relevance': -0.014150473223298467, 'top_action_concentration': 0.4491807646196883, 'trial_number': 1}, {'action_diversity': 5, 'groups': 7511, 'inner_fold': 2, 'learners': 2927, 'map_at_3': 0.5988254264116333, 'model': 'interaction_logistic', 'mrr': 0.6084187635911773, 'ndcg_all': 0.5313704547944677, 'ndcg_at_1': 0.3671725913105224, 'ndcg_at_3': 0.5245543968781994, 'outer_fold': 2, 'parameters': {'C': 1.0, 'n_jobs': 4}, 'precision_at_1': 0.5135135135135135, 'precision_at_3': 0.48464474326543294, 'recall_at_3': 0.6959526028491546, 'status': 'COMPLETE', 'top1_relevance': 0.04913932316329714, 'top_action_concentration': 0.4482758620689655, 'trial_number': 1}]",5.0,0.5180257419955233,0.5093861034661115,interaction_logistic,2,COMPLETE,0.006145970707537493,1,0.5097923167513597,1.0,4,,,,
"[{'action_diversity': 5, 'groups': 7511, 'inner_fold': 0, 'learners': 2927, 'map_at_3': 0.6029083270462581, 'model': 'interaction_logistic', 'mrr': 0.6117694048728531, 'ndcg_all': 0.5166675156340227, 'ndcg_at_1': 0.35272711134780105, 'ndcg_at_3': 0.5098777514537542, 'outer_fold': 2, 'parameters': {'C': 10.0, 'n_jobs': 4}, 'precision_at_1': 0.5164425509253096, 'precision_at_3': 0.4986464296809124, 'recall_at_3': 0.6991412594860871, 'status': 'COMPLETE', 'top1_relevance': 0.02178160294320854, 'top_action_concentration': 0.39648515510584476, 'trial_number': 2}, {'action_diversity': 5, 'groups': 7507, 'inner_fold': 1, 'learners': 2927, 'map_at_3': 0.5878032354987197, 'model': 'interaction_logistic', 'mrr': 0.5987744771546557, 'ndcg_all': 0.5282793722217389, 'ndcg_at_1': 0.35733315572132673, 'ndcg_at_3': 0.5194601459200133, 'outer_fold': 2, 'parameters': {'C': 10.0, 'n_jobs': 4}, 'precision_at_1': 0.49793526042360464, 'precision_at_3': 0.48437014342169527, 'recall_at_3': 0.6911771235735535, 'status': 'COMPLETE', 'top1_relevance': -0.013909813760555001, 'top_action_concentration': 0.44744904755561477, 'trial_number': 2}, {'action_diversity': 5, 'groups': 7511, 'inner_fold': 2, 'learners': 2927, 'map_at_3': 0.599735203183479, 'model': 'interaction_logistic', 'mrr': 0.6088625571384191, 'ndcg_all': 0.531891623381908, 'ndcg_at_1': 0.36901433453157595, 'ndcg_at_3': 0.5251646505737275, 'outer_fold': 2, 'parameters': {'C': 10.0, 'n_jobs': 4}, 'precision_at_1': 0.5145786180268939, 'precision_at_3': 0.48499977810322636, 'recall_at_3': 0.6964740602671637, 'status': 'COMPLETE', 'top1_relevance': 0.050045018197557134, 'top_action_concentration': 0.44295033950206364, 'trial_number': 2}]",5.0,0.5181675159824984,0.5096521431252693,interaction_logistic,2,COMPLETE,0.006307428968688688,2,0.5098777514537542,10.0,4,,,,
"[{'action_diversity': 5, 'groups': 7511, 'inner_fold': 0, 'learners': 2927, 'map_at_3': 0.5948349827660173, 'model': 'pairwise_logistic', 'mrr': 0.6087516087516088, 'ndcg_all': 0.49528613859161347, 'ndcg_at_1': 0.299183419873075, 'ndcg_at_3': 0.4841462264911567, 'outer_fold': 2, 'parameters': {'C': 0.1, 'n_jobs': 4}, 'precision_at_1': 0.5116495806150979, 'precision_at_3': 0.4945635290462877, 'recall_at_3': 0.694015444015444, 'status': 'COMPLETE', 'top1_relevance': -0.006924809587946853, 'top_action_concentration': 0.6787378511516442, 'trial_number': 3}, {'action_diversity': 5, 'groups': 7507, 'inner_fold': 1, 'learners': 2927, 'map_at_3': 0.585790299424241, 'model': 'pairwise_logistic', 'mrr': 0.6010612317392656, 'ndcg_all': 0.5111350840722771, 'ndcg_at_1': 0.3133519825940233, 'ndcg_at_3': 0.496521715591672, 'outer_fold': 2, 'parameters': {'C': 0.1, 'n_jobs': 4}, 'precision_at_1': 0.5009990675369655, 'precision_at_3': 0.48068469428533367, 'recall_at_3': 0.686226188890369, 'status': 'COMPLETE', 'top1_relevance': -0.017763650524822556, 'top_action_concentration': 0.7580924470494206, 'trial_number': 3}, {'action_diversity': 4, 'groups': 7511, 'inner_fold': 2, 'learners': 2927, 'map_at_3': 0.5828821432269707, 'model': 'pairwise_logistic', 'mrr': 0.598588736519771, 'ndcg_all': 0.5034991725894506, 'ndcg_at_1': 0.29760795278036656, 'ndcg_at_3': 0.4898163925335353, 'outer_fold': 2, 'parameters': {'C': 0.1, 'n_jobs': 4}, 'precision_at_1': 0.4952735987218746, 'precision_at_3': 0.48020680779301467, 'recall_at_3': 0.6890516131895442, 'status': 'COMPLETE', 'top1_relevance': -0.00489954888071283, 'top_action_concentration': 0.7148182665424044, 'trial_number': 3}]",4.666666666666667,0.4901614448721214,0.5026407489579794,pairwise_logistic,2,COMPLETE,0.005058160301698384,3,0.4841462264911567,0.1,4,,,,
"[{'action_diversity': 5, 'groups': 7511, 'inner_fold': 0, 'learners': 2927, 'map_at_3': 0.5929303687924378, 'model': 'pairwise_logistic', 'mrr': 0.6067323481116583, 'ndcg_all': 0.4941709364747542, 'ndcg_at_1': 0.29674255536324495, 'ndcg_at_3': 0.48312322472308755, 'outer_fold': 2, 'parameters': {'C': 1.0, 'n_jobs': 4}, 'precision_at_1': 0.507788576754094, 'precision_at_3': 0.4947410464651844, 'recall_at_3': 0.694237340789065, 'status': 'COMPLETE', 'top1_relevance': -0.008140111613021757, 'top_action_concentration': 0.679403541472507, 'trial_number': 4}, {'action_diversity': 5, 'groups': 7507, 'inner_fold': 1, 'learners': 2927, 'map_at_3': 0.5861233219365629, 'model': 'pairwise_logistic', 'mrr': 0.6010168287376226, 'ndcg_all': 0.5111956003775716, 'ndcg_at_1': 0.31339638559566624, 'ndcg_at_3': 0.49669241934414393, 'outer_fold': 2, 'parameters': {'C': 1.0, 'n_jobs': 4}, 'precision_at_1': 0.5011322765418942, 'precision_at_3': 0.4808179032902624, 'recall_at_3': 0.6862039873895476, 'status': 'COMPLETE', 'top1_relevance': -0.01766454135637011, 'top_action_concentration': 0.7546290129212735, 'trial_number': 4}, {'action_diversity': 4, 'groups': 7511, 'inner_fold': 2, 'learners': 2927, 'map_at_3': 0.58308554860279, 'model': 'pairwise_logistic', 'mrr': 0.5989215816802024, 'ndcg_all': 0.5036234127325401, 'ndcg_at_1': 0.29785203923134956, 'ndcg_at_3': 0.4899429581016174, 'outer_fold': 2, 'parameters': {'C': 1.0, 'n_jobs': 4}, 'precision_at_1': 0.4958061509785648, 'precision_at_3': 0.48025118714773884, 'recall_at_3': 0.6890848977055873, 'status': 'COMPLETE', 'top1_relevance': -0.004253374194056146, 'top_action_concentration': 0.7145519904140594, 'trial_number': 4}]",4.666666666666667,0.48991953405628297,0.5015756680915177,pairwise_logistic,2,COMPLETE,0.005539625268942008,4,0.48312322472308755,1.0,4,,,,
"[{'action_diversity': 5, 'groups': 7511, 'inner_fold': 0, 'learners': 2927, 'map_at_3': 0.5920427816979541, 'model': 'pairwise_logistic', 'mrr': 0.6061776061776062, 'ndcg_all': 0.49369876892012, 'ndcg_at_1': 0.2959659166555718, 'ndcg_at_3': 0.4827029821178287, 'outer_fold': 2, 'parameters': {'C': 10.0, 'n_jobs': 4}, 'precision_at_1': 0.5067234722407136, 'precision_at_3': 0.494652287755736, 'recall_at_3': 0.694237340789065, 'status': 'COMPLETE', 'top1_relevance': -0.007177917396181355, 'top_action_concentration': 0.6787378511516442, 'trial_number': 5}, {'action_diversity': 5, 'groups': 7507, 'inner_fold': 1, 'learners': 2927, 'map_at_3': 0.5860789189349198, 'model': 'pairwise_logistic', 'mrr': 0.6009724257359798, 'ndcg_all': 0.5111319676380485, 'ndcg_at_1': 0.31324097508991605, 'ndcg_at_3': 0.49660161778374184, 'outer_fold': 2, 'parameters': {'C': 10.0, 'n_jobs': 4}, 'precision_at_1': 0.5011322765418942, 'precision_at_3': 0.48077350028861954, 'recall_at_3': 0.6861595843879046, 'status': 'COMPLETE', 'top1_relevance': -0.01768265368968023, 'top_action_concentration': 0.7531637138670574, 'trial_number': 5}, {'action_diversity': 4, 'groups': 7511, 'inner_fold': 2, 'learners': 2927, 'map_at_3': 0.5831632124735573, 'model': 'pairwise_logistic', 'mrr': 0.599076909421737, 'ndcg_all': 0.5036847753456928, 'ndcg_at_1': 0.29811831535969463, 'ndcg_at_3': 0.490039478233419, 'outer_fold': 2, 'parameters': {'C': 10.0, 'n_jobs': 4}, 'precision_at_1': 0.49607242710690985, 'precision_at_3': 0.48025118714773884, 'recall_at_3': 0.6891070873829495, 'status': 'COMPLETE', 'top1_relevance': -0.004429556460003427, 'top_action_concentration': 0.7138863000931966, 'trial_number': 5}]",4.666666666666667,0.48978135937832984,0.5013093919631725,pairwise_logistic,2,COMPLETE,0.005677028997105362,5,0.4827029821178287,10.0,4,,,,
"[{'action_diversity': 5, 'groups': 7511, 'inner_fold': 0, 'learners': 2927, 'map_at_3': 0.6353940147043595, 'model': 'lambdamart', 'mrr': 0.6447654551102826, 'ndcg_all': 0.5354718576356786, 'ndcg_at_1': 0.40183286735010876, 'ndcg_at_3': 0.5292688679541966, 'outer_fold': 2, 'parameters': {'learning_rate': 0.03, 'n_estimators': 100, 'n_jobs': 4, 'num_leaves': 7}, 'precision_at_1': 0.5804819597923047, 'precision_at_3': 0.49957839613012023, 'recall_at_3': 0.7001619846447432, 'status': 'COMPLETE', 'top1_relevance': 0.05369326550513576, 'top_action_concentration': 0.5798162694714419, 'trial_number': 6}, {'action_diversity': 5, 'groups': 7507, 'inner_fold': 1, 'learners': 2927, 'map_at_3': 0.6269407811968087, 'model': 'lambdamart', 'mrr': 0.6370054615692021, 'ndcg_all': 0.5541329527147751, 'ndcg_at_1': 0.4235713334221393, 'ndcg_at_3': 0.54690854380567, 'outer_fold': 2, 'parameters': {'learning_rate': 0.03, 'n_estimators': 100, 'n_jobs': 4, 'num_leaves': 7}, 'precision_at_1': 0.5698681230851206, 'precision_at_3': 0.48690111451534124, 'recall_at_3': 0.6947626659562186, 'status': 'COMPLETE', 'top1_relevance': 0.03605008779131815, 'top_action_concentration': 0.5883841747702144, 'trial_number': 6}, {'action_diversity': 5, 'groups': 7511, 'inner_fold': 2, 'learners': 2927, 'map_at_3': 0.6320655631000458, 'model': 'lambdamart', 'mrr': 0.640948830604003, 'ndcg_all': 0.5493143850861182, 'ndcg_at_1': 0.4129055163537922, 'ndcg_at_3': 0.5436251967457899, 'outer_fold': 2, 'parameters': {'learning_rate': 0.03, 'n_estimators': 100, 'n_jobs': 4, 'num_leaves': 7}, 'precision_at_1': 0.5758221275462655, 'precision_at_3': 0.4865974348732969, 'recall_at_3': 0.6987928815515022, 'status': 'COMPLETE', 'top1_relevance': 0.05296401699006303, 'top_action_concentration': 0.554520037278658, 'trial_number': 6}]",5.0,0.5399342028352189,0.575390736807897,lambdamart,2,COMPLETE,0.007659726630116254,6,0.5292688679541966,,4,0.03,100.0,7.0,
"[{'action_diversity': 5, 'groups': 7511, 'inner_fold': 0, 'learners': 2927, 'map_at_3': 0.6440257991982129, 'model': 'lambdamart', 'mrr': 0.6532641015399635, 'ndcg_all': 0.5431169215934516, 'ndcg_at_1': 0.42204766342697375, 'ndcg_at_3': 0.5375771153686748, 'outer_fold': 2, 'parameters': {'learning_rate': 0.03, 'n_estimators': 100, 'n_jobs': 4, 'num_leaves': 15}, 'precision_at_1': 0.5963253894288377, 'precision_at_3': 0.5003328451604314, 'recall_at_3': 0.7011383304486752, 'status': 'COMPLETE', 'top1_relevance': 0.07597007137602667, 'top_action_concentration': 0.526294767674078, 'trial_number': 7}, {'action_diversity': 5, 'groups': 7507, 'inner_fold': 1, 'learners': 2927, 'map_at_3': 0.6321063303879343, 'model': 'lambdamart', 'mrr': 0.6408907242129567, 'ndcg_all': 0.5572186310330005, 'ndcg_at_1': 0.42993206340748635, 'ndcg_at_3': 0.551206732751602, 'outer_fold': 2, 'parameters': {'learning_rate': 0.03, 'n_estimators': 100, 'n_jobs': 4, 'num_leaves': 15}, 'precision_at_1': 0.5749300652724124, 'precision_at_3': 0.48863283157941473, 'recall_at_3': 0.6980040850761511, 'status': 'COMPLETE', 'top1_relevance': 0.04218133743586062, 'top_action_concentration': 0.5700013320900493, 'trial_number': 7}, {'action_diversity': 5, 'groups': 7511, 'inner_fold': 2, 'learners': 2927, 'map_at_3': 0.6333932454622109, 'model': 'lambdamart', 'mrr': 0.6418142280211246, 'ndcg_all': 0.5526887088718557, 'ndcg_at_1': 0.42204766342697375, 'ndcg_at_3': 0.5472901521354855, 'outer_fold': 2, 'parameters': {'learning_rate': 0.03, 'n_estimators': 100, 'n_jobs': 4, 'num_leaves': 15}, 'precision_at_1': 0.5775529223805086, 'precision_at_3': 0.4869080903563663, 'recall_at_3': 0.6994585718723649, 'status': 'COMPLETE', 'top1_relevance': 0.07014403309188805, 'top_action_concentration': 0.558913593396352, 'trial_number': 7}]",5.0,0.5453580000852541,0.5829361256939195,lambdamart,2,COMPLETE,0.0057295448428973834,7,0.5375771153686748,,4,0.03,100.0,15.0,
"[{'action_diversity': 5, 'groups': 7511, 'inner_fold': 0, 'learners': 2927, 'map_at_3': 0.6428867290936257, 'model': 'lambdamart', 'mrr': 0.6513557892868237, 'ndcg_all': 0.541647523430282, 'ndcg_at_1': 0.41780943505081436, 'ndcg_at_3': 0.5362315436409915, 'outer_fold': 2, 'parameters': {'learning_rate': 0.03, 'n_estimators': 250, 'n_jobs': 4, 'num_leaves': 7}, 'precision_at_1': 0.5928637997603515, 'precision_at_3': 0.5005547419340522, 'recall_at_3': 0.7015377446411929, 'status': 'COMPLETE', 'top1_relevance': 0.06830025345971744, 'top_action_concentration': 0.5563839701770736, 'trial_number': 8}, {'action_diversity': 5, 'groups': 7507, 'inner_fold': 1, 'learners': 2927, 'map_at_3': 0.6330054911712031, 'model': 'lambdamart', 'mrr': 0.6420007992540295, 'ndcg_all': 0.5570722256970824, 'ndcg_at_1': 0.43002086941077217, 'ndcg_at_3': 0.5508584766474429, 'outer_fold': 2, 'parameters': {'learning_rate': 0.03, 'n_estimators': 250, 'n_jobs': 4, 'num_leaves': 7}, 'precision_at_1': 0.5778606633808445, 'precision_at_3': 0.4881888015629856, 'recall_at_3': 0.6971382265441143, 'status': 'COMPLETE', 'top1_relevance': 0.04070211134882865, 'top_action_concentration': 0.5745304382576262, 'trial_number': 8}, {'action_diversity': 5, 'groups': 7511, 'inner_fold': 2, 'learners': 2927, 'map_at_3': 0.6353237473927129, 'model': 'lambdamart', 'mrr': 0.6437669196289886, 'ndcg_all': 0.5522095433683575, 'ndcg_at_1': 0.42091598988150714, 'ndcg_at_3': 0.5467721305098303, 'outer_fold': 2, 'parameters': {'learning_rate': 0.03, 'n_estimators': 250, 'n_jobs': 4, 'num_leaves': 7}, 'precision_at_1': 0.581547064305685, 'precision_at_3': 0.4870412284205387, 'recall_at_3': 0.6995695202591754, 'status': 'COMPLETE', 'top1_relevance': 0.06133217420795996, 'top_action_concentration': 0.5546531753428305, 'trial_number': 8}]",5.0,0.5446207169327549,0.5840905091489603,lambdamart,2,COMPLETE,0.006162154795119594,8,0.5362315436409915,,4,0.03,250.0,7.0,
"[{'action_diversity': 5, 'groups': 7511, 'inner_fold': 0, 'learners': 2927, 'map_at_3': 0.6488039763901833, 'model': 'lambdamart', 'mrr': 0.6569253983047085, 'ndcg_all': 0.5471684432451279, 'ndcg_at_1': 0.43158922469267297, 'ndcg_at_3': 0.5420836605890903, 'outer_fold': 2, 'parameters': {'learning_rate': 0.03, 'n_estimators': 250, 'n_jobs': 4, 'num_leaves': 15}, 'precision_at_1': 0.60271601650912, 'precision_at_3': 0.5009541561265699, 'recall_at_3': 0.7019593485110727, 'status': 'COMPLETE', 'top1_relevance': 0.08201478705967205, 'top_action_concentration': 0.5141792038343762, 'trial_number': 9}, {'action_diversity': 5, 'groups': 7507, 'inner_fold': 1, 'learners': 2927, 'map_at_3': 0.6424855320219647, 'model': 'lambdamart', 'mrr': 0.6513032280982194, 'ndcg_all': 0.5648206114770731, 'ndcg_at_1': 0.44966919763776037, 'ndcg_at_3': 0.5590944533477957, 'outer_fold': 2, 'parameters': {'learning_rate': 0.03, 'n_estimators': 250, 'n_jobs': 4, 'num_leaves': 15}, 'precision_at_1': 0.5942453709870787, 'precision_at_3': 0.4891212645974867, 'recall_at_3': 0.6984259135917589, 'status': 'COMPLETE', 'top1_relevance': 0.0626438423118161, 'top_action_concentration': 0.532702810710004, 'trial_number': 9}, {'action_diversity': 5, 'groups': 7511, 'inner_fold': 2, 'learners': 2927, 'map_at_3': 0.6401980798532524, 'model': 'lambdamart', 'mrr': 0.6474282163937336, 'ndcg_all': 0.5577281867723626, 'ndcg_at_1': 0.43469577952336574, 'ndcg_at_3': 0.5530026612994743, 'outer_fold': 2, 'parameters': {'learning_rate': 0.03, 'n_estimators': 250, 'n_jobs': 4, 'num_leaves': 15}, 'precision_at_1': 0.5883371055784848, 'precision_at_3': 0.487840056805574, 'recall_at_3': 0.7007344783206853, 'status': 'COMPLETE', 'top1_relevance': 0.08432302358009208, 'top_action_concentration': 0.5330848089468779, 'trial_number': 9}]",5.0,0.5513935917454534,0.5950994976915611,lambdamart,2,COMPLETE,0.007037215177997799,9,0.5420836605890903,,4,0.03,250.0,15.0,
