domain,model,fold,seed,stage,ap,roc_auc,risk_f1,risk_recall,recall_at_20,n,prevalence,n_models,one_weight_all_stages
oulad,LR,0,42,20pct,0.7565228572241014,0.7891089040639344,0.685799601857996,0.8112244897959183,0.3881475667189953,5963,0.4273016937782995,1,True
oulad,LR,0,42,35pct,0.8003065885332785,0.8265452294699367,0.6998173330627157,0.7411865864144453,0.4346517626827171,5742,0.4050853361198189,1,True
oulad,LR,0,42,50pct,0.8530753301240185,0.8794108297422776,0.7434530706836616,0.7612719506407214,0.4897959183673469,5523,0.38149556400506973,1,True
oulad,LR,0,42,75pct,0.8968732150771965,0.9217342515551501,0.7952706907280647,0.7298686464877213,0.579097658480868,5167,0.3388813624927424,1,True
oulad,LR,0,42,100pct,0.9200839502658325,0.9390658590510346,0.8367972742759796,0.7632069608452455,0.6215040397762586,5025,0.3201990049751244,1,True
oulad,DT,0,42,20pct,0.7150785464739616,0.7452694502736334,0.6545580349420516,0.7425431711145997,0.37558869701726844,5963,0.4273016937782995,1,True
oulad,DT,0,42,35pct,0.7527969433589098,0.7776160463833137,0.6552955176517256,0.710232158211522,0.41917454858125536,5742,0.4050853361198189,1,True
oulad,DT,0,42,50pct,0.8149651469613122,0.849560584268564,0.7002758966641586,0.6625533934504034,0.4736592311343142,5523,0.38149556400506973,1,True
oulad,DT,0,42,75pct,0.867907192371753,0.8993565236057817,0.7667673716012084,0.7247287264420331,0.5785265562535694,5167,0.3388813624927424,1,True
oulad,DT,0,42,100pct,0.8891766546999049,0.9172101491464145,0.8017955801104972,0.7215661901802362,0.6215040397762586,5025,0.3201990049751244,1,True
oulad,RF,0,42,20pct,0.7521322513201776,0.7753804551441029,0.6693835965359144,0.7735478806907379,0.3873626373626374,5963,0.4273016937782995,1,True
oulad,RF,0,42,35pct,0.795166540987118,0.8164193940406888,0.6866566716641679,0.7876182287188306,0.43293207222699914,5742,0.4050853361198189,1,True
oulad,RF,0,42,50pct,0.8527071405745895,0.8746550196790224,0.7318235995232419,0.7285239677266255,0.4978642619838633,5523,0.38149556400506973,1,True
oulad,RF,0,42,75pct,0.8975418608959277,0.9188198914772021,0.7925736235595391,0.7070245573957739,0.5836664762992576,5167,0.3388813624927424,1,True
oulad,RF,0,42,100pct,0.92308480932736,0.9421113380094114,0.8336089976844194,0.7830950901180858,0.6221255438160348,5025,0.3201990049751244,1,True
oulad,SVM,0,42,20pct,0.7278014918514524,0.7690826324898694,0.6725608810299364,0.8508634222919937,0.37127158555729983,5963,0.4273016937782995,1,True
oulad,SVM,0,42,35pct,0.795637763889705,0.8220330557127352,0.6912535268037082,0.7373172828890799,0.4346517626827171,5742,0.4050853361198189,1,True
oulad,SVM,0,42,50pct,0.8531310039753764,0.8783665800070912,0.7441415590626494,0.7384907451352634,0.4897959183673469,5523,0.38149556400506973,1,True
