domain,model,fold,seed,stage,ap,roc_auc,risk_f1,risk_recall,recall_at_20,n,prevalence,n_models,one_weight_all_stages
uci,LR,0,42,S0,0.44759464306437546,0.7004851752021564,0.4576271186440678,0.5094339622641509,0.37735849056603776,228,0.2324561403508772,1,True
uci,LR,0,42,S1,0.7064028778447843,0.9174123989218329,0.5581395348837209,0.4528301886792453,0.6037735849056604,228,0.2324561403508772,1,True
uci,LR,0,42,S2,0.845565184002691,0.9559029649595687,0.782608695652174,0.8490566037735849,0.6981132075471698,228,0.2324561403508772,1,True
uci,DT,0,42,S0,0.3198243714224284,0.614501347708895,0.4626865671641791,0.5849056603773585,0.3018867924528302,228,0.2324561403508772,1,True
uci,DT,0,42,S1,0.754667345233383,0.927277628032345,0.7254901960784313,0.6981132075471698,0.660377358490566,228,0.2324561403508772,1,True
uci,DT,0,42,S2,0.754667345233383,0.927277628032345,0.7254901960784313,0.6981132075471698,0.660377358490566,228,0.2324561403508772,1,True
uci,RF,0,42,S0,0.44099968479991347,0.7342318059299192,0.4489795918367347,0.41509433962264153,0.41509433962264153,228,0.2324561403508772,1,True
uci,RF,0,42,S1,0.7415810887790097,0.9246361185983827,0.7567567567567568,0.7924528301886793,0.6037735849056604,228,0.2324561403508772,1,True
uci,RF,0,42,S2,0.8398574037935542,0.9561185983827494,0.7843137254901961,0.7547169811320755,0.7169811320754716,228,0.2324561403508772,1,True
uci,SVM,0,42,S0,0.44893776425698984,0.7015633423180593,0.49612403100775193,0.6037735849056604,0.37735849056603776,228,0.2324561403508772,1,True
uci,SVM,0,42,S1,0.7076253611756291,0.9167654986522911,0.6170212765957447,0.5471698113207547,0.5849056603773585,228,0.2324561403508772,1,True
uci,SVM,0,42,S2,0.797922312503784,0.9431805929919137,0.6521739130434783,0.5660377358490566,0.6792452830188679,228,0.2324561403508772,1,True
uci,XGB,0,42,S0,0.4620769761607094,0.7115902964959568,0.3157894736842105,0.22641509433962265,0.3584905660377358,228,0.2324561403508772,1,True
uci,XGB,0,42,S1,0.7565421042431127,0.9209703504043127,0.673469387755102,0.6226415094339622,0.6415094339622641,228,0.2324561403508772,1,True
uci,XGB,0,42,S2,0.8663932431700431,0.9588140161725067,0.7578947368421053,0.6792452830188679,0.7169811320754716,228,0.2324561403508772,1,True
uci,CatBoost,0,42,S0,0.41689517475997784,0.727654986522911,0.40384615384615385,0.39622641509433965,0.37735849056603776,228,0.2324561403508772,1,True
uci,CatBoost,0,42,S1,0.7642196039127462,0.9246361185983827,0.6170212765957447,0.5471698113207547,0.6037735849056604,228,0.2324561403508772,1,True
uci,CatBoost,0,42,S2,0.856779300927142,0.955256064690027,0.7032967032967034,0.6037735849056604,0.6792452830188679,228,0.2324561403508772,1,True
uci,MLP,0,42,S0,0.4203403261284571,0.6651212938005391,0.4158415841584158,0.39622641509433965,0.39622641509433965,228,0.2324561403508772,1,True
uci,MLP,0,42,S1,0.6723828757171288,0.8904582210242588,0.6086956521739131,0.5283018867924528,0.6037735849056604,228,0.2324561403508772,1,True
uci,MLP,0,42,S2,0.8203076143299113,0.9459838274932615,0.7291666666666666,0.660377358490566,0.6792452830188679,228,0.2324561403508772,1,True
uci,LR,0,1201,S0,0.44759464306437546,0.7004851752021564,0.4576271186440678,0.5094339622641509,0.37735849056603776,228,0.2324561403508772,1,True
uci,LR,0,1201,S1,0.7064028778447843,0.9174123989218329,0.5581395348837209,0.4528301886792453,0.6037735849056604,228,0.2324561403508772,1,True
uci,LR,0,1201,S2,0.845565184002691,0.9559029649595687,0.782608695652174,0.8490566037735849,0.6981132075471698,228,0.2324561403508772,1,True
