domain,model,fold,seed,stage,n_models,accuracy,risk_precision,risk_f1,ap,roc_auc,risk_recall,recall_at_20,threshold,n,prevalence
oulad,LR,0,42,20pct,1,0.6823746436357538,0.5939655172413794,0.685799601857996,0.7565228572241014,0.7891089040639344,0.8112244897959183,0.3881475667189953,0.31,5963,0.4273016937782995
oulad,LR,0,42,35pct,1,0.7424242424242424,0.6628219915417147,0.6998173330627157,0.8003065885332785,0.8265452294699367,0.7411865864144453,0.4346517626827171,0.36,5742,0.4050853361198189
oulad,LR,0,42,50pct,1,0.799565453557849,0.7264492753623188,0.7434530706836616,0.8530753301240185,0.8794108297422776,0.7612719506407214,0.4897959183673469,0.33,5523,0.38149556400506973
oulad,LR,0,42,75pct,1,0.8726533772014708,0.8735475051264525,0.7952706907280647,0.8968732150771965,0.9217342515551501,0.7298686464877213,0.579097658480868,0.45,5167,0.3388813624927424
oulad,LR,0,42,100pct,1,0.9046766169154229,0.9260935143288085,0.8367972742759796,0.9200839502658325,0.9390658590510346,0.7632069608452455,0.6215040397762586,0.51,5025,0.3201990049751244
oulad,DT,0,42,20pct,1,0.6651014589971491,0.5852149706155274,0.6545580349420516,0.7150785464739616,0.7452694502736334,0.7425431711145997,0.37558869701726844,0.41,5963,0.4273016937782995
oulad,DT,0,42,35pct,1,0.6973180076628352,0.6082474226804123,0.6552955176517256,0.7527969433589098,0.7776160463833137,0.710232158211522,0.41917454858125536,0.44,5742,0.4050853361198189
oulad,DT,0,42,50pct,1,0.7836320840123121,0.7425531914893617,0.7002758966641586,0.8149651469613122,0.849560584268564,0.6625533934504034,0.4736592311343142,0.58,5523,0.38149556400506973
oulad,DT,0,42,75pct,1,0.8505902844977743,0.8139833226427197,0.7667673716012084,0.867907192371753,0.8993565236057817,0.7247287264420331,0.5785265562535694,0.5,5167,0.3388813624927424
oulad,DT,0,42,100pct,1,0.8857711442786069,0.9020979020979021,0.8017955801104972,0.8891766546999049,0.9172101491464145,0.7215661901802362,0.6215040397762586,0.68,5025,0.3201990049751244
oulad,RF,0,42,20pct,1,0.6734865000838504,0.5899431307991619,0.6693835965359144,0.7521322513201776,0.7753804551441029,0.7735478806907379,0.3873626373626374,0.4,5963,0.4273016937782995
oulad,RF,0,42,35pct,1,0.7088122605363985,0.6086378737541528,0.6866566716641679,0.795166540987118,0.8164193940406888,0.7876182287188306,0.43293207222699914,0.37,5742,0.4050853361198189
