domain,model,fold,seed,stage,n_models,accuracy,risk_precision,risk_f1,ap,roc_auc,risk_recall,recall_at_20,threshold,n,prevalence
uci,LR,0,42,S0,1,0.7192982456140351,0.4153846153846154,0.4576271186440678,0.44759464306437546,0.7004851752021564,0.5094339622641509,0.37735849056603776,0.68,228,0.2324561403508772
uci,LR,0,42,S1,1,0.8333333333333334,0.7272727272727273,0.5581395348837209,0.7064028778447843,0.9174123989218329,0.4528301886792453,0.6037735849056604,0.93,228,0.2324561403508772
uci,LR,0,42,S2,1,0.8903508771929824,0.7258064516129032,0.782608695652174,0.845565184002691,0.9559029649595687,0.8490566037735849,0.6981132075471698,0.65,228,0.2324561403508772
uci,DT,0,42,S0,1,0.6842105263157895,0.38271604938271603,0.4626865671641791,0.3198243714224284,0.614501347708895,0.5849056603773585,0.3018867924528302,0.5,228,0.2324561403508772
uci,DT,0,42,S1,1,0.8771929824561403,0.7551020408163265,0.7254901960784313,0.754667345233383,0.927277628032345,0.6981132075471698,0.660377358490566,0.78,228,0.2324561403508772
uci,DT,0,42,S2,1,0.8771929824561403,0.7551020408163265,0.7254901960784313,0.754667345233383,0.927277628032345,0.6981132075471698,0.660377358490566,0.78,228,0.2324561403508772
uci,RF,0,42,S0,1,0.7631578947368421,0.4888888888888889,0.4489795918367347,0.44099968479991347,0.7342318059299192,0.41509433962264153,0.41509433962264153,0.63,228,0.2324561403508772
uci,RF,0,42,S1,1,0.881578947368421,0.7241379310344828,0.7567567567567568,0.7415810887790097,0.9246361185983827,0.7924528301886793,0.6037735849056604,0.65,228,0.2324561403508772
uci,RF,0,42,S2,1,0.9035087719298246,0.8163265306122449,0.7843137254901961,0.8398574037935542,0.9561185983827494,0.7547169811320755,0.7169811320754716,0.71,228,0.2324561403508772
uci,SVM,0,42,S0,1,0.7149122807017544,0.42105263157894735,0.49612403100775193,0.44893776425698984,0.7015633423180593,0.6037735849056604,0.37735849056603776,0.45,228,0.2324561403508772
uci,SVM,0,42,S1,1,0.8421052631578947,0.7073170731707317,0.6170212765957447,0.7076253611756291,0.9167654986522911,0.5471698113207547,0.5849056603773585,0.5,228,0.2324561403508772
uci,SVM,0,42,S2,1,0.8596491228070176,0.7692307692307693,0.6521739130434783,0.797922312503784,0.9431805929919137,0.5660377358490566,0.6792452830188679,0.49,228,0.2324561403508772
uci,XGB,0,42,S0,1,0.7719298245614035,0.5217391304347826,0.3157894736842105,0.4620769761607094,0.7115902964959568,0.22641509433962265,0.3584905660377358,0.83,228,0.2324561403508772
uci,XGB,0,42,S1,1,0.8596491228070176,0.7333333333333333,0.673469387755102,0.7565421042431127,0.9209703504043127,0.6226415094339622,0.6415094339622641,0.74,228,0.2324561403508772
uci,XGB,0,42,S2,1,0.8991228070175439,0.8571428571428571,0.7578947368421053,0.8663932431700431,0.9588140161725067,0.6792452830188679,0.7169811320754716,0.88,228,0.2324561403508772
uci,CatBoost,0,42,S0,1,0.7280701754385965,0.4117647058823529,0.40384615384615385,0.41689517475997784,0.727654986522911,0.39622641509433965,0.37735849056603776,0.59,228,0.2324561403508772
uci,CatBoost,0,42,S1,1,0.8421052631578947,0.7073170731707317,0.6170212765957447,0.7642196039127462,0.9246361185983827,0.5471698113207547,0.6037735849056604,0.73,228,0.2324561403508772
uci,CatBoost,0,42,S2,1,0.881578947368421,0.8421052631578947,0.7032967032967034,0.856779300927142,0.955256064690027,0.6037735849056604,0.6792452830188679,0.78,228,0.2324561403508772
uci,MLP,0,42,S0,1,0.7412280701754386,0.4375,0.4158415841584158,0.4203403261284571,0.6651212938005391,0.39622641509433965,0.39622641509433965,0.51,228,0.2324561403508772
uci,MLP,0,42,S1,1,0.8421052631578947,0.717948717948718,0.6086956521739131,0.6723828757171288,0.8904582210242588,0.5283018867924528,0.6037735849056604,0.65,228,0.2324561403508772
uci,MLP,0,42,S2,1,0.8859649122807017,0.813953488372093,0.7291666666666666,0.8203076143299113,0.9459838274932615,0.660377358490566,0.6792452830188679,0.71,228,0.2324561403508772
uci,LR,0,1201,S0,1,0.7192982456140351,0.4153846153846154,0.4576271186440678,0.44759464306437546,0.7004851752021564,0.5094339622641509,0.37735849056603776,0.68,228,0.2324561403508772
uci,LR,0,1201,S1,1,0.8333333333333334,0.7272727272727273,0.5581395348837209,0.7064028778447843,0.9174123989218329,0.4528301886792453,0.6037735849056604,0.93,228,0.2324561403508772
uci,LR,0,1201,S2,1,0.8903508771929824,0.7258064516129032,0.782608695652174,0.845565184002691,0.9559029649595687,0.8490566037735849,0.6981132075471698,0.65,228,0.2324561403508772
uci,DT,0,1201,S0,1,0.6842105263157895,0.38271604938271603,0.4626865671641791,0.3198243714224284,0.614501347708895,0.5849056603773585,0.3018867924528302,0.5,228,0.2324561403508772
uci,DT,0,1201,S1,1,0.8771929824561403,0.7551020408163265,0.7254901960784313,0.754667345233383,0.927277628032345,0.6981132075471698,0.660377358490566,0.78,228,0.2324561403508772
uci,DT,0,1201,S2,1,0.8771929824561403,0.7551020408163265,0.7254901960784313,0.754667345233383,0.927277628032345,0.6981132075471698,0.660377358490566,0.78,228,0.2324561403508772
uci,RF,0,1201,S0,1,0.6885964912280702,0.39285714285714285,0.48175182481751827,0.4430811370326262,0.7336927223719678,0.6226415094339622,0.39622641509433965,0.43,228,0.2324561403508772
uci,RF,0,1201,S1,1,0.8728070175438597,0.7142857142857143,0.7339449541284404,0.7397944512571643,0.9233423180592992,0.7547169811320755,0.5849056603773585,0.66,228,0.2324561403508772
uci,RF,0,1201,S2,1,0.8947368421052632,0.7843137254901961,0.7692307692307693,0.827837147961688,0.9528840970350404,0.7547169811320755,0.6981132075471698,0.71,228,0.2324561403508772
